id,situation,version,groupId,artifactId,release_date,is_updated,justification
1,current pom version,3.9,org.apache.commons,commons-lang3,2019-04-10 21:30:39,false,Using the latest available version.
1,latest pom version,3.12.0,org.apache.commons,commons-lang3,2021-02-26 15:40:52,false,Using the old version More than 2 years between the latest and current version.
2,current pom version,3.6.0,io.javalin,javalin,2019-11-03 05:31:50,false,Using the old version More than 2 years between the latest and current version.
2,latest pom version,5.1.3,io.javalin,javalin,2022-10-30 07:10:15,false,Using the old version More than 2 years between the latest and current version.
3,current pom version,1.7.25,org.slf4j,slf4j-simple,2017-03-16 12:36:40,false,Using the old version More than 2 years between the latest and current version.
3,latest pom version,2.0.3,org.slf4j,slf4j-simple,2022-09-28 06:18:21,false,Using the old version More than 2 years between the latest and current version.
4,current pom version,2.12.6.1,com.fasterxml.jackson.core,jackson-databind,2022-03-26 22:31:02,true,"There are only 2 versions or less between the current and the latest.
All latest versions released recently less than 3 months
"
4,latest pom version,2.12.7.1,com.fasterxml.jackson.core,jackson-databind,2022-10-13 16:39:36,true,"There are only 2 versions or less between the current and the latest.
All latest versions released recently less than 3 months
"
5,current pom version,5.87.0.RELEASE,org.jtwig,jtwig-core,2018-04-14 17:51:53,true,Using the latest available version.
5,latest pom version,5.87.0.RELEASE,org.jtwig,jtwig-core,2018-04-14 17:51:53,true,Using the latest available version.
