id,situation,version,groupId,artifactId,release_date,is_updated,justification
1,current pom version,4.11,junit,junit,2012-11-14 14:21:47,false,Using old version More than 2 years between the latest and current version
1,latest pom version,4.13.2,junit,junit,2021-02-13 11:31:54,false,Using old version More than 2 years between the latest and current version
2,current pom version,1.2.16,log4j,log4j,2010-03-31 00:25:44,false,Using old version More than 2 years between the latest and current version
2,latest pom version,1.2.17,log4j,log4j,2012-05-26 05:43:39,false,Using old version More than 2 years between the latest and current version
3,current pom version,1.6.1,org.slf4j,slf4j-api,2010-07-05 16:29:24,false,Using old version More than 2 years between the latest and current version
3,latest pom version,2.0.3,org.slf4j,slf4j-api,2022-09-28 06:18:09,false,Using old version More than 2 years between the latest and current version
4,current pom version,1.6.1,org.slf4j,slf4j-log4j12,2010-07-05 16:30:04,false,Using old version More than 2 years between the latest and current version
4,latest pom version,2.0.3,org.slf4j,slf4j-log4j12,2022-09-28 06:18:56,false,Using old version More than 2 years between the latest and current version
5,current pom version,3.1,cglib,cglib,2013-12-09 08:00:30,false,Using old version More than 2 years between the latest and current version
5,latest pom version,3.3.0,cglib,cglib,2019-08-12 10:29:40,false,Using old version More than 2 years between the latest and current version
6,current pom version,4.1.1.RELEASE,org.springframework,spring-core,2014-10-01 08:49:31,false,Using old version More than 2 years between the latest and current version
6,latest pom version,5.3.23,org.springframework,spring-core,2022-09-15 04:39:23,false,Using old version More than 2 years between the latest and current version
7,current pom version,4.1.1.RELEASE,org.springframework,spring-beans,2014-10-01 08:49:40,false,Using old version More than 2 years between the latest and current version
7,latest pom version,5.3.23,org.springframework,spring-beans,2022-09-15 04:39:18,false,Using old version More than 2 years between the latest and current version
8,current pom version,4.1.1.RELEASE,org.springframework,spring-context,2014-10-01 08:49:46,false,Using old version More than 2 years between the latest and current version
8,latest pom version,5.3.23,org.springframework,spring-context,2022-09-15 04:39:24,false,Using old version More than 2 years between the latest and current version
9,current pom version,4.1.1.RELEASE,org.springframework,spring-context-support,2014-10-01 08:49:45,false,Using old version More than 2 years between the latest and current version
9,latest pom version,5.3.23,org.springframework,spring-context-support,2022-09-15 04:39:19,false,Using old version More than 2 years between the latest and current version
10,current pom version,4.1.1.RELEASE,org.springframework,spring-web,2014-10-01 08:49:50,false,Using old version More than 2 years between the latest and current version
10,latest pom version,5.3.23,org.springframework,spring-web,2022-09-15 04:39:25,false,Using old version More than 2 years between the latest and current version
11,current pom version,4.1.1.RELEASE,org.springframework,spring-webmvc,2014-10-01 08:49:49,false,Using old version More than 2 years between the latest and current version
11,latest pom version,5.3.23,org.springframework,spring-webmvc,2022-09-15 04:39:22,false,Using old version More than 2 years between the latest and current version
12,current pom version,4.1.1.RELEASE,org.springframework,spring-aspects,2014-10-01 08:49:49,false,Using old version More than 2 years between the latest and current version
12,latest pom version,5.3.23,org.springframework,spring-aspects,2022-09-15 04:39:19,false,Using old version More than 2 years between the latest and current version
13,current pom version,4.1.1.RELEASE,org.springframework,spring-jdbc,2014-10-01 08:49:50,false,Using old version More than 2 years between the latest and current version
13,latest pom version,5.3.23,org.springframework,spring-jdbc,2022-09-15 04:39:23,false,Using old version More than 2 years between the latest and current version
14,current pom version,1.3.1.RELEASE,org.springframework.data,spring-data-redis,2014-06-30 10:46:26,false,Using old version More than 2 years between the latest and current version
14,latest pom version,2.7.5,org.springframework.data,spring-data-redis,2022-10-13 09:42:37,false,Using old version More than 2 years between the latest and current version
15,current pom version,4.1.1.RELEASE,org.springframework,spring-test,2014-10-01 08:49:39,false,Using old version More than 2 years between the latest and current version
15,latest pom version,5.3.23,org.springframework,spring-test,2022-09-15 04:39:20,false,Using old version More than 2 years between the latest and current version
16,current pom version,2.5.3,com.alibaba,dubbo,2012-10-22 23:17:08,false,Using old version More than 2 years between the latest and current version
16,latest pom version,2.6.12,com.alibaba,dubbo,2021-12-29 06:38:37,false,Using old version More than 2 years between the latest and current version
17,current pom version,1.1.43,com.alibaba,fastjson,2014-10-13 05:23:50,false,Using old version More than 2 years between the latest and current version
17,latest pom version,2.0.18.android,com.alibaba,fastjson,2022-11-05 22:30:06,false,Using old version More than 2 years between the latest and current version
18,current pom version,2.3.1,com.google.code.gson,gson,2014-11-20 04:42:14,false,Using old version More than 2 years between the latest and current version
18,latest pom version,2.10,com.google.code.gson,gson,2022-10-24 21:09:40,false,Using old version More than 2 years between the latest and current version
19,current pom version,4.0.7,com.caucho,hessian,2010-09-10 16:01:26,false,Using old version More than 2 years between the latest and current version
19,latest pom version,4.0.66,com.caucho,hessian,2022-04-15 14:42:37,false,Using old version More than 2 years between the latest and current version
20,current pom version,5.1.35,mysql,mysql-connector-java,2015-05-08 06:55:46,false,Using old version More than 2 years between the latest and current version
20,latest pom version,8.0.31,mysql,mysql-connector-java,2022-09-03 17:54:30,false,Using old version More than 2 years between the latest and current version
21,current pom version,1.46,org.bouncycastle,bcprov-jdk16,2011-02-22 23:04:14,true,using latest version
21,latest pom version,1.46,org.bouncycastle,bcprov-jdk16,2011-02-22 23:04:14,true,using latest version
22,current pom version,1.3.1,com.thoughtworks.xstream,xstream,2008-12-06 10:50:23,false,Using old version More than 2 years between the latest and current version
22,latest pom version,1.4.19,com.thoughtworks.xstream,xstream,2022-01-29 11:49:13,false,Using old version More than 2 years between the latest and current version
23,current pom version,1.9.2,commons-beanutils,commons-beanutils,2014-05-26 15:19:28,false,Using old version More than 2 years between the latest and current version
23,latest pom version,1.9.4,commons-beanutils,commons-beanutils,2019-07-28 18:16:54,false,Using old version More than 2 years between the latest and current version
24,current pom version,3.4,org.apache.commons,commons-lang3,2015-04-03 08:31:12,false,Using old version More than 2 years between the latest and current version
24,latest pom version,3.12.0,org.apache.commons,commons-lang3,2021-02-26 15:40:52,false,Using old version More than 2 years between the latest and current version
25,current pom version,2.3.2,org.restlet.jse,org.restlet.ext.json,None,false,Using old version More than 2 years between the latest and current version
25,latest pom version,2.4-M1,org.restlet.jse,org.restlet.ext.json,None,false,Using old version More than 2 years between the latest and current version
26,current pom version,4.3.3,org.apache.httpcomponents,httpcore,2014-10-18 07:51:18,false,Using old version More than 2 years between the latest and current version
26,latest pom version,4.4.15,org.apache.httpcomponents,httpcore,2021-12-03 03:33:25,false,Using old version More than 2 years between the latest and current version
27,current pom version,4.3.3,org.apache.httpcomponents,httpclient,2014-02-22 09:05:38,false,Using old version More than 2 years between the latest and current version
27,latest pom version,4.5.13,org.apache.httpcomponents,httpclient,2020-10-03 10:47:41,false,Using old version More than 2 years between the latest and current version
28,current pom version,1.6,commons-pool,commons-pool,2012-01-09 10:33:05,true,using latest version
28,latest pom version,1.6,commons-pool,commons-pool,2012-01-09 10:33:05,true,using latest version
29,current pom version,0.9.2,org.apache.thrift,libthrift,2014-11-18 13:19:11,false,Using old version More than 2 years between the latest and current version
29,latest pom version,0.17.0,org.apache.thrift,libthrift,2022-09-19 15:14:06,false,Using old version More than 2 years between the latest and current version
