id,situation,version,groupId,artifactId,release_date,is_updated,justification
1,current pom version,1.1.1,javax.activation,activation,2009-10-23 14:26:03,true,Using the latest available version.
1,latest pom version,1.1.1,javax.activation,activation,2009-10-23 14:26:03,true,Using the latest available version.
2,current pom version,0.9.5.4,com.mchange,c3p0,2019-03-24 02:01:47,false,Not updated recently and stable but the project uses old dependency.
2,latest pom version,0.9.5.5,com.mchange,c3p0,2019-12-12 01:19:13,false,Not updated recently and stable but the project uses old dependency.
3,current pom version,1.9.4,commons-beanutils,commons-beanutils,2019-07-28 18:16:54,true,Using the latest available version.
3,latest pom version,1.9.4,commons-beanutils,commons-beanutils,2019-07-28 18:16:54,true,Using the latest available version.
4,current pom version,1.8.1,commons-digester,commons-digester,2009-01-03 11:48:24,false,Not updated recently and stable but the project uses old dependency.
4,latest pom version,2.1,commons-digester,commons-digester,2010-09-24 07:02:18,false,Not updated recently and stable but the project uses old dependency.
5,current pom version,3.2,org.apache.commons,commons-digester3,2011-12-10 09:58:17,true,Using the latest available version.
5,latest pom version,3.2,org.apache.commons,commons-digester3,2011-12-10 09:58:17,true,Using the latest available version.
6,current pom version,1.3.3,commons-fileupload,commons-fileupload,2017-06-09 19:00:03,false,Not updated recently and stable but the project uses old dependency.
6,latest pom version,1.4,commons-fileupload,commons-fileupload,2018-12-24 02:07:08,false,Not updated recently and stable but the project uses old dependency.
7,current pom version,3.1,commons-httpclient,commons-httpclient,2007-08-21 09:44:07,true,Using the latest available version.
7,latest pom version,3.1,commons-httpclient,commons-httpclient,2007-08-21 09:44:07,true,Using the latest available version.
8,current pom version,2.11.0,commons-io,commons-io,2021-07-09 21:43:00,true,Using the latest available version.
8,latest pom version,2.11.0,commons-io,commons-io,2021-07-09 21:43:00,true,Using the latest available version.
9,current pom version,3.12.0,org.apache.commons,commons-lang3,2021-02-26 15:40:52,true,Using the latest available version.
9,latest pom version,3.12.0,org.apache.commons,commons-lang3,2021-02-26 15:40:52,true,Using the latest available version.
10,current pom version,1.9,org.apache.commons,commons-text,2020-07-21 16:40:48,true,All latest versions released recently less than 3 months
10,latest pom version,1.10.0,org.apache.commons,commons-text,2022-09-24 10:57:11,true,All latest versions released recently less than 3 months
11,current pom version,2.1.1,org.apache.commons,commons-dbcp2,2015-08-02 20:39:19,false,Not updated recently and stable but the project uses old dependency.
11,latest pom version,2.9.0,org.apache.commons,commons-dbcp2,2021-07-31 11:10:16,false,Not updated recently and stable but the project uses old dependency.
12,current pom version,2.4.8,net.sf.ehcache,ehcache-core,2012-09-11 16:46:20,false,Not updated recently and stable but the project uses old dependency.
12,latest pom version,2.6.11,net.sf.ehcache,ehcache-core,2015-04-22 13:19:31,false,Not updated recently and stable but the project uses old dependency.
