id,situation,version,groupId,artifactId,release_date,is_updated,justification
1,current pom version,1370.vfa_e23fe119c3,io.jenkins.tools.bom,bom-2.332.x,2022-05-10,false,There are more than 2 versions between the current and the latest.
1,latest pom version,1683.vfa_87c051f837,io.jenkins.tools.bom,bom-2.332.x,2022-11-03,false,There are more than 2 versions between the current and the latest.
2,current pom version,1.3.2,javax.annotation,javax.annotation-api,2018-02-21 05:24:24,true,Using the latest available version.
2,latest pom version,1.3.2,javax.annotation,javax.annotation-api,2018-02-21 05:24:24,true,Using the latest available version.
3,current pom version,217.v905b_86277a_2a_,org.jenkins-ci.plugins,javadoc,2022-02-08,true,Latest version is just Patch version or increment .
3,latest pom version,226.v71211feb_e7e9,org.jenkins-ci.plugins,javadoc,2022-08-09,true,Latest version is just Patch version or increment .
5,current pom version,1119.va_a_5e9068da_d7,org.jenkins-ci.plugins,junit,2022-05-31,true,Latest version is just Patch version or increment .
5,latest pom version,1156.vcf492e95a_a_b_0	,org.jenkins-ci.plugins,junit,2022-10-17,true,Latest version is just Patch version or increment .
6,current pom version,1.14,org.jenkins-ci.main.maven,maven-agent,2022-10-08,true,Using the latest available version.
6,latest pom version,1.14,org.jenkins-ci.main.maven,maven-agent,2022-10-08,true,Using the latest available version.
7,current pom version,1.14,org.jenkins-ci.main.maven,maven-interceptor,2022-10-08,true,Using the latest available version.
7,latest pom version,1.14,org.jenkins-ci.main.maven,maven-interceptor,2022-10-08,true,Using the latest available version.
8,current pom version,1.2,org.jvnet.hudson,maven2.1-interceptor,2009-05-27 16:47:01,true,Using the latest available version.
8,latest pom version,1.2,org.jvnet.hudson,maven2.1-interceptor,2009-05-27 16:47:01,true,Using the latest available version.
9,current pom version,1.14,org.jenkins-ci.main.maven,maven3-agent,2022-10-08,true,Using the latest available version.
9,latest pom version,1.14,org.jenkins-ci.main.maven,maven3-agent,2022-10-08,true,Using the latest available version.
10,current pom version,1.14,org.jenkins-ci.main.maven,maven31-agent,2022-10-08,true,Using the latest available version.
10,latest pom version,1.14,org.jenkins-ci.main.maven,maven31-agent,2022-10-08,true,Using the latest available version.
11,current pom version,1.14,org.jenkins-ci.main.maven,maven32-agent,2022-10-08,true,Using the latest available version.
11,latest pom version,1.14,org.jenkins-ci.main.maven,maven32-agent,2022-10-08,true,Using the latest available version.
12,current pom version,1.14,org.jenkins-ci.main.maven,maven33-agent,2022-10-08,true,Using the latest available version.
12,latest pom version,1.14,org.jenkins-ci.main.maven,maven33-agent,2022-10-08,true,Using the latest available version.
13,current pom version,1.14,org.jenkins-ci.main.maven,maven35-agent,2022-10-08,true,Using the latest available version.
13,latest pom version,1.14,org.jenkins-ci.main.maven,maven35-agent,2022-10-08,true,Using the latest available version.
14,current pom version,1.14,org.jenkins-ci.main.maven,maven3-interceptor,2022-10-08,true,Using the latest available version.
14,latest pom version,1.14,org.jenkins-ci.main.maven,maven3-interceptor,2022-10-08,true,Using the latest available version.
15,current pom version,1.14,org.jenkins-ci.main.maven,maven31-interceptor,2022-10-08,true,Using the latest available version.
15,latest pom version,1.14,org.jenkins-ci.main.maven,maven31-interceptor,2022-10-08,true,Using the latest available version.
16,current pom version,1.14,org.jenkins-ci.main.maven,maven32-interceptor,2022-10-08,true,Using the latest available version.
16,latest pom version,1.14,org.jenkins-ci.main.maven,maven32-interceptor,2022-10-08,true,Using the latest available version.
17,current pom version,1.14,org.jenkins-ci.main.maven,maven33-interceptor,2022-10-08,true,Using the latest available version.
17,latest pom version,1.14,org.jenkins-ci.main.maven,maven33-interceptor,2022-10-08,true,Using the latest available version.
