id,situation,version,groupId,artifactId,release_date,is_updated,justification
1,current pom version,4.1,com.mycila,license-maven-plugin-git,2021-04-23 13:53:36,true,using latest stable version
1,latest pom version,4.2.rc3,com.mycila,license-maven-plugin-git,2022-04-04 05:55:50,true,using latest stable version
2,current pom version,2.18.0,com.drewnoakes,metadata-extractor,2022-05-05 07:38:58,true,using latest available version
2,latest pom version,2.18.0,com.drewnoakes,metadata-extractor,2022-05-05 07:38:58,true,using latest available version
3,current pom version,1.6,com.googlecode.gstreamer-java,gstreamer-java,2016-03-23 10:31:58,true,using latest available version
3,latest pom version,1.6,com.googlecode.gstreamer-java,gstreamer-java,2016-03-23 10:31:58,true,using latest available version
4,current pom version,1.10,commons-configuration,commons-configuration,2013-10-24 04:22:14,true,using latest available version
4,latest pom version,1.10,commons-configuration,commons-configuration,2013-10-24 04:22:14,true,using latest available version
5,current pom version,4.5.13,org.apache.httpcomponents,httpclient,2020-10-03 10:47:41,true,using latest available version
5,latest pom version,4.5.13,org.apache.httpcomponents,httpclient,2020-10-03 10:47:41,true,using latest available version
6,current pom version,4.4.15,org.apache.httpcomponents,httpcore,2021-12-03 03:33:25,true,using latest available version
6,latest pom version,4.4.15,org.apache.httpcomponents,httpcore,2021-12-03 03:33:25,true,using latest available version
7,current pom version,6.20.0,net.sf.jasperreports,jasperreports,2022-07-14 10:18:33,true,using latest available version
7,latest pom version,6.20.0,net.sf.jasperreports,jasperreports,2022-07-14 10:18:33,true,using latest available version
8,current pom version,6.20.0,net.sf.jasperreports,jasperreports-fonts,2022-07-14 10:16:32,true,using latest available version
8,latest pom version,6.20.0,net.sf.jasperreports,jasperreports-fonts,2022-07-14 10:16:32,true,using latest available version
9,current pom version,3.12.0,org.apache.commons,commons-lang3,2021-02-26 15:40:52,true,using latest available version
9,latest pom version,3.12.0,org.apache.commons,commons-lang3,2021-02-26 15:40:52,true,using latest available version
10,current pom version,1.3.30,com.github.librepdf,openpdf,2022-09-19 04:50:29,true,using latest available version
10,latest pom version,1.3.30,com.github.librepdf,openpdf,2022-09-19 04:50:29,true,using latest available version
11,current pom version,4.13.2,junit,junit,2021-02-13 11:31:54,true,using latest available version
11,latest pom version,4.13.2,junit,junit,2021-02-13 11:31:54,true,using latest available version
12,current pom version,2.1.214,com.h2database,h2,2022-06-14 14:50:20,true,using latest available version
12,latest pom version,2.1.214,com.h2database,h2,2022-06-14 14:50:20,true,using latest available version
13,current pom version,1.1,com.sun,clibwrapper_jiio,None,,
13,latest pom version,None,com.sun,clibwrapper_jiio,None,,
14,current pom version,1.1,com.sun.media,jai_imageio,2009-07-10 12:32:18,true,using latest available version
14,latest pom version,1.1,com.sun.media,jai_imageio,2009-07-10 12:32:18,true,using latest available version
15,current pom version,1.1.3,javax.media,jai-core,None,,
15,latest pom version,None,javax.media,jai-core,None,,
16,current pom version,8.0.31,com.mysql,mysql-connector-j,2022-10-13 18:51:14,true,using latest available version
16,latest pom version,8.0.31,com.mysql,mysql-connector-j,2022-10-13 18:51:14,true,using latest available version
17,current pom version,2.1.7,org.rxtx,rxtx,2007-04-26 11:48:01,true,using latest available version
17,latest pom version,2.1.7,org.rxtx,rxtx,2007-04-26 11:48:01,true,using latest available version
18,current pom version,2.3.1,javax.xml.bind,jaxb-api,2018-09-12 09:28:52,true,using latest available version
18,latest pom version,2.3.1,javax.xml.bind,jaxb-api,2018-09-12 09:28:52,true,using latest available version
19,current pom version,4.0.1,com.sun.xml.bind,jaxb-core,2022-09-14 03:18:24,true,using latest available version
19,latest pom version,4.0.1,com.sun.xml.bind,jaxb-core,2022-09-14 03:18:24,true,using latest available version
20,current pom version,4.0.1,com.sun.xml.bind,jaxb-impl,2022-09-14 03:18:33,true,using latest available version
20,latest pom version,2.3.7,com.sun.xml.bind,jaxb-impl,2022-10-18 05:07:00,true,using latest available version
21,current pom version,1.1.1,javax.activation,activation,2009-10-23 14:26:03,true,using latest available version
21,latest pom version,1.1.1,javax.activation,activation,2009-10-23 14:26:03,true,using latest available version
22,current pom version,2.0.26,dcm4che,dcm4che-core,2012-07-04,false,
22,latest pom version,2.0.29,dcm4che,dcm4che-core,2015-06-10,false,
23,current pom version,2.0.26,dcm4che,dcm4che-image,2012-07-04,false,
23,latest pom version,2.0.29,dcm4che,dcm4che-image,2015-06-10,false,
24,current pom version,2.0.26,dcm4che,dcm4che-imageio,2012-07-04,false,
24,latest pom version,2.0.29,dcm4che,dcm4che-imageio,2015-06-10,false,
25,current pom version,5.2.3,org.apache.poi,poi,2022-09-09 12:38:55,true,using latest available version
25,latest pom version,5.2.3,org.apache.poi,poi,2022-09-09 12:38:55,true,using latest available version
26,current pom version,5.2.3,org.apache.poi,poi-ooxml,2022-09-09 12:39:15,true,using latest available version
26,latest pom version,5.2.3,org.apache.poi,poi-ooxml,2022-09-09 12:39:15,true,using latest available version
27,current pom version,2.0.3,org.slf4j,slf4j-api,2022-09-28 06:18:09,true,using latest available version
27,latest pom version,2.0.3,org.slf4j,slf4j-api,2022-09-28 06:18:09,true,using latest available version
28,current pom version,2.0.3,org.slf4j,slf4j-reload4j,2022-09-28 06:19:05,true,using latest available version
28,latest pom version,2.0.3,org.slf4j,slf4j-reload4j,2022-09-28 06:19:05,true,using latest available version
29,current pom version,3.2.1,org.igniterealtime.smack,smack,2011-08-16 20:17:17,true,using latest available version
29,latest pom version,3.2.1,org.igniterealtime.smack,smack,2011-08-16 20:17:17,true,using latest available version
