id,situation,version,groupId,artifactId,release_date,is_updated,justification
1,current pom version,2.2,org.hamcrest,hamcrest,2019-10-16 16:53:28,true,Using the latest available version.
1,latest pom version,2.2,org.hamcrest,hamcrest,2019-10-16 16:53:28,true,Using the latest available version.
2,current pom version,2.2,org.hamcrest,hamcrest-library,2019-10-16 16:53:28,true,Using the latest available version.
2,latest pom version,2.2,org.hamcrest,hamcrest-library,2019-10-16 16:53:03,true,Using the latest available version.
3,current pom version,4.13.2,junit,junit,2021-02-13 11:31:54,true,Using the latest available version.
3,latest pom version,4.13.2,junit,junit,2021-02-13 11:31:54,true,Using the latest available version.
4,current pom version,4.8.1,org.mockito,mockito-core,2022-10-17 16:31:57,true,Using the latest available version.
4,latest pom version,4.8.1,org.mockito,mockito-core,2022-10-17 16:31:57,true,Using the latest available version.
5,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-bdbstore,None,true,using the development version that precedes the final release version.
5,latest pom version,8.0.6,org.apache.qpid,qpid-bdbstore,2021-08-24 15:55:30,true,using the development version that precedes the final release version.
6,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-bdbstore,None,true,using the development version that precedes the final release version.
6,latest pom version,8.0.6,org.apache.qpid,qpid-bdbstore,2021-08-24 15:55:30,true,using the development version that precedes the final release version.
7,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-broker,None,true,using the development version that precedes the final release version.
7,latest pom version,8.0.6,org.apache.qpid,qpid-broker,2021-08-24 15:55:39,true,using the development version that precedes the final release version.
8,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-broker-core,None,true,using the development version that precedes the final release version.
8,latest pom version,8.0.6,org.apache.qpid,qpid-broker-core,2021-08-24 15:53:50,true,using the development version that precedes the final release version.
9,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-broker-core,None,true,using the development version that precedes the final release version.
9,latest pom version,8.0.6,org.apache.qpid,qpid-broker-core,2021-08-24 15:53:50,true,using the development version that precedes the final release version.
10,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-broker-codegen,None,true,using the development version that precedes the final release version.
10,latest pom version,8.0.6,org.apache.qpid,qpid-broker-codegen,2021-08-24 15:53:25,true,using the development version that precedes the final release version.
11,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-broker-instrumentation,None,true,using the development version that precedes the final release version.
11,latest pom version,None,org.apache.qpid,qpid-broker-instrumentation,None,true,using the development version that precedes the final release version.
12,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-broker-plugins-access-control,None,true,using the development version that precedes the final release version.
12,latest pom version,8.0.6,org.apache.qpid,qpid-broker-plugins-access-control,2021-08-24 15:54:07,true,using the development version that precedes the final release version.
13,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-broker-plugins-connection-limits,None,true,using the development version that precedes the final release version.
13,latest pom version,None,org.apache.qpid,qpid-broker-plugins-connection-limits,None,true,using the development version that precedes the final release version.
14,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-broker-plugins-jdbc-provider-bone,None,true,using the development version that precedes the final release version.
14,latest pom version,8.0.6,org.apache.qpid,qpid-broker-plugins-jdbc-provider-bone,2021-08-24 15:54:55,true,using the development version that precedes the final release version.
15,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-broker-plugins-jdbc-store,None,true,using the development version that precedes the final release version.
15,latest pom version,8.0.6,org.apache.qpid,qpid-broker-plugins-jdbc-store,2021-08-24 15:54:47,true,using the development version that precedes the final release version.
16,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-broker-plugins-amqp-msg-conv-0-8-to-0-10,None,true,using the development version that precedes the final release version.
16,latest pom version,8.0.6,org.apache.qpid,qpid-broker-plugins-amqp-msg-conv-0-8-to-0-10,2021-08-24 15:54:36,true,using the development version that precedes the final release version.
17,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-broker-plugins-amqp-msg-conv-0-8-to-1-0,None,true,using the development version that precedes the final release version.
17,latest pom version,8.0.6,org.apache.qpid,qpid-broker-plugins-amqp-msg-conv-0-8-to-1-0,2021-08-24 15:54:40,true,using the development version that precedes the final release version.
18,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-broker-plugins-amqp-msg-conv-0-10-to-1-0,None,true,using the development version that precedes the final release version.
18,latest pom version,8.0.6,org.apache.qpid,qpid-broker-plugins-amqp-msg-conv-0-10-to-1-0,2021-08-24 15:54:43,true,using the development version that precedes the final release version.
19,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-broker-plugins-amqp-0-8-protocol,None,true,using the development version that precedes the final release version.
19,latest pom version,8.0.6,org.apache.qpid,qpid-broker-plugins-amqp-0-8-protocol,2021-08-24 15:54:21,true,using the development version that precedes the final release version.
20,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-broker-plugins-amqp-0-10-protocol,None,true,using the development version that precedes the final release version.
20,latest pom version,8.0.6,org.apache.qpid,qpid-broker-plugins-amqp-0-10-protocol,2021-08-24 15:54:14,true,using the development version that precedes the final release version.
21,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-broker-plugins-amqp-1-0-protocol,None,true,using the development version that precedes the final release version.
21,latest pom version,8.0.6,org.apache.qpid,qpid-broker-plugins-amqp-1-0-protocol,2021-08-24 15:54:30,true,using the development version that precedes the final release version.
22,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-broker-plugins-amqp-1-0-protocol,None,true,using the development version that precedes the final release version.
22,latest pom version,8.0.6,org.apache.qpid,qpid-broker-plugins-amqp-1-0-protocol,2021-08-24 15:54:30,true,using the development version that precedes the final release version.
23,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-broker-plugins-derby-store,None,true,using the development version that precedes the final release version.
23,latest pom version,8.0.6,org.apache.qpid,qpid-broker-plugins-derby-store,2021-08-24 15:54:52,true,using the development version that precedes the final release version.
24,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-broker-plugins-logging-logback,None,true,using the development version that precedes the final release version.
24,latest pom version,8.0.6,org.apache.qpid,qpid-broker-plugins-logging-logback,2021-08-24 15:54:03,true,using the development version that precedes the final release version.
25,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-broker-plugins-jdbc-logging-logback,None,true,using the development version that precedes the final release version.
25,latest pom version,8.0.6,org.apache.qpid,qpid-broker-plugins-jdbc-logging-logback,2021-08-24 15:54:59,true,using the development version that precedes the final release version.
26,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-broker-plugins-memory-store,None,true,using the development version that precedes the final release version.
26,latest pom version,8.0.6,org.apache.qpid,qpid-broker-plugins-memory-store,2021-08-24 15:55:21,true,using the development version that precedes the final release version.
27,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-broker-plugins-amqp-1-0-protocol-jdbc-link-store,None,true,using the development version that precedes the final release version.
27,latest pom version,8.0.6,org.apache.qpid,qpid-broker-plugins-amqp-1-0-protocol-jdbc-link-store,2021-08-24 15:55:02,true,using the development version that precedes the final release version.
28,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-broker-plugins-amqp-1-0-protocol-bdb-link-store,None,true,using the development version that precedes the final release version.
28,latest pom version,8.0.6,org.apache.qpid,qpid-broker-plugins-amqp-1-0-protocol-bdb-link-store,2021-08-24 15:55:36,true,using the development version that precedes the final release version.
29,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-broker-plugins-management-http,None,true,using the development version that precedes the final release version.
29,latest pom version,8.0.6,org.apache.qpid,qpid-broker-plugins-management-http,2021-08-24 15:55:12,true,using the development version that precedes the final release version.
30,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-broker-plugins-query-engine,None,true,using the development version that precedes the final release version.
30,latest pom version,None,org.apache.qpid,qpid-broker-plugins-query-engine,None,true,using the development version that precedes the final release version.
31,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-broker-plugins-management-amqp,None,true,using the development version that precedes the final release version.
31,latest pom version,8.0.6,org.apache.qpid,qpid-broker-plugins-management-amqp,2021-08-24 15:55:17,true,using the development version that precedes the final release version.
32,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-broker-plugins-websocket,None,true,using the development version that precedes the final release version.
32,latest pom version,8.0.6,org.apache.qpid,qpid-broker-plugins-websocket,2021-08-24 15:55:24,true,using the development version that precedes the final release version.
33,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-perftests,None,true,using the development version that precedes the final release version.
33,latest pom version,None,org.apache.qpid,qpid-perftests,None,true,using the development version that precedes the final release version.
34,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-systests-utils,None,true,using the development version that precedes the final release version.
34,latest pom version,None,org.apache.qpid,qpid-systests-utils,None,true,using the development version that precedes the final release version.
35,current pom version,9.0.0-SNAPSHOT,org.apache.qpid,qpid-test-utils,None,true,using the development version that precedes the final release version.
35,latest pom version,8.0.6,org.apache.qpid,qpid-test-utils,2021-08-24 15:53:29,true,using the development version that precedes the final release version.
