id,situation,version,groupId,artifactId,release_date,is_updated,justification
1,current pom version,7.33.0-SNAPSHOT,org.openrewrite,rewrite-java,None,true,using the development version that precedes the final release version.
1,latest pom version,7.32.1,org.openrewrite,rewrite-java,2022-10-22 15:23:28,true,using the development version that precedes the final release version.
2,current pom version,7.33.0-SNAPSHOT,org.openrewrite,rewrite-java-8,None,true,using the development version that precedes the final release version.
2,latest pom version,7.32.1,org.openrewrite,rewrite-java-8,2022-10-22 15:23:13,true,using the development version that precedes the final release version.
3,current pom version,7.33.0-SNAPSHOT,org.openrewrite,rewrite-java-11,None,true,using the development version that precedes the final release version.
3,latest pom version,7.32.1,org.openrewrite,rewrite-java-11,2022-10-22 15:23:11,true,using the development version that precedes the final release version.
4,current pom version,7.33.0-SNAPSHOT,org.openrewrite,rewrite-java-17,None,true,using the development version that precedes the final release version.
4,latest pom version,7.32.1,org.openrewrite,rewrite-java-17,2022-10-22 15:23:10,true,using the development version that precedes the final release version.
5,current pom version,7.33.0-SNAPSHOT,org.openrewrite,rewrite-xml,None,true,using the development version that precedes the final release version.
5,latest pom version,7.32.1,org.openrewrite,rewrite-xml,2022-10-22 15:22:34,true,using the development version that precedes the final release version.
6,current pom version,7.33.0-SNAPSHOT,org.openrewrite,rewrite-maven,None,true,using the development version that precedes the final release version.
6,latest pom version,7.32.1,org.openrewrite,rewrite-maven,2022-10-22 15:23:30,true,using the development version that precedes the final release version.
7,current pom version,7.33.0-SNAPSHOT,org.openrewrite,rewrite-hcl,None,true,using the development version that precedes the final release version.
7,latest pom version,7.32.1,org.openrewrite,rewrite-hcl,2022-10-22 15:22:16,true,using the development version that precedes the final release version.
8,current pom version,7.33.0-SNAPSHOT,org.openrewrite,rewrite-json,None,true,using the development version that precedes the final release version.
8,latest pom version,7.32.1,org.openrewrite,rewrite-json,2022-10-22 15:22:06,true,using the development version that precedes the final release version.
9,current pom version,7.33.0-SNAPSHOT,org.openrewrite,rewrite-properties,None,true,using the development version that precedes the final release version.
9,latest pom version,7.32.1,org.openrewrite,rewrite-properties,2022-10-22 15:22:02,true,using the development version that precedes the final release version.
10,current pom version,7.33.0-SNAPSHOT,org.openrewrite,rewrite-protobuf,None,true,using the development version that precedes the final release version.
10,latest pom version,7.32.1,org.openrewrite,rewrite-protobuf,2022-10-22 15:22:19,true,using the development version that precedes the final release version.
11,current pom version,7.33.0-SNAPSHOT,org.openrewrite,rewrite-yaml,None,true,using the development version that precedes the final release version.
11,latest pom version,7.32.1,org.openrewrite,rewrite-yaml,2022-10-22 15:22:36,true,using the development version that precedes the final release version.
12,current pom version,9.3,com.puppycrawl.tools,checkstyle,2022-01-30 09:23:43,false,There are more than 2 versions between the current and the latest.
12,latest pom version,10.4,com.puppycrawl.tools,checkstyle,2022-10-30 12:26:14,false,There are more than 2 versions between the current and the latest.
13,current pom version,2.13.4,com.fasterxml.jackson.module,jackson-module-kotlin,2022-09-03 19:03:05,true,The latest versions are unstable.
13,latest pom version,2.14.0,com.fasterxml.jackson.module,jackson-module-kotlin,2022-11-05 19:50:22,true,The latest versions are unstable.
14,current pom version,1.5.0,io.micrometer.prometheus,prometheus-rsocket-client,2022-08-17 17:58:28,true,Using the latest available version.
14,latest pom version,1.5.0,io.micrometer.prometheus,prometheus-rsocket-client,2022-08-17 17:58:28,true,Using the latest available version.
15,current pom version,1.9.5,io.micrometer,micrometer-core,2022-10-10 13:46:42,true,Using the latest available version.
15,latest pom version,1.9.5,io.micrometer,micrometer-core,2022-10-10 13:46:42,true,Using the latest available version.
16,current pom version,1.1.3,io.rsocket,rsocket-transport-netty,2022-09-14 07:46:33,true,Using the latest available version.
16,latest pom version,1.1.3,io.rsocket,rsocket-transport-netty,2022-09-14 07:46:33,true,Using the latest available version.
17,current pom version,1.1.3,io.rsocket,rsocket-core,2022-09-14 07:46:05,true,Using the latest available version.
17,latest pom version,1.1.3,io.rsocket,rsocket-core,2022-09-14 07:46:05,true,Using the latest available version.
18,current pom version,7.7.3,org.rocksdb,rocksdbjni,2022-10-24 18:02:50,true,Using the latest available version.
18,latest pom version,7.7.3,org.rocksdb,rocksdbjni,2022-10-24 18:02:50,true,Using the latest available version.
19,current pom version,1.1,org.codehaus.plexus,plexus-interactivity-api,2021-09-11 03:20:52,true,Using the latest available version.
19,latest pom version,1.1,org.codehaus.plexus,plexus-interactivity-api,2021-09-11 03:20:52,true,Using the latest available version.
20,current pom version,3.3.0,org.apache.maven.shared,maven-filtering,2022-06-11 09:42:22,true,Using the latest available version.
20,latest pom version,3.3.0,org.apache.maven.shared,maven-filtering,2022-06-11 09:42:22,true,Using the latest available version.
21,current pom version,3.8.6,org.apache.maven,maven-plugin-api,2022-06-06 12:36:21,true,The latest versions are unstable
21,latest pom version,4.0.0-alpha-2,org.apache.maven,maven-plugin-api,2022-10-14 20:09:28,true,The latest versions are unstable
22,current pom version,3.8.6,org.apache.maven,maven-core,2022-06-06 12:38:12,true,The latest versions are unstable
22,latest pom version,4.0.0-alpha-2,org.apache.maven,maven-core,2022-10-14 20:11:04,true,The latest versions are unstable
23,current pom version,3.8.6,org.apache.maven,maven-settings,2022-06-06 12:36:45,true,The latest versions are unstable
23,latest pom version,4.0.0-alpha-2,org.apache.maven,maven-settings,2022-10-14 20:10:02,true,The latest versions are unstable
24,current pom version,3.8.6,org.apache.maven,maven-model,2022-06-06 12:36:05,true,The latest versions are unstable
24,latest pom version,4.0.0-alpha-2,org.apache.maven,maven-model,2022-10-14 20:09:12,true,The latest versions are unstable
25,current pom version,3.6.4,org.apache.maven.plugin-tools,maven-plugin-annotations,2022-01-10 18:07:06,true,Using the latest available version.
25,latest pom version,3.6.4,org.apache.maven.plugin-tools,maven-plugin-annotations,2022-01-10 18:07:06,true,Using the latest available version.
26,current pom version,5.9.1,org.junit.jupiter,junit-jupiter-api,2022-09-20 14:34:31,true,Using the latest available version.
26,latest pom version,5.9.1,org.junit.jupiter,junit-jupiter-api,2022-09-20 14:34:31,true,Using the latest available version.
27,current pom version,5.9.1,org.junit.jupiter,junit-jupiter-engine,2022-09-20 14:34:31,true,Using the latest available version.
27,latest pom version,5.9.1,org.junit.jupiter,junit-jupiter-engine,2022-09-20 14:34:31,true,Using the latest available version.
