id,situation,version,groupId,artifactId,release_date,is_updated,justification
1,current pom version,0.6-SNAPSHOT,decentralized-identity,uni-registrar-core,None,true,using development version that precedes the final release version.
1,latest pom version,None,decentralized-identity,uni-registrar-core,None,true,using development version that precedes the final release version.
2,current pom version,0.6-SNAPSHOT,decentralized-identity,uni-registrar-local,None,true,using development version that precedes the final release version.
2,latest pom version,None,decentralized-identity,uni-registrar-local,None,true,using development version that precedes the final release version.
3,current pom version,0.6-SNAPSHOT,decentralized-identity,uni-registrar-client,None,true,using development version that precedes the final release version.
3,latest pom version,None,decentralized-identity,uni-registrar-client,None,true,using development version that precedes the final release version.
4,current pom version,0.6-SNAPSHOT,decentralized-identity,uni-registrar-web,None,true,using development version that precedes the final release version.
4,latest pom version,None,decentralized-identity,uni-registrar-web,None,true,using development version that precedes the final release version.
5,current pom version,0.6-SNAPSHOT,decentralized-identity,uni-registrar-driver,None,true,using development version that precedes the final release version.
5,latest pom version,None,decentralized-identity,uni-registrar-driver,None,true,using development version that precedes the final release version.
6,current pom version,0.6-SNAPSHOT,decentralized-identity,uni-registrar-driver-http,None,true,using development version that precedes the final release version.
6,latest pom version,None,decentralized-identity,uni-registrar-driver-http,None,true,using development version that precedes the final release version.
7,current pom version,1.2.0,decentralized-identity,did-common-java,None,true,using development version that precedes the final release version.
7,latest pom version,1.3-SNAPSHOT,decentralized-identity,did-common-java,None,true,using development version that precedes the final release version.
8,current pom version,9.4.44.v20210927,org.eclipse.jetty,jetty-maven-plugin,2021-09-27 19:12:44,true,"All latest versions released recently less than 3 months
Latest version is just Patch version or increment .
"
8,latest pom version,9.4.49.v20220914,org.eclipse.jetty,jetty-maven-plugin,2022-09-15 22:47:54,true,"All latest versions released recently less than 3 months
Latest version is just Patch version or increment .
"
9,current pom version,30.1-jre,com.google.guava,guava,2020-12-14 11:05:50,false,There are more than 2 versions between the current and the latest.
9,latest pom version,31.1-jre,com.google.guava,guava,2022-02-28 16:18:58,false,There are more than 2 versions between the current and the latest.
10,current pom version,1.14,commons-codec,commons-codec,2019-12-30 19:44:23,false,There are more than 2 versions between the current and the latest.
10,latest pom version,1.15,commons-codec,commons-codec,2020-08-28 08:02:55,false,There are more than 2 versions between the current and the latest.
11,current pom version,3.11,org.apache.commons,commons-lang3,2020-07-12 09:32:02,false,There are more than 2 versions between the current and the latest.
11,latest pom version,3.12.0,org.apache.commons,commons-lang3,2021-02-26 15:40:52,false,There are more than 2 versions between the current and the latest.
12,current pom version,4.4,org.apache.commons,commons-collections4,2019-07-05 14:10:18,true,Using the latest available version.
12,latest pom version,4.4,org.apache.commons,commons-collections4,2019-07-05 14:10:18,true,Using the latest available version.
13,current pom version,4.13.1,junit,junit,2020-10-11 11:19:50,false,There are more than 2 versions Not updated recently and stable but the project uses old dependency.
13,latest pom version,4.13.2,junit,junit,2021-02-13 11:31:54,false,Not updated recently and stable but the project uses old dependency. between the current and the latest.
14,current pom version,5.6.2,org.junit.jupiter,junit-jupiter-api,2020-04-10 10:19:19,false,Not updated recently and stable but the project uses old dependency.
14,latest pom version,5.9.1,org.junit.jupiter,junit-jupiter-api,2022-09-20 14:34:31,false,Not updated recently and stable but the project uses old dependency.
15,current pom version,5.6.2,org.junit.jupiter,junit-jupiter-params,2020-04-10 10:19:30,false,Not updated recently and stable but the project uses old dependency.
15,latest pom version,5.9.1,org.junit.jupiter,junit-jupiter-params,2022-09-20 14:34:31,false,Not updated recently and stable but the project uses old dependency.
16,current pom version,3.4.4,org.mockito,mockito-core,2020-07-18 14:56:07,false,Not updated recently and stable but the project uses old dependency.
16,latest pom version,4.8.1,org.mockito,mockito-core,2022-10-17 16:31:57,false,Not updated recently and stable but the project uses old dependency.
17,current pom version,2.13.2,com.fasterxml.jackson.core,jackson-core,2022-03-06 14:27:56,true,There are only 2 versions or less between the current and the latest.
17,latest pom version,2.14.0,com.fasterxml.jackson.core,jackson-core,2022-11-05 16:38:09,true,There are only 2 versions or less between the current and the latest.
18,current pom version,2.13.2,com.fasterxml.jackson.core,jackson-annotations,2022-03-06 14:20:43,true,There are only 2 versions or less between the current and the latest.
18,latest pom version,2.14.0,com.fasterxml.jackson.core,jackson-annotations,2022-11-05 16:16:23,true,There are only 2 versions or less between the current and the latest.
19,current pom version,2.13.4.1,com.fasterxml.jackson.core,jackson-databind,2022-10-12 16:02:09,true,There are only 2 versions or less between the current and the latest.
19,latest pom version,2.14.0,com.fasterxml.jackson.core,jackson-databind,2022-11-05 16:39:36,true,There are only 2 versions or less between the current and the latest.
20,current pom version,2.8.9,com.google.code.gson,gson,2021-10-29 16:00:01,true,"There are only 2 versions or less between the current and the latest.
All latest versions released recently less than 3 months
"
20,latest pom version,2.10,com.google.code.gson,gson,2022-10-24 21:09:40,true,"There are only 2 versions or less between the current and the latest.
All latest versions released recently less than 3 months
"
21,current pom version,1.7.25,org.slf4j,slf4j-api,2017-03-16 12:36:32,false,Not updated recently and stable but the project uses old dependency.
21,latest pom version,2.0.3,org.slf4j,slf4j-api,2022-09-28 06:18:09,false,Not updated recently and stable but the project uses old dependency.
22,current pom version,1.7.25,org.slf4j,jcl-over-slf4j,2017-03-16 12:37:29,false,Not updated recently and stable but the project uses old dependency.
22,latest pom version,2.0.3,org.slf4j,jcl-over-slf4j,2022-09-28 06:19:26,false,Not updated recently and stable but the project uses old dependency.
23,current pom version,1.7.25,org.slf4j,slf4j-log4j12,2017-03-16 12:37:00,false,Not updated recently and stable but the project uses old dependency.
23,latest pom version,2.0.3,org.slf4j,slf4j-log4j12,2022-09-28 06:18:56,false,Not updated recently and stable but the project uses old dependency.
24,current pom version,2.17.1,org.apache.logging.log4j,log4j-slf4j-impl,2021-12-27 18:32:27,true,"There are only 2 versions or less between the current and the latest.
All latest versions released recently less than 3 months
"
24,latest pom version,2.19.0,org.apache.logging.log4j,log4j-slf4j-impl,2022-09-13 13:19:38,true,"There are only 2 versions or less between the current and the latest.
All latest versions released recently less than 3 months
"
25,current pom version,2.17.1,org.apache.logging.log4j,log4j-api,2021-12-27 18:30:22,true,"There are only 2 versions or less between the current and the latest.
All latest versions released recently less than 3 months
"
25,latest pom version,2.19.0,org.apache.logging.log4j,log4j-api,2022-09-13 13:17:05,true,"There are only 2 versions or less between the current and the latest.
All latest versions released recently less than 3 months
"
26,current pom version,2.17.1,org.apache.logging.log4j,log4j-core,2021-12-27 18:30:56,true,"There are only 2 versions or less between the current and the latest.
All latest versions released recently less than 3 months
"
26,latest pom version,2.19.0,org.apache.logging.log4j,log4j-core,2022-09-13 13:18:16,true,"There are only 2 versions or less between the current and the latest.
All latest versions released recently less than 3 months
"
27,current pom version,2.17.1,org.apache.logging.log4j,log4j-web,2021-12-27 18:33:36,true,"There are only 2 versions or less between the current and the latest.
All latest versions released recently less than 3 months
"
27,latest pom version,2.19.0,org.apache.logging.log4j,log4j-web,2022-09-13 13:21:01,true,"There are only 2 versions or less between the current and the latest.
All latest versions released recently less than 3 months
"
28,current pom version,2.5,javax.servlet,servlet-api,2006-07-17 07:09:57,false,Not updated recently and stable but the project uses old dependency.
28,latest pom version,3.0-alpha-1,javax.servlet,servlet-api,2008-04-16 20:23:05,false,Not updated recently and stable but the project uses old dependency.
29,current pom version,4.5.13,org.apache.httpcomponents,httpclient,2020-10-03 10:47:41,true,Using the latest available version.
29,latest pom version,4.5.13,org.apache.httpcomponents,httpclient,2020-10-03 10:47:41,true,Using the latest available version.
30,current pom version,5.3.14,org.springframework,spring-web,2021-12-16 04:07:54,false,There are more than 2 versions between the current and the latest.
30,latest pom version,5.3.23,org.springframework,spring-web,2022-09-15 04:39:25,false,There are more than 2 versions between the current and the latest.
31,current pom version,5.3.14,org.springframework,spring-context,2021-12-16 04:07:54,false,There are more than 2 versions between the current and the latest.
31,latest pom version,5.3.23,org.springframework,spring-context,2022-09-15 04:39:24,false,There are more than 2 versions between the current and the latest.
32,current pom version,0.0.2,io.leonard,base58,2018-12-04 11:54:43,true,Using the latest available version.
32,latest pom version,0.0.2,io.leonard,base58,2018-12-04 11:54:43,true,Using the latest available version.
