CommitHash,CommitDate,ChangeType,groupId,artifactId,version,NbrAddedLines,NbrDeletedLines,NbrModifiedFiles
234e713b1302f4608906db95e85436aa09aa4da3,2019-01-15 17:45:24+01:00,MODIFY,io.hyperfoil,hyperfoil-api,None,28,28,9
234e713b1302f4608906db95e85436aa09aa4da3,2019-01-15 17:45:24+01:00,MODIFY,${project.groupId},hyperfoil-cli,None,28,28,9
c87932bced1d6bce61cffd0e243e425c0b75c9fe,2019-11-22 16:25:58+01:00,MODIFY,io.hyperfoil,hyperfoil-controller-api,None,1849,801,35
234e713b1302f4608906db95e85436aa09aa4da3,2019-01-15 17:45:24+01:00,MODIFY,io.hyperfoil,hyperfoil-core,None,28,28,9
234e713b1302f4608906db95e85436aa09aa4da3,2019-01-15 17:45:24+01:00,MODIFY,io.hyperfoil,hyperfoil-core,None,28,28,9
0d129a0ccdd076a06a3e5813b8e93e1b5f729914,2021-02-09 10:30:08+01:00,MODIFY,io.hyperfoil,hyperfoil-http,None,1747,1323,195
0d129a0ccdd076a06a3e5813b8e93e1b5f729914,2021-02-09 10:30:08+01:00,MODIFY,io.hyperfoil,hyperfoil-http,None,1747,1323,195
b467a985d49c522f3bf76194b9e4190f66660c20,2021-03-17 11:47:49+01:00,MODIFY,${project.groupId},hyperfoil-hotrod,None,1265,37,39
234e713b1302f4608906db95e85436aa09aa4da3,2019-01-15 17:45:24+01:00,MODIFY,${project.groupId},hyperfoil-clustering,None,28,28,9
0e27db7540da88f6c801a6d18afc54a954ec69c9,2019-10-04 17:22:43+02:00,MODIFY,${project.groupId},hyperfoil-k8s-deployer,None,508,34,15
d3a989c9dd6f7b131384c4787dcfc7fa069399d5,2020-04-24 17:20:07+02:00,MODIFY,io.hyperfoil,hyperfoil-test-suite,None,29,0,2
c8eb6b8f73a4738c89526b32c01a7706a1fde4c1,2016-05-18 16:53:35+02:00,MODIFY,org.slf4j,slf4j-api,1.7.21,128,9,4
bd49b300f435f4890e3b74c384850468c7ab4c58,2018-08-09 17:47:19+02:00,MODIFY,org.slf4j,slf4j-api,None,104,8,4
bd49b300f435f4890e3b74c384850468c7ab4c58,2018-08-09 17:47:19+02:00,MODIFY,org.slf4j,slf4j-api,1.7.12,104,8,4
bd49b300f435f4890e3b74c384850468c7ab4c58,2018-08-09 17:47:19+02:00,MODIFY,org.apache.logging.log4j,log4j-api,None,104,8,4
bd49b300f435f4890e3b74c384850468c7ab4c58,2018-08-09 17:47:19+02:00,MODIFY,org.apache.logging.log4j,log4j-api,2.11.1,104,8,4
41f9c52f7cd6a219b97c960dc156ec1a912764df,2020-07-05 20:51:47+02:00,MODIFY,org.apache.logging.log4j,log4j-api,2.13.3,1,1,1
2943ff9d4bd4ab8d1343218f42ab6a6781db4644,2021-12-15 08:55:14+01:00,MODIFY,org.apache.logging.log4j,log4j-api,2.16.0,1,1,1
f8a2f2b7689ef82366f5466f5789c91e931add8d,2021-12-20 09:51:24+01:00,MODIFY,org.apache.logging.log4j,log4j-api,2.17.0,1,1,1
bd49b300f435f4890e3b74c384850468c7ab4c58,2018-08-09 17:47:19+02:00,MODIFY,org.apache.logging.log4j,log4j-core,None,104,8,4
bd49b300f435f4890e3b74c384850468c7ab4c58,2018-08-09 17:47:19+02:00,MODIFY,org.apache.logging.log4j,log4j-core,2.11.1,104,8,4
41f9c52f7cd6a219b97c960dc156ec1a912764df,2020-07-05 20:51:47+02:00,MODIFY,org.apache.logging.log4j,log4j-core,2.13.3,1,1,1
2943ff9d4bd4ab8d1343218f42ab6a6781db4644,2021-12-15 08:55:14+01:00,MODIFY,org.apache.logging.log4j,log4j-core,2.16.0,1,1,1
f8a2f2b7689ef82366f5466f5789c91e931add8d,2021-12-20 09:51:24+01:00,MODIFY,org.apache.logging.log4j,log4j-core,2.17.0,1,1,1
bd49b300f435f4890e3b74c384850468c7ab4c58,2018-08-09 17:47:19+02:00,MODIFY,org.apache.logging.log4j,log4j-slf4j-impl,None,104,8,4
bd49b300f435f4890e3b74c384850468c7ab4c58,2018-08-09 17:47:19+02:00,MODIFY,org.apache.logging.log4j,log4j-slf4j-impl,2.11.1,104,8,4
41f9c52f7cd6a219b97c960dc156ec1a912764df,2020-07-05 20:51:47+02:00,MODIFY,org.apache.logging.log4j,log4j-slf4j-impl,2.13.3,1,1,1
2943ff9d4bd4ab8d1343218f42ab6a6781db4644,2021-12-15 08:55:14+01:00,MODIFY,org.apache.logging.log4j,log4j-slf4j-impl,2.16.0,1,1,1
f8a2f2b7689ef82366f5466f5789c91e931add8d,2021-12-20 09:51:24+01:00,MODIFY,org.apache.logging.log4j,log4j-slf4j-impl,2.17.0,1,1,1
3e5b9b85a47fe7d342e53384a0517bcabe5c7e57,2016-05-18 09:20:07+02:00,MODIFY,org.hdrhistogram,HdrHistogram,2.1.8,64,7,3
5e3fa9e0c547dbdc89aa1614776ea3b394e07d06,2017-05-08 08:25:59+02:00,MODIFY,org.hdrhistogram,HdrHistogram,2.1.9,7,7,1
f23418dcd7410a7b1201e94870ebbe45f09f9979,2018-08-09 17:47:19+02:00,MODIFY,org.hdrhistogram,HdrHistogram,None,37,41,4
70cff843578b8a6b438b3c1d769056a266160c21,2016-04-04 10:17:04+02:00,ADD,io.vertx,vertx-dependencies,3.3.0-SNAPSHOT,914,0,14
f72c5d70cd96e4f478a3e44a681f562c9feaf336,2016-09-20 11:11:56+02:00,MODIFY,io.vertx,vertx-dependencies,3.3.3,10,9,2
5e3fa9e0c547dbdc89aa1614776ea3b394e07d06,2017-05-08 08:25:59+02:00,MODIFY,io.vertx,vertx-dependencies,3.4.2-SNAPSHOT,7,7,1
6051879c6beedc6b908893f70d9a7a60f50d0402,2018-04-25 11:02:44+02:00,MODIFY,io.vertx,vertx-dependencies,3.5.0,2,2,1
65c9f43fd59f07c1842434e2f8f96ce25a1c5dc5,2018-05-31 15:47:34+02:00,MODIFY,io.vertx,vertx-dependencies,3.5.2.CR3,1,1,1
96e58fad489d97dc322243ab94cd4acb67444381,2019-02-01 17:45:03+01:00,MODIFY,io.vertx,vertx-dependencies,3.6.2,120,59,4
84c94a147655cefd7dac37a0dc1b5a8cdee22768,2019-06-18 16:35:29+02:00,MODIFY,io.vertx,vertx-dependencies,3.7.1,2,2,1
c87932bced1d6bce61cffd0e243e425c0b75c9fe,2019-11-22 16:25:58+01:00,MODIFY,io.vertx,vertx-dependencies,3.8.3,1849,801,35
26cbdc95f8816ab6c7bdc088b93938b5dea1275c,2020-10-02 16:10:14+02:00,MODIFY,io.vertx,vertx-dependencies,3.9.3,2,2,1
