CommitHash,CommitDate,ChangeType,groupId,artifactId,version,NbrAddedLines,NbrDeletedLines,NbrModifiedFiles
906bc08f223f1e7e9c9448fd5d84f68265ce9bcf,2015-05-02 00:16:09+08:00,ADD,org.springframework,spring-core,4.0.6.RELEASE,236,0,7
57b031a21601d884db02cb1c6d6502fbf93469c8,2016-07-22 14:00:21+08:00,MODIFY,org.springframework,spring-core,4.2.7.RELEASE,98,2,4
906bc08f223f1e7e9c9448fd5d84f68265ce9bcf,2015-05-02 00:16:09+08:00,ADD,org.springframework,spring-beans,4.0.6.RELEASE,236,0,7
57b031a21601d884db02cb1c6d6502fbf93469c8,2016-07-22 14:00:21+08:00,MODIFY,org.springframework,spring-beans,4.2.7.RELEASE,98,2,4
906bc08f223f1e7e9c9448fd5d84f68265ce9bcf,2015-05-02 00:16:09+08:00,ADD,org.springframework,spring-context,4.0.6.RELEASE,236,0,7
57b031a21601d884db02cb1c6d6502fbf93469c8,2016-07-22 14:00:21+08:00,MODIFY,org.springframework,spring-context,4.2.7.RELEASE,98,2,4
906bc08f223f1e7e9c9448fd5d84f68265ce9bcf,2015-05-02 00:16:09+08:00,ADD,org.springframework,spring-context-support,4.0.6.RELEASE,236,0,7
57b031a21601d884db02cb1c6d6502fbf93469c8,2016-07-22 14:00:21+08:00,MODIFY,org.springframework,spring-context-support,4.2.7.RELEASE,98,2,4
906bc08f223f1e7e9c9448fd5d84f68265ce9bcf,2015-05-02 00:16:09+08:00,ADD,org.springframework,spring-web,4.0.6.RELEASE,236,0,7
57b031a21601d884db02cb1c6d6502fbf93469c8,2016-07-22 14:00:21+08:00,MODIFY,org.springframework,spring-web,4.2.7.RELEASE,98,2,4
906bc08f223f1e7e9c9448fd5d84f68265ce9bcf,2015-05-02 00:16:09+08:00,ADD,org.springframework,spring-webmvc,4.0.6.RELEASE,236,0,7
57b031a21601d884db02cb1c6d6502fbf93469c8,2016-07-22 14:00:21+08:00,MODIFY,org.springframework,spring-webmvc,4.2.7.RELEASE,98,2,4
906bc08f223f1e7e9c9448fd5d84f68265ce9bcf,2015-05-02 00:16:09+08:00,ADD,org.springframework,spring-aspects,4.0.6.RELEASE,236,0,7
57b031a21601d884db02cb1c6d6502fbf93469c8,2016-07-22 14:00:21+08:00,MODIFY,org.springframework,spring-aspects,4.2.7.RELEASE,98,2,4
906bc08f223f1e7e9c9448fd5d84f68265ce9bcf,2015-05-02 00:16:09+08:00,ADD,org.springframework,spring-jdbc,4.0.6.RELEASE,236,0,7
57b031a21601d884db02cb1c6d6502fbf93469c8,2016-07-22 14:00:21+08:00,MODIFY,org.springframework,spring-jdbc,4.2.7.RELEASE,98,2,4
2ad2be6267f3970de15802022d87a6754bee2ed3,2015-05-28 17:57:37+08:00,MODIFY,org.springframework,spring-test,4.0.6.RELEASE,462,0,7
57b031a21601d884db02cb1c6d6502fbf93469c8,2016-07-22 14:00:21+08:00,MODIFY,org.springframework,spring-test,4.2.7.RELEASE,98,2,4
bc0c81098c327ca9f3cb333a1c0e2307bbe07956,2015-05-03 20:46:47+08:00,MODIFY,mysql,mysql-connector-java,5.1.14,421,5,8
906bc08f223f1e7e9c9448fd5d84f68265ce9bcf,2015-05-02 00:16:09+08:00,ADD,commons-beanutils,commons-beanutils,1.8.3,236,0,7
7276b7b17a2ee9172aafff51c0ca2178de4219ef,2015-07-02 16:47:09+08:00,MODIFY,org.apache.thrift,libthrift,0.9.0,353,7,9
