CommitHash,CommitDate,ChangeType,groupId,artifactId,version,NbrAddedLines,NbrDeletedLines,NbrModifiedFiles
8e827796a61d165e056ec8dcc9ba2d507e37d1b8,2021-01-25 15:46:09-08:00,ADD,software.amazon.awssdk,bom,2.15.47,393,0,1
551e5549aac3007fa8efdddb4c65f61a3db2e2f0,2021-05-14 09:53:35-07:00,MODIFY,software.amazon.awssdk,bom,2.16.52,1533,645,102
b92ead9e1dd5e843514dd6b4bbf8af3fe0a74f1c,2021-07-02 14:34:30-07:00,MODIFY,software.amazon.awssdk,bom,2.16.94,366,315,65
38bef422eb67fb2381aaa4cc17bef49386a4430f,2021-11-19 14:32:07-05:00,MODIFY,software.amazon.awssdk,bom,2.17.81,248327,26615,319
105c7a9b7ac1a77004a3b8308c4527380abc38b6,2021-12-01 12:16:43-05:00,MODIFY,software.amazon.awssdk,bom,2.17.90,1027,613,62
205480e58ecbcf412304b29c1180bf8611d632d4,2021-12-17 16:10:24-05:00,MODIFY,software.amazon.awssdk,bom,2.17.99,736,505,155
2be073b00787a788890b7a5c0308d0da1f70ccca,2022-02-09 09:32:42-05:00,MODIFY,software.amazon.awssdk,bom,2.17.123,1955,1428,185
6cf34d7548a16947506ed95bb03619f670cb534f,2022-02-16 13:58:46-05:00,MODIFY,software.amazon.awssdk,bom,2.17.130,209,98,83
7501f4886c93b3e27907e39492292089789bce6e,2022-07-08 14:01:03-04:00,MODIFY,software.amazon.awssdk,bom,2.17.224,531,242,188
8e827796a61d165e056ec8dcc9ba2d507e37d1b8,2021-01-25 15:46:09-08:00,ADD,junit,junit,4.13.1,393,0,1
8e827796a61d165e056ec8dcc9ba2d507e37d1b8,2021-01-25 15:46:09-08:00,ADD,org.apache.lucene,lucene-core,3.5.0,393,0,1
f0c52156938f0acd1873e5b914306d740a83b7be,2021-02-01 13:23:08-08:00,MODIFY,org.apache.lucene,lucene-core,8.7.0,659,582,26
551e5549aac3007fa8efdddb4c65f61a3db2e2f0,2021-05-14 09:53:35-07:00,MODIFY,org.apache.lucene,lucene-core,8.8.2,1533,645,102
b92ead9e1dd5e843514dd6b4bbf8af3fe0a74f1c,2021-07-02 14:34:30-07:00,MODIFY,org.apache.lucene,lucene-core,8.9.0,366,315,65
38bef422eb67fb2381aaa4cc17bef49386a4430f,2021-11-19 14:32:07-05:00,MODIFY,org.apache.lucene,lucene-core,8.11.0,248327,26615,319
2be073b00787a788890b7a5c0308d0da1f70ccca,2022-02-09 09:32:42-05:00,MODIFY,org.apache.lucene,lucene-core,8.11.1,1955,1428,185
7501f4886c93b3e27907e39492292089789bce6e,2022-07-08 14:01:03-04:00,MODIFY,org.apache.lucene,lucene-core,9.2.0,531,242,188
