CommitHash,CommitDate,ChangeType,groupId,artifactId,version,NbrAddedLines,NbrDeletedLines,NbrModifiedFiles
b9340a7819a5e6ef94588911b80c0ccc060eef6e,2015-12-09 16:27:12+01:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.18,1336,3,16
d295d2ed60ff19cb876454d3a36b5c0419864c29,2016-01-31 12:23:49+01:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.23,1,1,1
a58a8dbff6c9dc97809280b920348a5918d2874c,2016-02-09 21:02:35+01:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.24,2,2,2
bf4f5291fcf678bf48871bdd773f33b6e11844c7,2016-02-10 19:08:19+01:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.25,1,1,1
2de19d474fdd4b41fec5cb0fcf2c520858f6d71d,2016-02-13 10:02:51+01:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.27,1,1,1
653a04fd6bbbc4fe16087fcbf095893a396a49ad,2016-02-14 19:07:28+01:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.29,1,1,1
530b93f070c497d03eb3dbf1f4ded6a7c8cc768b,2016-02-15 19:24:16+01:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.30,1,1,1
affc742f933939778a346723a3f135bf8966cec0,2016-02-20 09:57:44+01:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.32,1,1,1
e62d39dc6b706eba8822d2d2f3775ea1217a9aee,2016-03-16 17:45:37+01:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.36,24,6,7
1f59b904a3160ff51418406f6938985209c6ebb4,2016-03-20 11:32:26+01:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.39,53,26,8
636e93b1ecaab6968efff4b4292dedf6b9b06a94,2016-04-07 21:41:48+02:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.40,42,1,6
e2ccc5c0700a1fd7e172339d0093cc8863824829,2016-04-09 22:32:07+02:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.41,1,1,1
22d54d23a397e6ffe53a0a2b43b91d619ee0d949,2016-04-10 10:58:59+02:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.42,1,1,1
cbc4f860b960018201d5797d739b621cd945faf8,2016-04-10 11:17:53+02:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.43,1,1,1
49a392944c937667d6c41c43499585d942b6b395,2016-04-12 19:06:29+02:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.44,1,1,1
10ebd79f8643079eceab7941244c4af160d5c19c,2016-04-13 20:48:14+02:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.45,1,1,1
1365da5ddff99c305a893d37f663f86584989945,2016-05-20 21:19:29+02:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.48,1,1,1
24e53fa9da1cb9c724625578ec4f84a5286c85b7,2016-06-02 20:37:09+02:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.49,1,1,1
05705717d88a8e289e12b13bd478749d2717e229,2016-06-24 11:24:38+02:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.50,1,1,1
2f39f9c9b3c01c0f58f18f03319c05c360714dd9,2016-06-24 14:59:45+02:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.51,1,1,1
46097569efa4d3429eaad515afd20cfbe470f6db,2016-06-24 23:06:11+02:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.52,1,1,1
010aaf5f2185e6fef4ea1b52c16ac7bedc307c50,2016-06-25 02:10:02+02:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.53,1,1,1
61b475a89eb64496d3eadec4f430e9261452bf26,2016-08-02 20:15:56+02:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.55,1,1,1
5db1d44bb651f447a1ee1a3fb7c46def3c9624fa,2016-08-11 17:01:50+02:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.56,1,1,1
aa1d9ebf2955ec01fcc5671c92053396143b532a,2016-10-05 20:46:09+02:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.57,1,1,1
6f9fdbb0b3e6cfb6fa782651d7500934ab3b0bbe,2016-10-22 12:39:49+02:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.58,1,1,1
e6208cf70e5dffa41db35fe75f407bb0d96ba503,2017-03-18 10:26:26+01:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.64,19,7,3
c279a303781cfb6446ff01aaf4ea2598eafdcefc,2017-03-20 19:21:47+01:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.65,2,2,2
f796401c6db7e5495b7ec97ad8ac9bdc94f26d6b,2017-03-26 08:24:32+02:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.67,202,87,7
c4d45a1b4b4d3a68862c57ec238d73e0227bffd6,2017-04-14 11:25:24+02:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.68,2,2,2
00112d32b80626edd3df9b678743928193e1bf54,2017-07-08 10:06:15+02:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.69,10,3,3
9354d5ce2f8e6d4c4645f3fc7c75a32511e62ef0,2017-07-24 22:04:15+02:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.70,1,1,1
efc14adca3665f6886649b42e98e689694220bc8,2017-07-25 20:32:35+02:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.71,7,1,2
ad8ca1e5149708cff03e70ff94a2dc4ea43c48c1,2017-09-03 11:27:30+02:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.72,172,80,4
46b94f93fbde08118fe1619753ccfc8facdd09d3,2017-12-19 13:34:23+01:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.76,10,1,2
4dd0b1c8a82edebb4a129c0c13342485330c0e38,2017-12-30 21:49:37+01:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.77,2,2,2
25770b069f3f93aae94f33b7c9a7f25888906924,2018-01-09 22:02:28+01:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.79,1,1,1
ff1a38d1e518756aa605b6dd36eb21561d160742,2018-05-05 09:47:37+02:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.80,1,1,1
19cbbc18b0ee958f1172358190da1ec7da89a833,2018-09-12 17:20:49+02:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.81,2,2,2
bda19353f67c2c196094838c76a62786fdf32170,2018-09-13 09:23:10+02:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.82,1,1,1
2c4ec6476c77cd933e8bb97b984ca31e34be0797,2018-10-27 08:11:34+02:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.83,1,1,1
07b66942922a16c196aee4c7ddfed07d96055619,2018-10-27 18:36:26+02:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.84,14,1,2
19855ff830a92c1b418be44fdeb52425e14a01b7,2018-10-27 19:54:09+02:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.85,1,1,1
770e243895faa983deb41e943326261d35d0abb2,2019-01-08 19:34:01+01:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.88,53,3,2
57c7c06db0c06c2cce1c0c66040fb4bfbf6adcf4,2019-02-16 18:17:03+01:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.89,14,3,3
f59327b9ff09fa28306462c8279f4fa4d3422ebe,2019-06-11 19:08:11+02:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.91,12,3,2
42df33ba6bc2d71197309d4e6e4ec1392ffd5f94,2020-04-14 08:55:20+01:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.92,1,1,1
2a318eb88506081da171bd7881f79080e673af96,2021-01-18 18:35:02+01:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.95,3808,368,3
ca1221a23a65946c6ffa5ad802f3f0bbd0c08b39,2021-03-29 17:52:06+02:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.96,279,3649,3
a90ee202c98da5600d39e651b9a1e739a5aebd12,2021-05-27 20:57:46+02:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.149.3,171,50,5
11949614b228831e6ebdda4da3166861ce786680,2021-06-05 06:15:12+02:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.152.1,2,2,1
80f92d95bbc25b898af8ba35f3f23c9d7d7d5fc3,2021-06-09 16:40:31+02:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.153.0,2,2,1
38cce00da0b810431d2162b27464f71f7b873bcf,2021-06-09 16:47:55+02:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.154.0,1,1,1
bc327d46c5511c2bdb07378515d562b0e56d95d9,2021-06-09 19:14:29+02:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.156.1,2,2,1
b0caf1bbdda61358838ebd608902f9fd7f2a821b,2021-06-11 20:24:24+02:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.156.2,2,2,1
d749274cb79b319248186abf7b77a37b65b04896,2021-06-16 18:33:04+02:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.156.3,1,1,1
b115c8e51bb7cd5c39d7de641ac9f4d03f30f9b6,2021-06-17 18:41:30+02:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.156.4,2,2,1
f7bd0dbd91d669f493ae24c232e3aacef61fe6c7,2021-07-16 09:17:52+02:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.157.1,231,45,9
c59b6cc1cbd3fc3e857d625e082db72defe6316a,2021-10-06 18:12:28+02:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.157.2,2,2,1
a78a06f23bf6b443dca36f7e0e4ab3936c2aea43,2021-10-17 17:30:09+02:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.158.4,59,42,5
72de260b3f6885020ad4e0b55001214966628d5a,2021-12-02 00:35:27+01:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.162.0,62,4,9
6bf43275ae2285ae453f35deca6f90fdd9201d3e,2022-01-05 16:43:59+01:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.163.3,73,66,4
9c03990b336f99a91958b1da4122f53d909f7d1a,2022-01-17 16:48:26+01:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.164.2,2,2,1
935bfff78608ac7aec7f1d809eb6d11a9e17e6cf,2022-01-20 16:23:16+01:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.164.3,2,2,1
5f8e833d2979540f507349a2962ab2bda1066b9e,2022-02-15 17:45:03+01:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.164.4,1,1,1
68ab71f3446fbd9576a125cb15514f2567dafe5e,2022-03-17 20:18:17+01:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.165.0,1,1,1
ddda80c49116c6b826642a619788f61553d74d40,2022-03-17 20:29:35+01:00,MODIFY,se.bjurr.gitchangelog,git-changelog-lib,1.165.2,1,1,1
