CommitHash,CommitDate,ChangeType,groupId,artifactId,version,NbrAddedLines,NbrDeletedLines,NbrModifiedFiles
c9d953b8030bab71bf7805527eb842819e860eaa,2017-10-04 11:03:58-07:00,ADD,com.fasterxml.jackson.core,jackson-databind,2.7.3,877,0,9
83110ff7e48f0693d94ee42b30cc9e422d6fa1bb,2019-04-22 09:01:41-07:00,MODIFY,com.fasterxml.jackson.core,jackson-databind,2.8.11.1,1,1,1
ac778f17663e2056f12dda91b1737f101a8899b8,2019-09-18 07:17:33-07:00,MODIFY,com.fasterxml.jackson.core,jackson-databind,2.9.7,22,16,1
f689b2e3b96efdae3472b411f32b2d8af6763ac7,2019-10-17 06:21:04-07:00,MODIFY,com.fasterxml.jackson.core,jackson-databind,"[2.9.10,)",1,1,1
c9d953b8030bab71bf7805527eb842819e860eaa,2017-10-04 11:03:58-07:00,ADD,org.apache.commons,commons-lang3,3.5,877,0,9
ac778f17663e2056f12dda91b1737f101a8899b8,2019-09-18 07:17:33-07:00,MODIFY,org.jenkins-ci.plugins,structs,1.18,22,16,1
df4b255527c3cbdc3db2939fb641f261b13da2b3,2019-10-13 06:21:26-07:00,MODIFY,org.jenkins-ci.plugins,structs,1.19,5,8,2
4e5f24b434bd9ea81f60921c27b33daf47cc0b0b,2019-05-08 12:40:43-07:00,MODIFY,org.apache.httpcomponents,httpcore,4.4.6,2092,276,35
ac778f17663e2056f12dda91b1737f101a8899b8,2019-09-18 07:17:33-07:00,MODIFY,org.jenkins-ci.plugins.workflow,workflow-step-api,2.20,22,16,1
c9d953b8030bab71bf7805527eb842819e860eaa,2017-10-04 11:03:58-07:00,ADD,org.jenkins-ci.plugins.workflow,workflow-support,2.14,877,0,9
4e5f24b434bd9ea81f60921c27b33daf47cc0b0b,2019-05-08 12:40:43-07:00,MODIFY,org.jenkins-ci.plugins.workflow,workflow-support,2.17,2092,276,35
35a3e132c0da343f73bf799b5785bb2ab8ae0236,2019-04-18 09:41:48-07:00,MODIFY,org.jenkins-ci.plugins,script-security,1.42,46,10,2
c9d953b8030bab71bf7805527eb842819e860eaa,2017-10-04 11:03:58-07:00,ADD,org.jenkins-ci.plugins,github-branch-source,2.2.3,877,0,9
ac778f17663e2056f12dda91b1737f101a8899b8,2019-09-18 07:17:33-07:00,MODIFY,org.jenkins-ci.plugins,github-branch-source,2.5.4-rc860.9c636841daa2,22,16,1
c9d953b8030bab71bf7805527eb842819e860eaa,2017-10-04 11:03:58-07:00,ADD,org.jenkinsci.plugins,pipeline-model-api,1.2.1,877,0,9
35a3e132c0da343f73bf799b5785bb2ab8ae0236,2019-04-18 09:41:48-07:00,MODIFY,org.jenkinsci.plugins,pipeline-model-api,1.3,46,10,2
c9d953b8030bab71bf7805527eb842819e860eaa,2017-10-04 11:03:58-07:00,ADD,org.jenkinsci.plugins,pipeline-model-definition,1.2.1,877,0,9
35a3e132c0da343f73bf799b5785bb2ab8ae0236,2019-04-18 09:41:48-07:00,MODIFY,org.jenkinsci.plugins,pipeline-model-definition,1.3,46,10,2
07544fc6902af9a5519f16dec5504f4e3cd8bc18,2020-01-10 19:26:03-08:00,MODIFY,org.jenkinsci.plugins,pipeline-model-definition,1.3.1,685,181,24
0620262aba1c5bde627f529e64a22397e9ff6bcc,2019-06-20 10:10:36-07:00,MODIFY,com.datadoghq,java-dogstatsd-client,2.7,1484,56,29
7b614a0903274a216dae94076fb49aa717eac0e7,2019-10-18 05:35:01-07:00,MODIFY,org.jenkins-ci.plugins,support-core,2.32,15,16,2
c9d953b8030bab71bf7805527eb842819e860eaa,2017-10-04 11:03:58-07:00,ADD,org.jenkins-ci.plugins.workflow,workflow-api,2.22,877,0,9
35a3e132c0da343f73bf799b5785bb2ab8ae0236,2019-04-18 09:41:48-07:00,MODIFY,org.jenkins-ci.plugins.workflow,workflow-api,2.25,46,10,2
7b614a0903274a216dae94076fb49aa717eac0e7,2019-10-18 05:35:01-07:00,MODIFY,org.mockito,mockito-core,3.1.0,15,16,2
8cef4399444f5753891d348c2f2429c909b27c78,2018-04-18 22:38:39-07:00,MODIFY,org.powermock,powermock-module-junit4,1.7.4,2846,491,30
7b614a0903274a216dae94076fb49aa717eac0e7,2019-10-18 05:35:01-07:00,MODIFY,org.powermock,powermock-module-junit4,2.0.2,15,16,2
7b614a0903274a216dae94076fb49aa717eac0e7,2019-10-18 05:35:01-07:00,MODIFY,org.powermock,powermock-api-mockito2,2.0.2,15,16,2
