CommitHash,CommitDate,ChangeType,groupId,artifactId,version,NbrAddedLines,NbrDeletedLines,NbrModifiedFiles
5ce8987c19d30170c59ea8426f40f3dbfaa5506b,2014-06-11 11:55:30+00:00,ADD,junit,junit,3.8.1,4700,0,55
4787649c831a47ac4637fd489f5b2138c5e5fa62,2016-02-10 15:12:35+01:00,MODIFY,junit,junit,4.12,203,234,5
8a41ad792ad902aa14ac54a28a47d6f7d4658b55,2020-10-13 04:37:12+00:00,MODIFY,junit,junit,4.13.1,1,1,1
5ce8987c19d30170c59ea8426f40f3dbfaa5506b,2014-06-11 11:55:30+00:00,ADD,net.lingala.zip4j,zip4j,1.3.2,4700,0,55
2f50a2b4cf6eb59ed066142c77c6fb2faf95bbbd,2020-05-20 18:16:38+02:00,MODIFY,net.lingala.zip4j,zip4j,2.5.2,175,244,5
3475301b7bb9d4728c1253c6c60a87536ef8d54f,2016-08-04 11:54:07+02:00,MODIFY,com.esotericsoftware.yamlbeans,yamlbeans,1.06,44,63,8
8c9f1d19e96598b779379b767fa2762f9429b945,2016-08-11 17:45:10+02:00,MODIFY,com.esotericsoftware.yamlbeans,yamlbeans,1.09,13,13,2
14d40e20276d8923521413465241017bfdc874c0,2020-05-20 16:28:02+02:00,MODIFY,com.esotericsoftware.yamlbeans,yamlbeans,1.14,11,6,2
5ce8987c19d30170c59ea8426f40f3dbfaa5506b,2014-06-11 11:55:30+00:00,ADD,genepi-io,genepi-io,0.5.0,4700,0,55
fd7d9c8319763b926d2021b8e1bb2caee9c88bd3,2014-06-18 07:09:31+00:00,MODIFY,genepi-io,genepi-io,0.6.0,1,2,1
dbf694e598bdfc5e97975b04427a9dc63b6ad54f,2014-07-16 12:20:26+00:00,MODIFY,genepi-io,genepi-io,0.6.3,7,5,3
4549a1456c8e3cc501fbb83a3d2b9609de4b77c9,2015-05-07 11:40:47+00:00,MODIFY,genepi-io,genepi-io,0.6.4,1,1,1
9d797e8f75c5d68ccc8c59b7c6c0c2a556becc9f,2015-12-22 12:29:47+00:00,MODIFY,genepi,genepi-io,1.0.0,8,18,1
7ded9c6e499fe19e9adad6e86a8de7ec22ba65e9,2016-07-08 11:14:16+02:00,MODIFY,genepi,genepi-io,1.0.1,3,3,5
8c9f1d19e96598b779379b767fa2762f9429b945,2016-08-11 17:45:10+02:00,MODIFY,genepi,genepi-io,1.0.2,13,13,2
9b1a1a039814551efebda5d9a6336330d70d1562,2017-02-07 12:11:21+01:00,MODIFY,genepi,genepi-io,1.0.3,1,1,1
