CommitHash,CommitDate,ChangeType,groupId,artifactId,version,NbrAddedLines,NbrDeletedLines,NbrModifiedFiles
1af8511c1ebd1ba3bb4610a749ef5425ce66c3fb,2012-05-18 14:05:43-04:00,MODIFY,org.slf4j,slf4j-api,1.6.4,8,6,2
63071864994b8dfe2d305f17b99ff75015b3de76,2013-09-17 09:56:51-07:00,MODIFY,org.slf4j,slf4j-api,1.6.2,1,1,1
df565b8aa9ffeacf96b3df157e7eb59dd2c2e539,2012-06-03 20:58:53-07:00,MODIFY,org.skife.config,config-magic,0.9,3437,1,48
47d9a328652f5f67a842ed9ac50594f13fb1ee22,2012-04-24 12:57:00-07:00,MODIFY,com.google.guava,guava,r08,201,1,6
0f372360112ec173bf06ab237238beed961da45c,2012-06-11 15:38:16-07:00,MODIFY,com.google.guava,guava,11.0.2,3,6,2
31b8a4d0128e9507dcad0cd6b2650027defd5846,2014-06-02 16:31:05-07:00,MODIFY,com.google.guava,guava,17.0,272,939,35
abc71296dcc334769d73e58e4a3f262a951fcd97,2013-02-12 20:41:07-06:00,MODIFY,com.fasterxml.jackson.core,jackson-annotations,2.1.2,17,16,3
7b432acd5efa4e615be9800bff5a60a7090587f1,2013-04-11 20:01:28-07:00,MODIFY,com.fasterxml.jackson.core,jackson-annotations,2.1.4,1207,3,17
08f3a0cfef06e72305f72a9c0f7edef2716b8a68,2017-02-14 07:03:02-08:00,MODIFY,com.fasterxml.jackson.core,jackson-annotations,2.6.5,17,7,1
abc71296dcc334769d73e58e4a3f262a951fcd97,2013-02-12 20:41:07-06:00,MODIFY,com.fasterxml.jackson.core,jackson-core,2.1.3,17,16,3
7b432acd5efa4e615be9800bff5a60a7090587f1,2013-04-11 20:01:28-07:00,MODIFY,com.fasterxml.jackson.core,jackson-core,2.1.4,1207,3,17
08f3a0cfef06e72305f72a9c0f7edef2716b8a68,2017-02-14 07:03:02-08:00,MODIFY,com.fasterxml.jackson.core,jackson-core,2.6.5,17,7,1
abc71296dcc334769d73e58e4a3f262a951fcd97,2013-02-12 20:41:07-06:00,MODIFY,com.fasterxml.jackson.core,jackson-databind,2.1.3,17,16,3
7b432acd5efa4e615be9800bff5a60a7090587f1,2013-04-11 20:01:28-07:00,MODIFY,com.fasterxml.jackson.core,jackson-databind,2.1.4,1207,3,17
08f3a0cfef06e72305f72a9c0f7edef2716b8a68,2017-02-14 07:03:02-08:00,MODIFY,com.fasterxml.jackson.core,jackson-databind,2.6.5,17,7,1
0aaf3f386d868f050aaaa5f74f60be5dc4a9beab,2012-05-09 18:41:44-07:00,MODIFY,joda-time,joda-time,1.6,39,3,2
dc2b36ae15b6c16078339d21537b7f1e38619628,2012-09-10 10:38:30-07:00,MODIFY,joda-time,joda-time,2.1,1,1,1
6f7da13237dc10d058d9df7c9713927ee14f7f45,2015-11-11 14:45:18-08:00,MODIFY,com.jayway.jsonpath,json-path,2.0.0,489,0,3
73643f9881ad5ac48e111b2567c654a4f51c3c76,2017-10-26 17:07:29-05:00,MODIFY,org.asynchttpclient,async-http-client,2.0.37,712,426,27
e6fa0cb02dafcb0ac07521060956fc095d08f087,2017-10-13 16:53:53-05:00,MODIFY,org.hyperic,sigar,${sigar.base.version}.132,13643,7,124
e6fa0cb02dafcb0ac07521060956fc095d08f087,2017-10-13 16:53:53-05:00,MODIFY,org.hyperic,sigar-dist,${sigar.base.version}.132,13643,7,124
ea671b32f22d905c53de52b0fd3df51642e564ad,2011-10-21 17:00:05-07:00,ADD,junit,junit,4.8.1,190,0,2
07d5973129b25cd6216ec0cb691e52cd552a6e26,2016-02-17 10:46:48-08:00,MODIFY,org.slf4j,slf4j-simple,1.6.4,7,0,1
08f3a0cfef06e72305f72a9c0f7edef2716b8a68,2017-02-14 07:03:02-08:00,MODIFY,org.slf4j,slf4j-simple,1.7.22,17,7,1
ea671b32f22d905c53de52b0fd3df51642e564ad,2011-10-21 17:00:05-07:00,ADD,org.easymock,easymock,3.0,190,0,2
ea671b32f22d905c53de52b0fd3df51642e564ad,2011-10-21 17:00:05-07:00,ADD,log4j,log4j,1.2.16,190,0,2
