CommitHash,CommitDate,ChangeType,groupId,artifactId,version,NbrAddedLines,NbrDeletedLines,NbrModifiedFiles
cb04858217f63b3fba4b51d8bf83820ee43553b1,2019-05-02 09:50:24+02:00,MODIFY,commons-net,commons-net,3.6,44,58,13
94c2521f9213d0d253cd6a3b07333c29706d5368,2022-05-29 17:01:45+02:00,MODIFY,io.jenkins.tools.bom,bom-2.346.x,1382.v7d694476f340,128,57,17
e4d653954d9834fec33c82f3e40ee906490a5f9c,2022-05-30 09:50:38+02:00,MODIFY,io.jenkins.tools.bom,bom-2.346.x,1409.v7659b_c072f18,1,1,1
c1a1365dfc28d59c9117e3cee351929aa2809138,2022-06-20 10:49:34+02:00,MODIFY,io.jenkins.tools.bom,bom-2.346.x,1438.v6a_2c29d73f82,1,1,1
9ef5e9bef6c45891fd5ebff3b213cd47a1d9b14d,2022-06-27 09:52:24+02:00,MODIFY,io.jenkins.tools.bom,bom-2.346.x,1451.v15f1fdb_772a_f,1,1,1
fcd52bbc8a922b315fb0113a4d583d90b4a09ecc,2022-07-23 15:30:18+02:00,MODIFY,io.jenkins.tools.bom,bom-2.346.x,1508.v4b_d09ff0e893,3,3,2
8cc9fd1f45973e3cfe27cb8fdf1c8d43193c3b6a,2022-08-01 09:53:19+02:00,MODIFY,io.jenkins.tools.bom,bom-2.346.x,1556.vfc6a_f216e3c6,1,1,1
a496b9f1f91f3b0cbd1a0782b8913c9e160c2383,2022-08-23 18:49:00+02:00,MODIFY,io.jenkins.tools.bom,bom-2.346.x,1595.v8c71c13cc3a_9,1,1,1
3ef32db21e6a59ee5376b84cc72ad5095f1cff2a,2022-10-22 10:30:48+02:00,MODIFY,io.jenkins.tools.bom,bom-2.346.x,1643.v1cffef51df73,1,1,1
04b66d78555e2473d17f870019d25166661c369e,2022-08-23 20:07:08+02:00,MODIFY,io.jenkins.plugins,ionicons-api,19.v744f3b_2b_b_e4e,648,665,5
ff77589dae48fa3028a434b6c5e4375d7fc31300,2022-08-29 09:35:23+02:00,MODIFY,io.jenkins.plugins,ionicons-api,22.v868b_0c347756,1,1,1
4c9c8f46038d59ea58f476efcffeed0d9d38bf9a,2022-09-14 13:49:13+02:00,MODIFY,io.jenkins.plugins,ionicons-api,24.va_745a_b_a_97fc3,1,1,1
5a31d0dd00f7e8e0f3ff04a29e25a7bdfee8d84f,2022-09-26 10:11:42+02:00,MODIFY,io.jenkins.plugins,ionicons-api,28.va_f3a_84439e5f,1,1,1
60f538cb64c23af551466703475a9c17e952c50f,2019-02-18 15:16:02+01:00,MODIFY,org.xmlunit,xmlunit-core,2.6.2,636,248,10
c35a98d87dd44cc691d84088f67e2aea183136aa,2019-07-12 10:15:44+02:00,MODIFY,org.xmlunit,xmlunit-core,2.6.3,4,4,1
7c78dd1363e1323bf1138eba5e2787e0d7011af2,2020-03-19 17:18:19+01:00,MODIFY,org.xmlunit,xmlunit-core,2.6.4,10,12,1
6148d3b9371df4e0d6dea9929450b40e59453c3e,2021-12-15 20:29:00+00:00,MODIFY,org.xmlunit,xmlunit-core,2.8.3,1,1,1
460e9255316bc16eb9c5e89b7777fd1a71c06397,2021-12-20 00:13:26+00:00,MODIFY,org.xmlunit,xmlunit-core,2.8.4,1,1,1
c09da43e08ff09f6232d0f0a4b9afe98a8165342,2019-08-29 08:55:37+02:00,MODIFY,io.github.java-diff-utils,java-diff-utils,4.0,97,40,5
98c14e2c95ac8d2bb04a093b094f0a37eed4a0d2,2020-02-14 16:49:12+01:00,MODIFY,io.github.java-diff-utils,java-diff-utils,4.5,15,17,1
97b7ee387bfa149d9c5ac779ca737162c875cb32,2021-12-15 22:40:23+00:00,MODIFY,io.github.java-diff-utils,java-diff-utils,4.11,1,1,1
828fc30d9254171e554a2efad4d16aadbc7327fd,2013-03-21 17:41:39+01:00,MODIFY,org.jenkins-ci.main,maven-plugin,None,85,47,6
b4ec56a57eead135994839256bb3615a5068e6a2,2014-01-06 21:49:03+01:00,MODIFY,org.jenkins-ci.main,maven-plugin,1.532,2,1,1
b952c823502f654c5f76a6ca44645a48d90594c3,2014-05-09 18:09:40-04:00,MODIFY,org.jenkins-ci.main,maven-plugin,2.0,12,71,3
cb04858217f63b3fba4b51d8bf83820ee43553b1,2019-05-02 09:50:24+02:00,MODIFY,org.jenkins-ci.main,maven-plugin,3.0,44,58,13
4f59508652a2f513b73ce15b3ed95f56ce14019f,2022-10-22 10:31:11+02:00,MODIFY,org.jenkins-ci.main,maven-plugin,3.20,1,1,1
1d55c9cc4d13a44c4d75cee938c84f0a05cda6cc,2013-08-27 20:37:22+02:00,MODIFY,org.mockito,mockito-core,1.9.5,43,0,2
b84c5977ec5180263425c238efb6309891d0ca15,2018-02-08 15:41:40+01:00,MODIFY,org.jenkins-ci.plugins,matrix-project,1.0,83,40,8
