CommitHash,CommitDate,ChangeType,groupId,artifactId,version,NbrAddedLines,NbrDeletedLines,NbrModifiedFiles
5c6e0fd7d07a3ee26995b2d5014146886be33e85,2014-05-30 15:13:57+01:00,MODIFY,uk.ac.rdg.resc,edal-common,1.0-alpha,79,80,1
11d379672a4afc9c05f0cd6212693d4286ea4939,2014-05-30 15:24:23+01:00,MODIFY,uk.ac.rdg.resc,edal-common,1.0-SNAPSHOT,7,7,1
0f6a04954df81d7c3ecc563409e1b98ee0a3dfa5,2014-05-30 16:32:23+01:00,MODIFY,uk.ac.rdg.resc,edal-common,1.0-ALPHA,7,7,1
2126d05d0b40592082bf5ded79e6d5a9bdaf0de9,2015-10-28 15:36:33+00:00,MODIFY,uk.ac.rdg.resc,edal-common,project.parent.version,5,1,1
e8e8869125226aedd705bf78a2cdff098c066331,2016-07-14 16:42:12+01:00,MODIFY,uk.ac.rdg.resc,edal-common,1.2.2-SNAPSHOT,253,20,1
85f11573c0d81414ef556c6da3768efbca2bcb8f,2016-08-15 11:00:15+01:00,MODIFY,uk.ac.rdg.resc,edal-common,1.2.2,5,4,1
fc5302730e0ed15e2afc202c852ffd5732e3e1f2,2016-08-15 12:44:06+01:00,MODIFY,uk.ac.rdg.resc,edal-common,1.2.3-SNAPSHOT,2,2,1
564bb49dcc6889790f3ec9d3d48b8abf8ebdbe95,2016-10-12 09:16:58+01:00,MODIFY,uk.ac.rdg.resc,edal-common,1.2.3,2,2,1
434dd99ede6d26e7dc1d943ccba80af254cb82d5,2016-10-12 09:31:01+01:00,MODIFY,uk.ac.rdg.resc,edal-common,1.2.4-SNAPSHOT,5,10,2
41b3f36b0e56f118c76969bcb4e2ed2975f7104f,2016-10-28 15:30:30+01:00,MODIFY,uk.ac.rdg.resc,edal-common,1.2.4,2,2,1
8dbe6d65d7df56aa8164d20d12716f12b3a9fd53,2016-10-28 15:40:50+01:00,MODIFY,uk.ac.rdg.resc,edal-common,1.2.5-SNAPSHOT,2,2,1
6dd2d6cdfa7a62c6da8c4282e4a87e5ded0a88e6,2016-12-07 12:18:31+00:00,MODIFY,uk.ac.rdg.resc,edal-common,1.2.5,2,2,1
2131394ec43741b81c7cbb168ee1f47409ae7119,2016-12-07 12:23:29+00:00,MODIFY,uk.ac.rdg.resc,edal-common,1.2.6-SNAPSHOT,2,2,1
d7fd4fc7916d2f18bb64abc8f5da82cfac50e861,2017-02-20 15:56:15+00:00,MODIFY,uk.ac.rdg.resc,edal-common,1.2.6,4,7,2
146cf6c1455b8475727d6122f01c27b7d857ba5a,2017-02-20 16:01:25+00:00,MODIFY,uk.ac.rdg.resc,edal-common,1.2.7-SNAPSHOT,2,2,1
96a9ef54a1c01729f07f4e80233ea3c0877702e6,2017-04-24 12:44:42+01:00,MODIFY,uk.ac.rdg.resc,edal-common,1.2.7,6,2,3
bd269ad9fc99334b4c6ac39c9ed0d6da76073445,2017-04-24 13:04:22+01:00,MODIFY,uk.ac.rdg.resc,edal-common,1.2.8-SNAPSHOT,2,2,1
4f2cbbc2158e5aed1b031bee40d558e9f3e6b04d,2017-06-06 15:08:09+01:00,MODIFY,uk.ac.rdg.resc,edal-common,1.2.8,2,2,1
a0fba5042e12a945a1beb7a6a90a5f2f57411c43,2017-09-18 11:17:32+01:00,MODIFY,uk.ac.rdg.resc,edal-common,1.2.9,2,2,1
b6e2193c1c2f6115add284adfb846e804d5d0bc1,2017-09-18 11:51:12+01:00,MODIFY,uk.ac.rdg.resc,edal-common,1.2.10,2,2,1
21849565896651489709284205722b57c24eb026,2017-09-18 11:56:35+01:00,MODIFY,uk.ac.rdg.resc,edal-common,1.2.11-SNAPSHOT,2,2,1
f52808a1481849aa6ce40e42d5bf2b1ad3e0971c,2017-11-02 16:03:14+00:00,MODIFY,uk.ac.rdg.resc,edal-common,1.2.11,2,2,1
8c5f2d0d315af55bd833c553003baead9582a0e3,2017-11-02 16:07:48+00:00,MODIFY,uk.ac.rdg.resc,edal-common,1.2.12-SNAPSHOT,2,2,1
ad4081aef7fdac647e5366e9cf3a175f766de55e,2017-11-13 15:15:30+00:00,MODIFY,uk.ac.rdg.resc,edal-common,1.2.12,7,3,3
08bbe8521d7173b0f19015ddca0307edf7b6a57f,2017-11-13 15:21:37+00:00,MODIFY,uk.ac.rdg.resc,edal-common,1.2.13-SNAPSHOT,2,2,1
a15fdfa28cdf48137f317195821d871a5343edb2,2018-01-10 15:36:57+00:00,MODIFY,uk.ac.rdg.resc,edal-common,1.2.13,3,3,3
89dcd141c2f192d6bc7f3c51be2b958c964e749d,2018-01-10 15:44:25+00:00,MODIFY,uk.ac.rdg.resc,edal-common,1.2.14-SNAPSHOT,2,2,1
cea7ed7ded48b717c69e6beb053dd1bcd00bac35,2018-01-31 11:48:06+00:00,MODIFY,uk.ac.rdg.resc,edal-common,1.3.0,3,3,2
01d54a8445d2629d9135ec7401434308bf139ca6,2018-01-31 11:53:05+00:00,MODIFY,uk.ac.rdg.resc,edal-common,1.3.1-SNAPSHOT,2,2,1
e9e033409dd6429b487c0e65b4922e47cb65a7c0,2018-02-06 12:15:44+00:00,MODIFY,uk.ac.rdg.resc,edal-common,1.3.1,7,3,3
263093cdfd3089277d070b47b3aebcb6cb069314,2018-02-06 12:23:22+00:00,MODIFY,uk.ac.rdg.resc,edal-common,1.3.2-SNAPSHOT,2,2,1
e3083426b8936a541cf232dfc24bfaa190895a5e,2018-03-02 15:29:37+00:00,MODIFY,uk.ac.rdg.resc,edal-common,1.4.0,9,3,3
05850808f7d3159815be39d7e56aceab3f7734a1,2018-03-02 15:35:21+00:00,MODIFY,uk.ac.rdg.resc,edal-common,1.4.1-SNAPSHOT,2,2,1
72ec2819ecea7015e2dc70715eab9fff8d6ab4b2,2018-05-15 15:13:06+01:00,MODIFY,uk.ac.rdg.resc,edal-common,1.4.1,9,4,3
9557f6caae741782e7b0959acfe0ad31e0554236,2018-05-15 15:29:10+01:00,MODIFY,uk.ac.rdg.resc,edal-common,1.4.2-SNAPSHOT,2,2,1
5a83a3563510a8f7098a50963dcc907151d2f4cf,2020-02-27 10:37:38+00:00,MODIFY,uk.ac.rdg.resc,edal-common,1.4.2,3,3,2
fc3d9aa3bdc98cd0d3875f8e6fdb122d5631760c,2020-02-27 10:44:45+00:00,MODIFY,uk.ac.rdg.resc,edal-common,1.4.3-SNAPSHOT,2,2,1
d944b0258994454bd2e3f194e31fb9a89ce71add,2020-05-14 15:05:39+01:00,MODIFY,uk.ac.rdg.resc,edal-common,1.5.0-SNAPSHOT,90,79,7
c1b65c7b8d23f96ed1343072fa7bc9f5440f9d0b,2020-09-23 14:54:16+01:00,MODIFY,uk.ac.rdg.resc,edal-common,1.5.0,2,2,1
ecaf60227299fe67e1825d90c83dc2c3c6402137,2020-09-23 15:06:17+01:00,MODIFY,uk.ac.rdg.resc,edal-common,1.5.1-SNAPSHOT,2,2,1
1df7102fb315a5a6fcedc2770efb867d3766cb29,2021-10-19 14:04:54+01:00,MODIFY,uk.ac.rdg.resc,edal-common,1.5.1,3,3,2
615c433b10136582d02e75e00c88a802ae06b47a,2011-08-31 16:57:15+01:00,MODIFY,uk.ac.rdg.resc,edal-graphics,0.1.0-SNAPSHOT,14,3195,16
5c6e0fd7d07a3ee26995b2d5014146886be33e85,2014-05-30 15:13:57+01:00,MODIFY,uk.ac.rdg.resc,edal-graphics,1.0-alpha,79,80,1
11d379672a4afc9c05f0cd6212693d4286ea4939,2014-05-30 15:24:23+01:00,MODIFY,uk.ac.rdg.resc,edal-graphics,1.0-SNAPSHOT,7,7,1
0f6a04954df81d7c3ecc563409e1b98ee0a3dfa5,2014-05-30 16:32:23+01:00,MODIFY,uk.ac.rdg.resc,edal-graphics,1.0-ALPHA,7,7,1
2126d05d0b40592082bf5ded79e6d5a9bdaf0de9,2015-10-28 15:36:33+00:00,MODIFY,uk.ac.rdg.resc,edal-graphics,project.parent.version,5,1,1
e8e8869125226aedd705bf78a2cdff098c066331,2016-07-14 16:42:12+01:00,MODIFY,uk.ac.rdg.resc,edal-graphics,1.2.2-SNAPSHOT,253,20,1
85f11573c0d81414ef556c6da3768efbca2bcb8f,2016-08-15 11:00:15+01:00,MODIFY,uk.ac.rdg.resc,edal-graphics,1.2.2,5,4,1
fc5302730e0ed15e2afc202c852ffd5732e3e1f2,2016-08-15 12:44:06+01:00,MODIFY,uk.ac.rdg.resc,edal-graphics,1.2.3-SNAPSHOT,2,2,1
564bb49dcc6889790f3ec9d3d48b8abf8ebdbe95,2016-10-12 09:16:58+01:00,MODIFY,uk.ac.rdg.resc,edal-graphics,1.2.3,2,2,1
434dd99ede6d26e7dc1d943ccba80af254cb82d5,2016-10-12 09:31:01+01:00,MODIFY,uk.ac.rdg.resc,edal-graphics,1.2.4-SNAPSHOT,5,10,2
41b3f36b0e56f118c76969bcb4e2ed2975f7104f,2016-10-28 15:30:30+01:00,MODIFY,uk.ac.rdg.resc,edal-graphics,1.2.4,2,2,1
8dbe6d65d7df56aa8164d20d12716f12b3a9fd53,2016-10-28 15:40:50+01:00,MODIFY,uk.ac.rdg.resc,edal-graphics,1.2.5-SNAPSHOT,2,2,1
