CommitHash,CommitDate,ChangeType,groupId,artifactId,version,NbrAddedLines,NbrDeletedLines,NbrModifiedFiles
7864a8aca92528f8823f3d913d2d28c37472f1c4,2015-11-08 02:28:25+01:00,ADD,com.google.guava,guava,18.0,1914,84,18
1295f4a06f3cd1a93ae8d014000f2e0d085df9fb,2015-12-04 16:01:49+01:00,ADD,com.google.guava,guava,14.0.1,2406,1,34
b77ab1179a2666fdaf0d7578757a73212921ef62,2016-05-18 19:53:04+02:00,MODIFY,com.google.guava,guava,19.0,4,4,4
d7f10292e74a16413731279644f11e0fbbb64317,2017-05-03 20:20:52+02:00,MODIFY,com.google.guava,guava,21.0,45,45,13
4dd95844d50137de675154c3dc2481e7de7ddaae,2017-07-17 00:52:46+02:00,MODIFY,com.google.guava,guava,22.0,33,25,9
d14cc227a66f6308dc221482fab7812eba01cf82,2017-09-10 13:39:28+02:00,MODIFY,com.google.guava,guava,23.0,14,42,5
b809c96d15d9267c7d53beee25635245b1a7eb8e,2017-12-03 18:30:32+01:00,MODIFY,com.google.guava,guava,23.5-jre,14,14,4
85ad82ac15dacc22c1066565383160e95c1cce32,2018-03-27 16:02:52+02:00,MODIFY,com.google.guava,guava,24.1-jre,6,6,4
c2ecb9c3e91fae3b1a8bb1dad47a644e9b06d69d,2018-05-23 17:58:29+02:00,MODIFY,com.google.guava,guava,24.1.1-jre,10,11,6
521b80517e3cf3acfd3d5b16f86132af37d912bd,2018-06-11 20:33:57+02:00,MODIFY,com.google.guava,guava,25.1-jre,101,301,33
873c96105654604814f5af03309470fa9d20aa05,2018-12-11 20:14:37+01:00,MODIFY,com.google.guava,guava,27.0.1-jre,5,5,3
5b2ad9722e6e99fdf18fc5d2384954e0450610db,2019-10-22 14:21:25+02:00,MODIFY,com.google.guava,guava,28.1-jre,5,5,3
c72126db2e9ca76121768ed65c6df5702ddc2abd,2020-04-15 13:05:50+02:00,MODIFY,com.google.guava,guava,28.2-jre,5,5,1
ee1e49810787477a91cb68ff7a526c3860bd1037,2020-10-23 23:29:56+00:00,MODIFY,com.google.guava,guava,30.0-android,1,1,1
0778dc4eaaf2d30a5bbd40eb13d57f9cd2a178a5,2020-10-24 08:16:00+02:00,MODIFY,com.google.guava,guava,30.0-jre,1,1,1
4e4fa8f16842c39202611c7945739b8cb954db68,2021-05-12 12:15:17+02:00,MODIFY,com.google.guava,guava,30.1.1-jre,15,15,3
3cef4ec80c41e3443d5bb24157c3d5569daf050d,2021-11-22 15:26:19+01:00,MODIFY,com.google.guava,guava,31.0.1-jre,7,7,2
cbcc7c3aec71447bec7e9af307bb6a69c59e1810,2022-06-09 08:56:06+02:00,MODIFY,com.google.guava,guava,None,31,8,3
f3a631f657b9b0c71d6c0b8879c1eb37b95ff840,2019-11-11 14:45:59+01:00,MODIFY,org.slf4j,slf4j-api,1.7.29,99,1,16
c72126db2e9ca76121768ed65c6df5702ddc2abd,2020-04-15 13:05:50+02:00,MODIFY,org.slf4j,slf4j-api,1.7.30,5,5,1
3cef4ec80c41e3443d5bb24157c3d5569daf050d,2021-11-22 15:26:19+01:00,MODIFY,org.slf4j,slf4j-api,1.7.32,7,7,2
59806ded2cf846f186bd9020c362ec541995a7bc,2022-06-07 20:16:56+02:00,MODIFY,org.slf4j,slf4j-api,1.7.36,9,9,3
cbcc7c3aec71447bec7e9af307bb6a69c59e1810,2022-06-09 08:56:06+02:00,MODIFY,org.slf4j,slf4j-api,None,31,8,3
7d5d5fa4eb63255ec9a1c7e6dc4e471c9d1cb9fe,2020-05-18 15:54:23+02:00,MODIFY,org.slf4j,slf4j-simple,1.7.30,188,37,25
3cef4ec80c41e3443d5bb24157c3d5569daf050d,2021-11-22 15:26:19+01:00,MODIFY,org.slf4j,slf4j-simple,1.7.32,7,7,2
59806ded2cf846f186bd9020c362ec541995a7bc,2022-06-07 20:16:56+02:00,MODIFY,org.slf4j,slf4j-simple,1.7.36,9,9,3
cbcc7c3aec71447bec7e9af307bb6a69c59e1810,2022-06-09 08:56:06+02:00,MODIFY,org.slf4j,slf4j-simple,None,31,8,3
594dabf57e4ea0d996be814200c3f88ffb8d741f,2021-08-27 12:13:55+02:00,MODIFY,org.junit.jupiter,junit-jupiter-engine,5.7.2,132,113,17
3cef4ec80c41e3443d5bb24157c3d5569daf050d,2021-11-22 15:26:19+01:00,MODIFY,org.junit.jupiter,junit-jupiter-engine,5.8.1,7,7,2
59806ded2cf846f186bd9020c362ec541995a7bc,2022-06-07 20:16:56+02:00,MODIFY,org.junit.jupiter,junit-jupiter-engine,5.8.2,9,9,3
cbcc7c3aec71447bec7e9af307bb6a69c59e1810,2022-06-09 08:56:06+02:00,MODIFY,org.junit.jupiter,junit-jupiter-engine,None,31,8,3
