CommitHash,CommitDate,ChangeType,groupId,artifactId,version,NbrAddedLines,NbrDeletedLines,NbrModifiedFiles
4c9c4377cdf4ab63b8cce0c32b38ffe383e730c3,2019-07-08 12:28:18+01:00,MODIFY,org.hamcrest,hamcrest,None,23,41,8
4c9c4377cdf4ab63b8cce0c32b38ffe383e730c3,2019-07-08 12:28:18+01:00,MODIFY,org.hamcrest,hamcrest,2.1,23,41,8
46d552158da346847f06c8aa015422a5ce6ff3dd,2017-04-07 16:38:56+00:00,MODIFY,org.hamcrest,hamcrest-library,1.3,1935,26,26
46d552158da346847f06c8aa015422a5ce6ff3dd,2017-04-07 16:38:56+00:00,ADD,org.hamcrest,hamcrest-library,None,1935,26,26
4c9c4377cdf4ab63b8cce0c32b38ffe383e730c3,2019-07-08 12:28:18+01:00,MODIFY,org.hamcrest,hamcrest-library,2.1,23,41,8
ecfc81b5dbfd80f9f88fd3b0b56c62c68bd50869,2006-11-18 03:48:15+00:00,ADD,junit,junit,None,1837,119,38
ecfc81b5dbfd80f9f88fd3b0b56c62c68bd50869,2006-11-18 03:48:15+00:00,ADD,junit,junit,4.0,1837,119,38
9e958d65f6f682583a1fc2d864752dce1189a722,2006-11-19 04:14:42+00:00,MODIFY,junit,junit,3.8.2,1406,2451,79
b5567c84f945964bd5879feaf724e4c582929988,2006-11-24 23:40:12+00:00,MODIFY,junit,junit,3.8.1,14,42,6
01284f5f2399bb5bb1098763e4bcf01d86fa1965,2013-09-23 23:58:38+00:00,ADD,junit,junit,junit-version,4241,0,37
a478735d239faa38333de7a3d9a2c17378f6eac1,2014-03-21 12:46:13+00:00,ADD,junit,junit,4.11,346,0,3
c5b299c04e2c7d91aa58f39bc13af633434cdcf6,2019-07-08 13:08:43+01:00,MODIFY,junit,junit,4.12,1,1,1
6ef72d409b63715025664416ed977a6131651858,2020-02-21 09:54:32+00:00,MODIFY,junit,junit,4.13,99,102,73
6fc65f518dcb6c8f1762531eb9b7bb01a1b6316b,2018-10-10 10:26:50+01:00,MODIFY,org.mockito,mockito-core,None,161,366,28
6fc65f518dcb6c8f1762531eb9b7bb01a1b6316b,2018-10-10 10:26:50+01:00,MODIFY,org.mockito,mockito-core,2.22.0,161,366,28
6fc65f518dcb6c8f1762531eb9b7bb01a1b6316b,2018-10-10 10:26:50+01:00,MODIFY,org.mockito,mockito-core,mockito-version,161,366,28
9e7a78efbc412239a4dc9f07e3537d6e141a8c32,2019-07-08 15:30:55+01:00,MODIFY,org.mockito,mockito-core,2.28.2,1,1,1
6ef72d409b63715025664416ed977a6131651858,2020-02-21 09:54:32+00:00,MODIFY,org.mockito,mockito-core,3.2.4,99,102,73
01284f5f2399bb5bb1098763e4bcf01d86fa1965,2013-09-23 23:58:38+00:00,ADD,org.apache.qpid,qpid-bdbstore,0.26-SNAPSHOT,4241,0,37
872edc67bfa296f6f16e3ac6374aece4bede5567,2014-02-06 15:20:34+00:00,MODIFY,org.apache.qpid,qpid-bdbstore,project.version,767,863,35
07a16bbe50a542ac998aa6621114eb67c7b5bfc7,2017-06-27 10:12:33+01:00,MODIFY,org.apache.qpid,qpid-bdbstore,None,182,152,28
