CommitHash,CommitDate,ChangeType,groupId,artifactId,version,NbrAddedLines,NbrDeletedLines,NbrModifiedFiles
408e5a1ba90bca8f0e3f808dfd9ed46dcd010f8e,2020-05-21 09:34:05-04:00,MODIFY,org.openrewrite,rewrite-java,2.0.0-rc.2,419,194,10
ef5ef634c3c7eb068c54c78a3cc4d51d72c53a2a,2020-06-08 08:41:31-05:00,MODIFY,org.openrewrite,rewrite-java,2.0.0-SNAPSHOT,719,266,22
938587b4f4535d799e45477d9c6ac705230c3f9f,2020-06-16 17:17:27-05:00,MODIFY,org.openrewrite,rewrite-java,2.0.0,7,7,1
f312212a8878d0b411fd31162d369fa08ec7b979,2020-06-22 06:43:34-05:00,MODIFY,org.openrewrite,rewrite-java,2.0.1,5,5,1
0f305cf83b5c7aa73e5e57279a4c98f5520e06e1,2020-08-04 21:18:02-07:00,MODIFY,org.openrewrite,rewrite-java,3.0.0,22,14,2
853bf6f53e23deb9e51cd7e1a397f68186bdf781,2020-08-04 23:45:45-07:00,MODIFY,org.openrewrite,rewrite-java,3.0.1,26,34,3
70c2059f36df954bc97ee343c8114984fd0220d0,2020-08-06 16:35:15-07:00,MODIFY,org.openrewrite,rewrite-java,3.0.2,8,8,1
897438f11dd1b468c1cfa3a94f760842e5fddbc5,2020-08-08 10:19:11-07:00,MODIFY,org.openrewrite,rewrite-java,3.1.0-SNAPSHOT,30,22,5
7b06c83899fecc616ebdfa7f9f6db6d9c7bcec3b,2020-08-17 16:43:02-07:00,MODIFY,org.openrewrite,rewrite-java,4.0.0,56,68,8
02b82905ac92db27a3a83330654fbb3544351de5,2020-08-17 20:41:40-07:00,MODIFY,org.openrewrite,rewrite-java,4.0.1,9,9,2
82f55f1dbbe6cffa2daf65adbfd7d81354b74dfe,2020-08-26 16:17:59-07:00,MODIFY,org.openrewrite,rewrite-java,4.3.0-SNAPSHOT,70,35,5
221cafe2b8044d4ad643f6c31c84ce68f257c5e9,2020-09-06 11:58:39-07:00,MODIFY,org.openrewrite,rewrite-java,5.1.0-SNAPSHOT,85,114,6
f90209ee19570eaf159193b833856d53162f1aa8,2020-09-06 23:05:23-07:00,MODIFY,org.openrewrite,rewrite-java,5.1.0,7,7,1
975b7d670e791ec68af1adf20cb9057aafdd8a10,2020-09-19 13:35:05-07:00,MODIFY,org.openrewrite,rewrite-java,5.3.0,157,77,3
916b3aec30a1f850bb2c9dbe68ada297afc82359,2020-09-22 20:34:59-07:00,MODIFY,org.openrewrite,rewrite-java,5.4.0,9,9,1
4d3e2831ee0e37cb87dd2d37cfba61084d17504c,2020-11-20 10:06:48-08:00,MODIFY,org.openrewrite,rewrite-java,5.5.4,34,34,2
6f7877a85b6a36173a1b99686740b4b73ad17370,2020-11-23 20:13:55-08:00,MODIFY,org.openrewrite,rewrite-java,6.0.0,68,65,7
7f2925d1ca3f18776e2d94f869e3fcf4739857b6,2020-11-24 11:12:31-08:00,MODIFY,org.openrewrite,rewrite-java,6.0.1,116,101,7
174226f218539ca17dc1ac7ca87b8b5acd04f834,2020-12-03 16:46:50-08:00,MODIFY,org.openrewrite,rewrite-java,6.1.2,11,11,4
fc87e1c9fa35f39d374b28d7dddb87b3acb87b18,2020-12-03 18:41:15-08:00,MODIFY,org.openrewrite,rewrite-java,6.1.3,1,1,1
