CommitHash,CommitDate,ChangeType,groupId,artifactId,version,NbrAddedLines,NbrDeletedLines,NbrModifiedFiles
0ce182b3a578bb0180b1b3671362904a63058583,2020-01-09 14:47:44+01:00,MODIFY,jakarta.annotation,jakarta.annotation-api,None,52,17,4
0ce182b3a578bb0180b1b3671362904a63058583,2020-01-09 14:47:44+01:00,MODIFY,jakarta.enterprise,jakarta.enterprise.cdi-api,None,52,17,4
0ce182b3a578bb0180b1b3671362904a63058583,2020-01-09 14:47:44+01:00,MODIFY,jakarta.interceptor,jakarta.interceptor-api,None,52,17,4
f85ed5f6089a075c2ee6d242d696abbdf71ee926,2018-06-14 17:06:36+02:00,ADD,org.eclipse.microprofile.config,microprofile-config-api,None,6029,0,80
f85ed5f6089a075c2ee6d242d696abbdf71ee926,2018-06-14 17:06:36+02:00,ADD,org.eclipse.microprofile.config,microprofile-config-api,1.2.1,6029,0,80
f9b6c41da182436907e48dd70480898d31407f57,2018-11-12 19:38:38+00:00,MODIFY,org.eclipse.microprofile.config,microprofile-config-api,1.3,1,1,1
6fb44a87a6a6bac6fcfd1a16bf97c136fcb31875,2019-07-11 14:28:52+02:00,MODIFY,org.eclipse.microprofile.config,microprofile-config-api,1.0.0,44,32,8
9b65c2704f946ea3d7bb9df32d4f82859414b3ec,2020-02-06 05:21:45+00:00,MODIFY,org.eclipse.microprofile.config,microprofile-config-api,1.4,1,1,1
2c837358a23071f747b3be76e8ecce1528f947cd,2018-11-22 10:52:49+01:00,MODIFY,org.eclipse.microprofile.metrics,microprofile-metrics-api,None,12,1,2
2c837358a23071f747b3be76e8ecce1528f947cd,2018-11-22 10:52:49+01:00,MODIFY,org.eclipse.microprofile.metrics,microprofile-metrics-api,1.1,12,1,2
b20e12bb5da3283b8770f50286531148d271aaae,2018-11-26 09:45:11+00:00,MODIFY,org.eclipse.microprofile.metrics,microprofile-metrics-api,1.1.1,1,1,1
6fb44a87a6a6bac6fcfd1a16bf97c136fcb31875,2019-07-11 14:28:52+02:00,MODIFY,org.eclipse.microprofile.metrics,microprofile-metrics-api,2.0.1,44,32,8
75cd5bb220eaa3193ab5da41f7dfc013914914f4,2019-08-30 05:18:29+00:00,MODIFY,org.eclipse.microprofile.metrics,microprofile-metrics-api,2.0.2,1,1,1
bbb3ee89bc0b595d6fbec9363a0d3f52bc9093d3,2019-10-17 14:18:04-04:00,MODIFY,org.eclipse.microprofile.metrics,microprofile-metrics-api,2.1.0,16,2,2
