CommitHash,CommitDate,ChangeType,groupId,artifactId,version,NbrAddedLines,NbrDeletedLines,NbrModifiedFiles
e1103371dc4f3e81faaed4d9cf202ce81946e911,2019-11-18 11:42:15+01:00,ADD,decentralized-identity,uni-registrar-core,0.1-SNAPSHOT,3886,0,81
241dd879e7625dc65da213a6fad52a8ca95737e8,2020-08-11 12:04:49+02:00,MODIFY,decentralized-identity,uni-registrar-core,None,389,209,8
241dd879e7625dc65da213a6fad52a8ca95737e8,2020-08-11 12:04:49+02:00,MODIFY,decentralized-identity,uni-registrar-core,project.parent.version,389,209,8
e1103371dc4f3e81faaed4d9cf202ce81946e911,2019-11-18 11:42:15+01:00,ADD,decentralized-identity,uni-registrar-local,0.1-SNAPSHOT,3886,0,81
241dd879e7625dc65da213a6fad52a8ca95737e8,2020-08-11 12:04:49+02:00,MODIFY,decentralized-identity,uni-registrar-local,None,389,209,8
241dd879e7625dc65da213a6fad52a8ca95737e8,2020-08-11 12:04:49+02:00,MODIFY,decentralized-identity,uni-registrar-local,project.parent.version,389,209,8
e1103371dc4f3e81faaed4d9cf202ce81946e911,2019-11-18 11:42:15+01:00,ADD,decentralized-identity,uni-registrar-client,0.1-SNAPSHOT,3886,0,81
241dd879e7625dc65da213a6fad52a8ca95737e8,2020-08-11 12:04:49+02:00,MODIFY,decentralized-identity,uni-registrar-client,None,389,209,8
241dd879e7625dc65da213a6fad52a8ca95737e8,2020-08-11 12:04:49+02:00,MODIFY,decentralized-identity,uni-registrar-client,project.parent.version,389,209,8
241dd879e7625dc65da213a6fad52a8ca95737e8,2020-08-11 12:04:49+02:00,MODIFY,decentralized-identity,uni-registrar-web,project.parent.version,389,209,8
0bc259470cf4747592e89b48effee41eea6031fa,2019-11-18 11:42:14+01:00,ADD,decentralized-identity,uni-registrar-driver,0.1-SNAPSHOT,1765,0,33
241dd879e7625dc65da213a6fad52a8ca95737e8,2020-08-11 12:04:49+02:00,MODIFY,decentralized-identity,uni-registrar-driver,None,389,209,8
241dd879e7625dc65da213a6fad52a8ca95737e8,2020-08-11 12:04:49+02:00,MODIFY,decentralized-identity,uni-registrar-driver,project.parent.version,389,209,8
e1103371dc4f3e81faaed4d9cf202ce81946e911,2019-11-18 11:42:15+01:00,ADD,decentralized-identity,uni-registrar-driver-http,0.1-SNAPSHOT,3886,0,81
241dd879e7625dc65da213a6fad52a8ca95737e8,2020-08-11 12:04:49+02:00,MODIFY,decentralized-identity,uni-registrar-driver-http,project.parent.version,389,209,8
241dd879e7625dc65da213a6fad52a8ca95737e8,2020-08-11 12:04:49+02:00,MODIFY,decentralized-identity,uni-registrar-driver-http,None,389,209,8
e1103371dc4f3e81faaed4d9cf202ce81946e911,2019-11-18 11:42:15+01:00,ADD,decentralized-identity,did-common-java,0.1-SNAPSHOT,3886,0,81
6eea48757d740d12cc9325852ac270ecd93ee8de,2020-03-11 14:31:21+01:00,MODIFY,decentralized-identity,did-common-java,0.2-SNAPSHOT,1,1,1
8f930247e12b372a8cc3782c0918c23c6aea8c7a,2020-03-28 15:29:07+01:00,MODIFY,decentralized-identity,did-common-java,0.1.0,39,1,2
241dd879e7625dc65da213a6fad52a8ca95737e8,2020-08-11 12:04:49+02:00,MODIFY,decentralized-identity,did-common-java,None,389,209,8
de113e64ef9881d483d48fa2856b4ca52d9e4e72,2020-10-29 20:03:44+01:00,MODIFY,decentralized-identity,did-common-java,0.2.0,2,2,1
6cb639047a24cae9c4cd1a4b6db058b2d64e7b7f,2020-11-11 11:46:25+01:00,MODIFY,decentralized-identity,did-common-java,0.3-SNAPSHOT,1,1,1
bf68518316a11a2eb481ebc47da713c4b99d6e63,2021-08-03 16:23:04+02:00,MODIFY,decentralized-identity,did-common-java,0.3.0,2,2,1
9e291004071f7035302c10dc0f519e9f88adbf3d,2021-09-29 19:10:01+02:00,MODIFY,decentralized-identity,did-common-java,0.4.0,1,1,1
ae2fa2545138436bf970d5eafc5b68d3c99778fa,2022-01-04 17:04:54+01:00,MODIFY,decentralized-identity,did-common-java,0.7.0,1,1,1
