Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"Backend.java",,,,0,5,3
File,"HelloWorldHttp1Handler.java",,,,5,48,18
File,"HelloWorldHttp2Handler.java",,,,20,104,29
File,"HelloWorldHttp2HandlerBuilder.java",,,,3,24,16
File,"Http2OrHttpHandler.java",,,,4,26,18
File,"Http2ServerInitializer.java",,,,11,77,29
File,"JettyServer.java",,,,7,74,5
File,"Main.java",,,,8,53,33
File,"NettyServer.java",,,,2,15,19
File,"Server.java",,,,3,50,12
File,"ServerBase.java",,,,0,13,3
File,"ServerVerticle.java",,,,17,84,3
File,"ServletServer.java",,,,28,135,4
File,"UndertowServer.java",,,,6,83,3
File,"VertxServer.java",,,,4,31,3
Package,"http2",,,,0,0,0
Package,"http2.bench",,,,8,71,39
Public Enum Type,"http2.bench.Backend",1,,,0,4,3
Public Implicit Method,"http2.bench.Backend.valueOf",,,,0,,
Public Implicit Method,"http2.bench.Backend.values",,,,0,,
Public Class,"http2.bench.Main",9,0,0,8,46,33
Public Static Class,"http2.bench.Main.MainCmd",1,0,0,0,3,0
Public Static Method,"http2.bench.Main.main",,,,8,41,30
Public Abstract Class,"http2.bench.ServerBase",3,0,0,0,11,3
Public Abstract Method,"http2.bench.ServerBase.run",,,,0,1,0
Package,"http2.bench.jetty",,,,7,74,5
Public Class,"http2.bench.jetty.JettyServer",20,80,80,6,57,5
Private Static Method,"http2.bench.jetty.JettyServer.createAlpnProtocolFactory",,,,1,6,0
Private Static Method,"http2.bench.jetty.JettyServer.createServer",,,,1,7,1
Static Method,"http2.bench.jetty.JettyServer.password",,,,2,4,0
Private Static Method,"http2.bench.jetty.JettyServer.prepareSsl",,,,1,9,0
Public Method,"http2.bench.jetty.JettyServer.run",,,,1,25,1
Anonymous Class,"http2.bench.jetty.JettyServer.run.(Anon_1)",9,0,0,1,5,0
Public Method,"http2.bench.jetty.JettyServer.run.(Anon_1).handle",,,,1,4,0
Package,"http2.bench.netty",,,,48,344,141
Public Class,"http2.bench.netty.HelloWorldHttp1Handler",14,33,33,5,30,3
Public Constructor,"http2.bench.netty.HelloWorldHttp1Handler.HelloWorldHttp1Handler",,,,1,3,0
Public Method,"http2.bench.netty.HelloWorldHttp1Handler.channelRead0",,,,3,19,0
Public Method,"http2.bench.netty.HelloWorldHttp1Handler.exceptionCaught",,,,1,5,0
