Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AbstractMappingParser.java",,,,1,7,0
File,"AbstractParser.java",,,,6,33,18
File,"Adapter.java",,,,2,14,0
File,"AgentControlMessage.java",,,,5,33,0
File,"AgentControllerVerticle.java",,,,107,428,3
File,"AgentHello.java",,,,3,18,0
File,"AgentInfo.java",,,,1,20,0
File,"AgentVerticle.java",,,,33,146,2
File,"AgentsParser.java",,,,4,24,18
File,"ArrayRecorder.java",,,,7,41,0
File,"AsyncSemaphore.java",,,,9,40,5
File,"AsyncSemaphoreTestCase.java",,,,7,41,0
File,"AwaitAllResponsesStep.java",,,,1,9,0
File,"AwaitConditionStep.java",,,,2,14,0
File,"AwaitDelayStep.java",,,,5,32,0
File,"AwaitIntStep.java",,,,6,36,0
File,"AwaitVarStep.java",,,,2,16,0
File,"BaseBenchmarkTestCase.java",,,,6,36,0
File,"BaseClusteredTest.java",,,,7,35,1
File,"BaseRawBytesHandler.java",,,,7,42,1
File,"BaseScenarioTest.java",,,,9,71,1
File,"BaseSequenceBuilder.java",,,,8,34,0
File,"BaseStepBuilder.java",,,,2,11,0
File,"Benchmark.java",,,,7,42,27
File,"Benchmark.java",,,,0,3,3
File,"BenchmarkBuilder.java",,,,1,7,8
File,"BenchmarkBuilder.java",,,,9,43,22
File,"BenchmarkDefinitionException.java",,,,1,6,18
File,"BenchmarkDistributionTestCase.java",,,,2,20,0
File,"BenchmarkParser.java",,,,11,80,19
File,"BodyExtractor.java",,,,2,11,18
File,"BodyValidator.java",,,,0,11,22
File,"BreakSequenceStep.java",,,,8,48,0
File,"BuilderTest.java",,,,1,38,24
File,"ByteBufSizeRecorder.java",,,,2,17,0
File,"ChunkedTransferTest.java",,,,15,93,0
File,"ClusterTestCase.java",,,,19,131,9
File,"Codecs.java",,,,2,22,0
File,"ComplexBenchmarkTestCase.java",,,,0,6,18
File,"ConcurrentPool.java",,,,0,8,6
File,"ConcurrentPoolImpl.java",,,,11,59,0
File,"Connection.java",,,,0,12,0
File,"Context.java",,,,39,179,1
File,"ContextAwareClient.java",,,,1,10,21
File,"ControllerPhase.java",,,,13,59,0
File,"ControllerRestServer.java",,,,73,368,5
File,"CookieAppender.java",,,,3,22,0
File,"CookieRecorder.java",,,,4,21,0
File,"CookieStore.java",,,,8,34,1
File,"CookieTest.java",,,,6,44,0
File,"Copyable.java",,,,0,4,3
File,"CountRecorder.java",,,,5,24,0
File,"CrewMember.java",,,,8,31,0
File,"CustomHttp2ConnectionHandler.java",,,,10,67,1
File,"CustomValue.java",,,,0,8,0
File,"DebugProcessor.java",,,,3,21,0
File,"DefragProcessor.java",,,,12,60,4
File,"DependencyStep.java",,,,5,26,0
File,"DependencyStepBuilder.java",,,,3,17,0
File,"ExecutorsTest.java",,,,5,34,0
File,"ExpectProcessor.java",,,,8,58,0
File,"Feeds.java",,,,0,7,0
File,"Fleet.java",,,,9,37,0
File,"FleetTest.java",,,,22,130,5
File,"ForeachStep.java",,,,15,82,1
File,"HeaderExtractor.java",,,,2,12,0
File,"HeaderValidator.java",,,,0,10,22
File,"Host.java",,,,5,22,18
File,"Http.java",,,,8,44,22
File,"Http1xConnection.java",,,,36,188,9
File,"Http1xRawBytesHandler.java",,,,62,262,14
File,"Http2Connection.java",,,,40,214,6
File,"Http2ConnectionHandlerBuilder.java",,,,3,26,1
File,"Http2RawBytesHandler.java",,,,8,58,5
File,"HttpBuilder.java",,,,30,120,23
File,"HttpChannelInitializer.java",,,,9,83,0
File,"HttpClientCommand.java",,,,5,53,25
File,"HttpClientPool.java",,,,0,17,18
File,"HttpClientPoolHandlerTest.java",,,,13,82,19
File,"HttpClientPoolImpl.java",,,,30,166,7
File,"HttpConnection.java",,,,0,14,3
File,"HttpConnectionPool.java",,,,0,22,0
File,"HttpConnectionPoolImpl.java",,,,49,227,15
File,"HttpMethod.java",,,,1,8,18
File,"HttpParser.java",,,,4,28,0
File,"HttpRequestStep.java",,,,80,351,6
File,"HttpRequestStepUtil.java",,,,2,11,0
File,"HttpRequestTest.java",,,,17,144,0
File,"HttpRequestWriter.java",,,,0,5,0
File,"HttpResponseHandlers.java",,,,0,11,0
File,"HttpResponseHandlersImpl.java",,,,80,337,2
File,"HttpStatus.java",,,,1,20,22
File,"HttpVersion.java",,,,2,15,0
File,"HttpVersionsTest.java",,,,27,135,1
File,"Hyperfoil.java",,,,13,75,0
File,"HyperfoilCli.java",,,,3,69,24
File,"HyperfoilCliContext.java",,,,5,20,25
File,"HyperfoilCommandInvocation.java",,,,16,84,22
File,"HyperfoilCommandInvocationProvider.java",,,,2,13,22
File,"Immutable.java",,,,0,3,3
File,"IncrementPropertyParser.java",,,,13,52,0
File,"IntValue.java",,,,8,35,0
File,"IntVar.java",,,,10,42,0
File,"IntegerConditionBuilder.java",,,,24,67,0
File,"IterationsTest.java",,,,1,21,0
File,"JsonExtractor.java",,,,113,431,6
File,"ListBuilder.java",,,,0,4,0
File,"LocalSimulationRunner.java",,,,30,96,1
File,"LongValue.java",,,,8,35,0
File,"LoopStep.java",,,,5,29,0
File,"NoHttpClientException.java",,,,0,3,0
File,"NoOpClientProvider.java",,,,0,3,0
File,"NoopStep.java",,,,7,44,6
File,"ObjectCodec.java",,,,11,71,26
File,"ObjectVar.java",,,,9,38,0
File,"OrderedSequenceParser.java",,,,4,31,3
File,"PacingTest.java",,,,6,54,3
File,"PairBuilder.java",,,,1,11,0
File,"Parser.java",,,,0,4,18
File,"ParserException.java",,,,5,19,18
File,"PartialBuilder.java",,,,0,4,3
File,"Pattern.java",,,,15,71,1
File,"PercentileLimitsParser.java",,,,2,18,0
File,"PersistenceUtil.java",,,,16,84,0
File,"Phase.java",,,,17,129,21
File,"PhaseBuilder.java",,,,87,390,10
File,"PhaseChangeHandler.java",,,,0,4,0
File,"PhaseChangeMessage.java",,,,7,43,19
File,"PhaseControlMessage.java",,,,3,25,0
File,"PhaseForkBuilder.java",,,,4,22,0
File,"PhaseForkParser.java",,,,3,26,9
File,"PhaseInstance.java",,,,1,33,1
File,"PhaseInstanceImpl.java",,,,78,356,12
File,"PhaseParser.java",,,,19,61,0
File,"PhaseReference.java",,,,1,11,0
File,"PhasesParser.java",,,,4,32,18
File,"PollStep.java",,,,15,94,2
File,"Pool.java",,,,17,64,1
File,"PrintStatisticsConsumer.java",,,,3,19,18
File,"Properties.java",,,,0,9,0
File,"PropertyParser.java",,,,16,81,18
File,"Protocol.java",,,,7,24,0
File,"RandomConcurrentSet.java",,,,21,111,27
File,"RandomConcurrentSetTest.java",,,,19,88,0
File,"RandomIntStep.java",,,,12,70,0
File,"RandomItemStep.java",,,,14,79,0
File,"RangeStatusValidator.java",,,,16,86,0
File,"RangeStatusValidatorTest.java",,,,4,31,0
File,"RawBytesHandler.java",,,,0,7,0
File,"ReadYaml.java",,,,25,160,40
File,"RelativeIteration.java",,,,0,6,0
File,"Report.java",,,,22,154,3
File,"ReportMessage.java",,,,1,18,0
File,"ReportSender.java",,,,4,35,2
File,"ReportStatisticsCollector.java",,,,4,38,20
File,"Request.java",,,,15,71,4
File,"RequestResponseCounterTest.java",,,,5,73,23
File,"ResourceUtilizer.java",,,,0,5,1
File,"ResponseHandlers.java",,,,0,5,0
File,"Rewritable.java",,,,0,4,0
File,"Run.java",,,,12,39,0
File,"RunMojo.java",,,,20,118,1
File,"SLA.java",,,,19,89,21
File,"SLABuilder.java",,,,10,48,6
File,"SLAParser.java",,,,2,14,18
File,"Scenario.java",,,,10,45,20
File,"ScenarioBuilder.java",,,,16,78,22
File,"ScenarioParser.java",,,,3,20,18
File,"ScheduleDelayStep.java",,,,21,124,1
File,"SearchExtractor.java",,,,36,185,6
File,"SearchExtractorTest.java",,,,8,65,0
File,"SearchValidator.java",,,,20,109,7
File,"SearchValidatorTest.java",,,,16,64,0
File,"Sequence.java",,,,0,11,28
File,"SequenceBuilder.java",,,,10,43,22
File,"SequenceImpl.java",,,,10,56,0
File,"SequenceInstance.java",,,,16,79,1
File,"SequenceParser.java",,,,9,51,18
File,"SequenceScopedCountRecorder.java",,,,7,43,0
File,"SequenceScopedVarReference.java",,,,9,38,0
File,"SerializableBiConsumer.java",,,,0,5,0
File,"SerializableBiFunction.java",,,,0,5,0
File,"SerializableConsumer.java",,,,0,5,0
File,"SerializableFunction.java",,,,0,5,0
File,"ServiceLoadedBuilder.java",,,,2,21,22
File,"ServiceLoadedBuilderProvider.java",,,,8,41,0
File,"Session.java",,,,5,71,24
File,"SessionFactory.java",,,,5,33,0
File,"SessionImpl.java",,,,88,382,5
File,"Ship.java",,,,9,37,0
File,"SimpleBuilderBenchmarkTestCase.java",,,,2,42,1
File,"SimpleRecorder.java",,,,3,20,0
File,"SimpleVarReference.java",,,,3,18,0
File,"Simulation.java",,,,7,44,0
File,"SimulationBuilder.java",,,,33,116,24
File,"SimulationParser.java",,,,1,10,18
File,"SimulationRunner.java",,,,0,15,0
File,"SimulationRunnerImpl.java",,,,38,195,12
File,"StartAfterParser.java",,,,11,53,0
File,"StatisticConsumerTest.java",,,,1,7,18
File,"Statistics.java",,,,22,143,14
File,"StatisticsCollector.java",,,,9,46,0
File,"StatisticsSnapshot.java",,,,21,143,6
File,"StatisticsStore.java",,,,60,279,3
File,"StatisticsSummary.java",,,,5,88,1
File,"StatusExtractor.java",,,,0,8,0
File,"StatusToCounterExtractor.java",,,,19,97,0
File,"StatusValidator.java",,,,0,9,21
File,"Step.java",,,,0,8,0
File,"StepBuilder.java",,,,2,12,22
File,"StepDiscriminator.java",,,,25,100,10
File,"StepParser.java",,,,81,302,3
File,"StopwatchBeginStep.java",,,,9,55,1
File,"StopwatchEndStep.java",,,,2,18,1
File,"TemplateStep.java",,,,9,51,0
File,"TestBenchmarks.java",,,,3,40,1
File,"TwoScenariosTest.java",,,,24,185,13
File,"TwoServersTest.java",,,,7,55,3
File,"Url.java",,,,10,52,1
File,"Util.java",,,,21,75,3
File,"Utils.java",,,,10,55,35
File,"ValidatorResults.java",,,,13,48,22
File,"VarParser.java",,,,3,22,0
File,"VarReference.java",,,,0,4,0
File,"Wrk.java",,,,46,295,28
File,"WrkTest.java",,,,2,17,0
File,"YamlParserTest.java",,,,19,116,18
Public Implicit Method,"clone",,,,0,,
Package,"io",,,,0,0,0
Package,"io.hyperfoil",,,,13,75,0
Class,"io.hyperfoil.Hyperfoil",13,0,0,8,62,0
Public Static Class,"io.hyperfoil.Hyperfoil.Agent",3,0,0,2,5,0
Public Static Method,"io.hyperfoil.Hyperfoil.Agent.main",,,,2,3,0
Lambda Method,"io.hyperfoil.Hyperfoil.Agent.main.(lambda_expr_1)",,,,1,1,0
Public Static Class,"io.hyperfoil.Hyperfoil.Controller",3,0,0,2,5,0
Public Static Method,"io.hyperfoil.Hyperfoil.Controller.main",,,,2,3,0
Lambda Method,"io.hyperfoil.Hyperfoil.Controller.main.(lambda_expr_1)",,,,1,1,0
Public Static Class,"io.hyperfoil.Hyperfoil.Standalone",6,0,0,1,10,0
Public Static Method,"io.hyperfoil.Hyperfoil.Standalone.main",,,,1,8,0
Static Method,"io.hyperfoil.Hyperfoil.clusteredVertx",,,,4,20,0
Lambda Method,"io.hyperfoil.Hyperfoil.clusteredVertx.(lambda_expr_1)",,,,2,9,0
Static Method,"io.hyperfoil.Hyperfoil.deploy",,,,3,11,0
Lambda Method,"io.hyperfoil.Hyperfoil.deploy.(lambda_expr_1)",,,,2,8,0
Private Static Method,"io.hyperfoil.Hyperfoil.logJavaVersion",,,,1,8,0
Package,"io.hyperfoil.api",,,,1,7,8
Public Class,"io.hyperfoil.api.BenchmarkBuilder",1,0,0,1,5,8
Public Method,"io.hyperfoil.api.BenchmarkBuilder.BenchmarkBuilderTestCase",,,,1,3,1
Package,"io.hyperfoil.api.collection",,,,17,72,7
Public Generic Interface,"io.hyperfoil.api.collection.ConcurrentPool",1,0,0,0,6,6
TypeVariable,"io.hyperfoil.api.collection.ConcurrentPool.T",0,0,0,0,0,0
Abstract Method,"io.hyperfoil.api.collection.ConcurrentPool.acquire",,,,0,1,3
Abstract Method,"io.hyperfoil.api.collection.ConcurrentPool.forEach",,,,0,1,0
Abstract Method,"io.hyperfoil.api.collection.ConcurrentPool.release",,,,0,1,3
Abstract Method,"io.hyperfoil.api.collection.ConcurrentPool.reserve",,,,0,1,0
Public Generic Class,"io.hyperfoil.api.collection.Pool",8,33,33,17,60,1
Public Constructor,"io.hyperfoil.api.collection.Pool.Pool",,,,2,7,0
Public Constructor,"io.hyperfoil.api.collection.Pool.Pool",,,,1,5,0
TypeVariable,"io.hyperfoil.api.collection.Pool.T",0,0,0,0,0,0
Public Method,"io.hyperfoil.api.collection.Pool.acquire",,,,3,13,0
Public Method,"io.hyperfoil.api.collection.Pool.isDepleted",,,,3,6,0
Public Method,"io.hyperfoil.api.collection.Pool.isFull",,,,3,6,0
Public Method,"io.hyperfoil.api.collection.Pool.release",,,,5,17,1
Package,"io.hyperfoil.api.config",,,,94,556,201
Public Class,"io.hyperfoil.api.config.Benchmark",6,57,57,7,39,9
Public Constructor,"io.hyperfoil.api.config.Benchmark.Benchmark",,,,1,7,0
Public Method,"io.hyperfoil.api.config.Benchmark.agents",,,,1,3,0
Public Method,"io.hyperfoil.api.config.Benchmark.name",,,,1,3,0
Public Method,"io.hyperfoil.api.config.Benchmark.simulation",,,,1,3,0
Public Method,"io.hyperfoil.api.config.Benchmark.slas",,,,1,3,0
Public Method,"io.hyperfoil.api.config.Benchmark.source",,,,1,3,4
Public Method,"io.hyperfoil.api.config.Benchmark.toString",,,,1,10,0
Public Class,"io.hyperfoil.api.config.BenchmarkDefinitionException",1,0,0,1,5,0
Public Constructor,"io.hyperfoil.api.config.BenchmarkDefinitionException.BenchmarkDefinitionException",,,,1,3,0
Public Class,"io.hyperfoil.api.config.Host",2,50,0,5,20,0
Public Constructor,"io.hyperfoil.api.config.Host.Host",,,,1,6,0
Public Static Method,"io.hyperfoil.api.config.Host.parse",,,,4,8,0
Public Class,"io.hyperfoil.api.config.Http",3,76,76,8,41,3
Public Constructor,"io.hyperfoil.api.config.Http.Http",,,,1,10,0
Public Method,"io.hyperfoil.api.config.Http.baseUrl",,,,1,3,0
Public Method,"io.hyperfoil.api.config.Http.directHttp2",,,,1,3,0
Public Method,"io.hyperfoil.api.config.Http.isDefault",,,,1,3,0
Public Method,"io.hyperfoil.api.config.Http.maxHttp2Streams",,,,1,3,0
Public Method,"io.hyperfoil.api.config.Http.pipeliningLimit",,,,1,3,0
Public Method,"io.hyperfoil.api.config.Http.sharedConnections",,,,1,3,0
Public Method,"io.hyperfoil.api.config.Http.versions",,,,1,3,0
Public Interface,"io.hyperfoil.api.config.ListBuilder",1,0,0,0,3,0
Abstract Method,"io.hyperfoil.api.config.ListBuilder.nextItem",,,,0,1,0
Public Generic Interface,"io.hyperfoil.api.config.PairBuilder",1,0,0,0,9,0
Abstract Class,"io.hyperfoil.api.config.PairBuilder.String",3,0,0,1,6,0
Public Method,"io.hyperfoil.api.config.PairBuilder.String.valueType",,,,1,4,0
