Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AgentControllerVerticle.java",,,,8,69,5
File,"AsyncEnv.java",,,,9,62,0
File,"AsyncStep.java",,,,0,6,18
File,"BaseBenchmarkTestCase.java",,,,4,36,0
File,"Benchmark.java",,,,7,36,23
File,"BenchmarkBuilder.java",,,,1,7,8
File,"BenchmarkBuilder.java",,,,7,22,22
File,"BenchmarkCodec.java",,,,0,3,19
File,"BenchmarkDistributionTestCase.java",,,,2,20,0
File,"BenchmarkFactory.java",,,,1,6,18
File,"BenchmarkImpl.java",,,,3,30,0
File,"BodyValidator.java",,,,0,4,22
File,"ChainableEventsTestCase.java",,,,27,167,58
File,"ChainedStepTestCase.java",,,,2,25,11
File,"ClusterTestCase.java",,,,17,101,8
File,"ConcurrentHistogramCodec.java",,,,0,3,19
File,"ContextAwareClient.java",,,,1,10,21
File,"DataExtractor.java",,,,0,4,18
File,"DummyHttpRequest.java",,,,18,99,34
File,"Header.java",,,,0,3,18
File,"HeaderValidator.java",,,,0,4,22
File,"HistogramCodec.java",,,,0,3,19
File,"Http1XClientPool.java",,,,9,58,3
File,"Http1xConnection.java",,,,23,142,5
File,"Http2ClientPool.java",,,,26,170,6
File,"Http2Connection.java",,,,28,150,4
File,"Http2Request.java",,,,10,57,4
File,"HttpBase.java",,,,4,20,22
File,"HttpBuilder.java",,,,10,33,22
File,"HttpClientCommand.java",,,,10,90,7
File,"HttpClientPool.java",,,,0,11,18
File,"HttpClientPoolFactory.java",,,,0,14,0
File,"HttpClientPoolHandlerTest.java",,,,9,69,18
File,"HttpClientPoolImpl.java",,,,29,163,11
File,"HttpClientProvider.java",,,,2,18,0
File,"HttpClientRunner.java",,,,23,203,12
File,"HttpConnection.java",,,,0,10,3
File,"HttpHeader.java",,,,5,25,22
File,"HttpMethod.java",,,,1,10,18
File,"HttpProtocol.java",,,,7,33,0
File,"HttpRequest.java",,,,1,17,37
File,"HttpResponse.java",,,,0,3,18
File,"HttpResponseImpl.java",,,,0,4,18
File,"HttpStatus.java",,,,1,20,22
File,"HttpVerticle.java",,,,5,30,23
File,"HttpsProtocol.java",,,,7,33,0
File,"LoadGenerator.java",,,,0,4,18
File,"Main.java",,,,4,30,33
File,"MainWorkerVerticle.java",,,,14,66,32
