Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"CommandBase.java",,,,0,7,3
File,"Distribution.java",,,,11,48,3
File,"Http1xClient.java",,,,9,58,3
File,"Http1xConnection.java",,,,19,123,4
File,"Http1xNettyTest.java",,,,1,11,0
File,"Http1xTestBase.java",,,,4,45,1
File,"Http1xVertxTest.java",,,,1,11,0
File,"Http2Client.java",,,,26,170,6
File,"Http2Connection.java",,,,27,146,4
File,"Http2Request.java",,,,8,53,3
File,"HttpClient.java",,,,0,10,0
File,"HttpClientBuilder.java",,,,0,13,0
File,"HttpClientCommand.java",,,,18,161,6
File,"HttpClientImpl.java",,,,28,160,8
File,"HttpClientProvider.java",,,,2,19,0
File,"HttpConnection.java",,,,0,9,3
File,"HttpMethod.java",,,,1,10,0
File,"HttpRequest.java",,,,1,14,3
File,"Load.java",,,,38,228,5
File,"Main.java",,,,5,35,33
File,"NettyHttpClientBuilder.java",,,,11,59,0
File,"Pacer.java",,,,15,69,16
File,"Report.java",,,,20,137,3
File,"StatisticsHandler.java",,,,10,48,3
File,"Utils.java",,,,10,55,16
File,"VertxHttpClient.java",,,,27,150,0
File,"VertxHttpClientBuilder.java",,,,10,64,0
Package,"com",,,,0,0,0
Package,"com.julienviet",,,,0,0,0
Package,"com.julienviet.httpclientbenchmark",,,,6,67,1
Public Class,"com.julienviet.httpclientbenchmark.Http1xNettyTest",3,0,0,1,7,0
Public Method,"com.julienviet.httpclientbenchmark.Http1xNettyTest.before",,,,1,5,0
Public Abstract Class,"com.julienviet.httpclientbenchmark.Http1xTestBase",13,44,44,4,33,1
Public Method,"com.julienviet.httpclientbenchmark.Http1xTestBase.after",,,,1,4,0
Public Method,"com.julienviet.httpclientbenchmark.Http1xTestBase.before",,,,2,9,0
Lambda Method,"com.julienviet.httpclientbenchmark.Http1xTestBase.before.(lambda_expr_1)",,,,1,4,0
Public Method,"com.julienviet.httpclientbenchmark.Http1xTestBase.testNetty",,,,1,14,1
Public Class,"com.julienviet.httpclientbenchmark.Http1xVertxTest",3,0,0,1,7,0
Public Method,"com.julienviet.httpclientbenchmark.Http1xVertxTest.before",,,,1,5,0
Package,"http2",,,,0,0,0
Package,"http2.bench",,,,26,145,55
Public Abstract Class,"http2.bench.CommandBase",2,0,0,0,5,3
Public Abstract Method,"http2.bench.CommandBase.run",,,,0,1,0
Public Class,"http2.bench.Distribution",4,66,33,11,44,3
Public Constructor,"http2.bench.Distribution.Distribution",,,,1,3,0
Public Constructor,"http2.bench.Distribution.Distribution",,,,1,3,0
