Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AbstractConfigurationBuilder.java",,,,3,14,18
File,"AbstractHttpRequest.java",,,,12,69,0
File,"AgentControllerVerticle.java",,,,9,79,5
File,"ArrayRecorder.java",,,,7,41,0
File,"AsyncEnv.java",,,,9,62,0
File,"AsyncSemaphore.java",,,,9,40,5
File,"AsyncSemaphoreTestCase.java",,,,7,41,0
File,"AwaitConditionStep.java",,,,3,17,1
File,"AwaitVarStep.java",,,,3,18,1
File,"BaseBenchmarkTestCase.java",,,,3,27,0
File,"BaseStep.java",,,,6,32,0
File,"Benchmark.java",,,,9,41,24
File,"Benchmark.java",,,,0,3,3
File,"BenchmarkBuilder.java",,,,1,7,8
File,"BenchmarkBuilder.java",,,,10,36,23
File,"BenchmarkCodec.java",,,,0,3,19
File,"BenchmarkDefinitionException.java",,,,1,6,18
File,"BenchmarkDistributionTestCase.java",,,,2,20,0
File,"BenchmarkFactory.java",,,,1,6,18
File,"BenchmarkImpl.java",,,,6,46,1
File,"BodyExtractor.java",,,,2,7,18
File,"BodyValidator.java",,,,0,8,22
File,"BreakSequenceStep.java",,,,3,19,0
File,"BuilderTest.java",,,,2,45,24
File,"CliBenchmarkRunner.java",,,,24,216,11
File,"ClusterTestCase.java",,,,17,101,7
File,"ComplexBenchmarkTestCase.java",,,,0,6,18
File,"ConcurrentHistogramCodec.java",,,,0,3,19
File,"ConfigurationBuilder.java",,,,0,5,18
File,"ConfigurationNotDefinedException.java",,,,0,3,18
File,"ConfigurationParser.java",,,,4,36,20
File,"ConfigurationParserException.java",,,,2,9,18
File,"ContextAwareClient.java",,,,1,10,21
File,"CountRecorder.java",,,,5,24,0
File,"CrewMember.java",,,,8,31,0
File,"DebugProcessor.java",,,,3,21,0
File,"DefragProcessor.java",,,,12,60,4
File,"DelayStep.java",,,,2,16,0
File,"DistributedStatisticsCollector.java",,,,1,8,19
File,"DummyHttpRequest.java",,,,14,67,34
File,"ExpectProcessor.java",,,,8,58,0
File,"Fleet.java",,,,9,37,0
File,"FleetTest.java",,,,25,163,9
File,"ForeachStep.java",,,,7,36,1
File,"HeaderExtractor.java",,,,2,8,0
File,"HeaderValidator.java",,,,0,7,22
File,"HistogramCodec.java",,,,0,3,19
File,"Host.java",,,,0,6,18
File,"HostsConfigurationBuilder.java",,,,2,12,20
File,"Http1XClientPool.java",,,,9,58,3
File,"Http1xConnection.java",,,,18,92,4
File,"Http1xRequest.java",,,,4,26,0
File,"Http2ClientPool.java",,,,26,170,6
File,"Http2Connection.java",,,,28,143,4
File,"Http2Request.java",,,,4,27,3
File,"HttpBase.java",,,,4,20,22
File,"HttpBuilder.java",,,,10,33,22
File,"HttpClientCommand.java",,,,10,90,7
File,"HttpClientPool.java",,,,0,14,18
File,"HttpClientPoolFactory.java",,,,0,14,0
File,"HttpClientPoolHandlerTest.java",,,,10,71,18
File,"HttpClientPoolImpl.java",,,,28,163,11
File,"HttpClientProvider.java",,,,2,18,0
File,"HttpConnection.java",,,,0,11,3
File,"HttpHeader.java",,,,5,25,22
File,"HttpMethod.java",,,,1,10,18
File,"HttpProtocol.java",,,,7,33,0
File,"HttpRequest.java",,,,0,15,37
File,"HttpRequestStep.java",,,,17,104,2
File,"HttpResponseHandler.java",,,,63,251,2
File,"HttpResponseHandlers.java",,,,0,13,0
File,"HttpStatus.java",,,,1,20,22
File,"HttpVerticle.java",,,,5,30,23
File,"HttpsProtocol.java",,,,7,33,0
File,"IntVar.java",,,,8,34,0
File,"InvalidConfigurationException.java",,,,1,6,18
File,"JsonExtractor.java",,,,113,430,6
File,"LoadGenerator.java",,,,0,4,18
File,"Main.java",,,,4,30,33
File,"MixStrategy.java",,,,0,4,18
File,"NettyHttpClientPoolFactory.java",,,,11,59,0
File,"NoHttpClientException.java",,,,0,3,0
File,"NoOpClientProvider.java",,,,0,3,0
File,"ObjectCodec.java",,,,11,66,26
File,"ObjectVar.java",,,,7,30,0
File,"Pacer.java",,,,17,78,19
File,"PacerStrategy.java",,,,0,4,0
File,"PhasesConfigurationBuilder.java",,,,2,11,18
File,"Pool.java",,,,10,42,0
File,"PrintStatisticsConsumer.java",,,,1,18,18
File,"PropertyConfigurationBuilder.java",,,,4,23,19
File,"Protocol.java",,,,0,7,0
File,"Protocols.java",,,,6,19,0
File,"Report.java",,,,22,154,4
File,"ReportStatisticsCollector.java",,,,5,58,21
File,"RequestContext.java",,,,2,13,4
File,"RequestQueue.java",,,,0,10,0
File,"RequestQueueImpl.java",,,,8,48,4
File,"ResourceUtilizer.java",,,,0,5,1
File,"Result.java",,,,0,3,18
File,"ResultStatus.java",,,,0,4,19
File,"RunnerVerticle.java",,,,5,38,3
File,"SLA.java",,,,0,3,18
File,"ScalingStrategy.java",,,,0,5,18
File,"Scenario.java",,,,0,7,27
File,"ScenarioBuilder.java",,,,13,58,22
File,"ScenarioImpl.java",,,,5,31,18
File,"ScenarioMixStrategy.java",,,,0,3,0
File,"ScenariosConfigurationBuilder.java",,,,3,20,18
File,"SearchExtractor.java",,,,36,183,6
File,"SearchExtractorTest.java",,,,8,63,0
File,"SearchValidator.java",,,,20,108,7
File,"SearchValidatorTest.java",,,,16,62,0
File,"Sequence.java",,,,0,8,27
File,"SequenceBuilder.java",,,,7,29,22
File,"SequenceContext.java",,,,0,15,20
File,"SequenceContextImpl.java",,,,10,62,0
File,"SequenceImpl.java",,,,10,52,1
File,"SequenceInstance.java",,,,12,60,1
File,"SequenceScenariosConfigurationBuilder.java",,,,3,15,20
File,"SequenceScopedCountRecorder.java",,,,7,43,0
File,"SequenceScopedVarReference.java",,,,9,38,0
File,"SequencesConfigurationBuilder.java",,,,3,15,20
File,"Session.java",,,,3,42,18
File,"SessionFactory.java",,,,4,18,0
File,"SessionImpl.java",,,,48,228,3
File,"Ship.java",,,,9,37,0
File,"SimpleBuilderBenchmarkTestCase.java",,,,3,63,2
File,"SimpleRecorder.java",,,,3,20,0
File,"SimpleVarReference.java",,,,2,14,0
File,"Simulation.java",,,,0,5,25
