Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AbstractHttpRequest.java",,,,18,97,0
File,"AbstractMappingParser.java",,,,1,7,0
File,"AbstractParser.java",,,,6,33,18
File,"Adapter.java",,,,2,14,0
File,"AgentControllerVerticle.java",,,,62,246,2
File,"AgentInfo.java",,,,1,18,0
File,"AgentVerticle.java",,,,20,93,1
File,"AgentsParser.java",,,,4,24,18
File,"ArrayRecorder.java",,,,7,41,0
File,"AsyncSemaphore.java",,,,9,40,5
File,"AsyncSemaphoreTestCase.java",,,,7,41,0
File,"AwaitAllResponsesStep.java",,,,1,9,0
File,"AwaitConditionStep.java",,,,2,14,0
File,"AwaitDelayStep.java",,,,2,14,0
File,"AwaitVarStep.java",,,,2,16,0
File,"BaseBenchmarkTestCase.java",,,,6,36,0
File,"BaseRawBytesHandler.java",,,,6,35,1
File,"BaseScenarioTest.java",,,,17,112,3
File,"BaseSequenceBuilder.java",,,,8,34,0
File,"BaseStepBuilder.java",,,,2,11,0
File,"Benchmark.java",,,,0,3,3
File,"Benchmark.java",,,,7,42,27
File,"BenchmarkBuilder.java",,,,1,7,8
File,"BenchmarkBuilder.java",,,,9,43,22
File,"BenchmarkDefinitionException.java",,,,1,6,18
File,"BenchmarkDistributionTestCase.java",,,,2,20,0
File,"BenchmarkParser.java",,,,9,66,19
File,"BodyExtractor.java",,,,2,9,18
File,"BodyValidator.java",,,,0,9,22
File,"BreakSequenceStep.java",,,,8,48,0
File,"BuilderTest.java",,,,1,39,24
File,"ByteBufSizeRecorder.java",,,,2,17,0
File,"ChunkedTransferTest.java",,,,15,93,0
File,"ClusterTestCase.java",,,,26,159,10
File,"Codecs.java",,,,2,18,0
File,"ComplexBenchmarkTestCase.java",,,,0,6,18
File,"ConcurrentPool.java",,,,0,8,6
File,"ConcurrentPoolImpl.java",,,,11,59,0
File,"Connection.java",,,,0,10,0
File,"Context.java",,,,37,173,1
File,"ContextAwareClient.java",,,,1,10,21
File,"ControllerPhase.java",,,,8,39,0
File,"ControllerRestServer.java",,,,40,219,4
File,"CookieAppender.java",,,,3,22,0
File,"CookieRecorder.java",,,,4,21,0
