Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"CommandBase.java",,,,0,7,3
File,"Distribution.java",,,,11,48,3
File,"Http1Test.java",,,,4,42,1
File,"Http1xClient.java",,,,9,58,3
File,"Http1xConnection.java",,,,19,123,4
File,"Http2Client.java",,,,26,170,6
File,"Http2Connection.java",,,,27,145,4
File,"Http2Request.java",,,,8,52,3
File,"HttpClient.java",,,,0,10,0
File,"HttpClientBuilder.java",,,,0,12,0
File,"HttpClientCommand.java",,,,18,160,6
File,"HttpClientImpl.java",,,,28,159,8
File,"HttpConnection.java",,,,0,8,3
File,"HttpRequest.java",,,,1,14,3
File,"Load.java",,,,38,228,5
File,"Main.java",,,,5,35,33
File,"NettyHttpClientBuilder.java",,,,8,49,0
File,"Pacer.java",,,,15,69,16
File,"Report.java",,,,20,137,3
File,"StatisticsHandler.java",,,,10,48,3
File,"Utils.java",,,,10,55,16
Package,"com",,,,0,0,0
Package,"com.julienviet",,,,0,0,0
Package,"com.julienviet.httpclientbenchmark",,,,4,42,1
Public Class,"com.julienviet.httpclientbenchmark.Http1Test",12,33,33,4,31,1
Public Method,"com.julienviet.httpclientbenchmark.Http1Test.after",,,,1,4,0
Public Method,"com.julienviet.httpclientbenchmark.Http1Test.before",,,,2,9,0
Lambda Method,"com.julienviet.httpclientbenchmark.Http1Test.before.(lambda_expr_1)",,,,1,4,0
Public Method,"com.julienviet.httpclientbenchmark.Http1Test.testNetty",,,,1,13,1
Package,"http2",,,,0,0,0
Package,"http2.bench",,,,26,145,55
Public Abstract Class,"http2.bench.CommandBase",2,0,0,0,5,3
Public Abstract Method,"http2.bench.CommandBase.run",,,,0,1,0
Public Class,"http2.bench.Distribution",4,66,33,11,44,3
Public Constructor,"http2.bench.Distribution.Distribution",,,,1,3,0
Public Constructor,"http2.bench.Distribution.Distribution",,,,1,3,0
Public Constructor,"http2.bench.Distribution.Distribution",,,,2,10,0
Private Static Method,"http2.bench.Distribution.convert",,,,2,7,0
Private Static Method,"http2.bench.Distribution.convert",,,,2,7,0
Public Method,"http2.bench.Distribution.next",,,,3,10,0
Public Class,"http2.bench.Main",6,0,0,5,31,33
Public Static Class,"http2.bench.Main.MainCmd",1,0,0,0,3,0
Public Static Method,"http2.bench.Main.main",,,,5,26,30
Public Class,"http2.bench.Utils",6,77,66,10,50,16
Public Static Method,"http2.bench.Utils.blackholeCpu",,,,2,8,0
Public Static Method,"http2.bench.Utils.calibrateBlackhole",,,,3,15,4
Public Static Method,"http2.bench.Utils.parseSize",,,,5,22,0
