Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"BackendType.java",,,,0,7,3
File,"CommandBase.java",,,,0,7,3
File,"Distribution.java",,,,11,48,3
File,"HelloWorldHttp1Handler.java",,,,6,48,18
File,"HelloWorldHttp2Handler.java",,,,20,109,29
File,"HelloWorldHttp2HandlerBuilder.java",,,,3,24,16
File,"Http1xClient.java",,,,9,58,3
File,"Http1xConnection.java",,,,18,107,3
File,"Http2Client.java",,,,26,170,6
File,"Http2Connection.java",,,,23,115,4
File,"Http2OrHttpHandler.java",,,,4,26,18
File,"Http2ServerInitializer.java",,,,11,77,29
File,"Http2Stream.java",,,,9,57,3
File,"HttpBackendCommand.java",,,,17,115,13
File,"HttpClient.java",,,,21,121,4
File,"HttpClientCommand.java",,,,21,180,10
File,"HttpConnection.java",,,,0,9,3
File,"HttpHeaders.java",,,,4,20,3
File,"HttpStream.java",,,,1,13,3
File,"JettyServerCommand.java",,,,7,85,4
File,"Load.java",,,,40,250,4
File,"Main.java",,,,10,65,33
File,"NettyServerCommand.java",,,,3,15,19
File,"Pacer.java",,,,15,69,16
File,"Report.java",,,,20,137,3
File,"RstFrame.java",,,,0,3,3
File,"SenderStream.java",,,,12,66,3
File,"Server.java",,,,3,49,12
File,"ServerCommandBase.java",,,,0,22,3
File,"ServerVerticle.java",,,,41,206,4
File,"ServletServer.java",,,,54,281,7
File,"StatisticsHandler.java",,,,10,48,3
File,"UndertowServerCommand.java",,,,6,86,3
File,"Utils.java",,,,10,55,16
File,"VertxServerCommand.java",,,,40,182,3
Package,"http2",,,,0,0,0
Package,"http2.bench",,,,31,204,61
Public Enum Type,"http2.bench.BackendType",1,,,0,6,3
Public Implicit Method,"http2.bench.BackendType.valueOf",,,,0,,
Public Implicit Method,"http2.bench.BackendType.values",,,,0,,
Public Abstract Class,"http2.bench.CommandBase",2,0,0,0,5,3
Public Abstract Method,"http2.bench.CommandBase.run",,,,0,1,0
Public Class,"http2.bench.Distribution",4,66,33,11,44,3
Public Constructor,"http2.bench.Distribution.Distribution",,,,2,10,0
Public Constructor,"http2.bench.Distribution.Distribution",,,,1,3,0
Public Constructor,"http2.bench.Distribution.Distribution",,,,1,3,0
Private Static Method,"http2.bench.Distribution.convert",,,,2,7,0
Private Static Method,"http2.bench.Distribution.convert",,,,2,7,0
Public Method,"http2.bench.Distribution.next",,,,3,10,0
Public Class,"http2.bench.Main",11,0,0,10,56,33
Public Static Class,"http2.bench.Main.MainCmd",1,0,0,0,3,0
Public Static Method,"http2.bench.Main.main",,,,10,51,30
Public Abstract Class,"http2.bench.ServerCommandBase",5,0,0,0,18,3
Public Class,"http2.bench.Utils",6,77,66,10,50,16
Public Static Method,"http2.bench.Utils.blackholeCpu",,,,2,8,0
Public Static Method,"http2.bench.Utils.calibrateBlackhole",,,,3,15,4
Public Static Method,"http2.bench.Utils.parseSize",,,,5,22,0
Package,"http2.bench.backend",,,,29,181,16
Public Class,"http2.bench.backend.HttpBackendCommand",17,0,0,4,97,13
Public Static Class,"http2.bench.backend.HttpBackendCommand.Server",11,44,38,13,62,10
Protected Method,"http2.bench.backend.HttpBackendCommand.Server.handle",,,,4,16,0
Lambda Method,"http2.bench.backend.HttpBackendCommand.Server.handle.(lambda_expr_1)",,,,1,3,0
Private Method,"http2.bench.backend.HttpBackendCommand.Server.handleResp",,,,2,7,10
Public Method,"http2.bench.backend.HttpBackendCommand.Server.start",,,,7,31,0
Lambda Method,"http2.bench.backend.HttpBackendCommand.Server.start.(lambda_expr_1)",,,,2,7,0
Public Method,"http2.bench.backend.HttpBackendCommand.run",,,,4,24,0
Lambda Method,"http2.bench.backend.HttpBackendCommand.run.(lambda_expr_1)",,,,2,7,0
Public Class,"http2.bench.backend.SenderStream",5,73,60,12,60,3
Public Constructor,"http2.bench.backend.SenderStream.SenderStream",,,,1,5,0
Public Method,"http2.bench.backend.SenderStream.endHandler",,,,1,5,0
Public Method,"http2.bench.backend.SenderStream.exceptionHandler",,,,1,4,0
Public Method,"http2.bench.backend.SenderStream.handler",,,,1,5,0
Public Method,"http2.bench.backend.SenderStream.pause",,,,1,5,0
Public Method,"http2.bench.backend.SenderStream.resume",,,,1,6,0
Public Method,"http2.bench.backend.SenderStream.send",,,,6,20,0
Lambda Method,"http2.bench.backend.SenderStream.send.(lambda_expr_1)",,,,1,3,0
Package,"http2.bench.client",,,,217,1357,71
Public Class,"http2.bench.client.Http1xClient",13,40,40,7,44,3
Public Constructor,"http2.bench.client.Http1xClient.Http1xClient",,,,1,3,0
Public Method,"http2.bench.client.Http1xClient.bytesRead",,,,1,3,0
Public Method,"http2.bench.client.Http1xClient.bytesWritten",,,,1,3,0
Method,"http2.bench.client.Http1xClient.connect",,,,3,29,0
Anonymous Class,"http2.bench.client.Http1xClient.connect.(Anon_1)",9,0,0,2,12,0
Protected Method,"http2.bench.client.Http1xClient.connect.(Anon_1).initChannel",,,,2,11,0
Lambda Method,"http2.bench.client.Http1xClient.connect.(lambda_expr_1)",,,,2,7,0
Public Method,"http2.bench.client.Http1xClient.resetStatistics",,,,1,3,0
Public Class,"http2.bench.client.Http1xConnection",13,58,58,11,91,3
Public Constructor,"http2.bench.client.Http1xConnection.Http1xConnection",,,,1,3,0
Private Class,"http2.bench.client.Http1xConnection.HttpStreamImpl",11,72,72,7,42,0
Public Constructor,"http2.bench.client.Http1xConnection.HttpStreamImpl.HttpStreamImpl",,,,1,5,0
Public Method,"http2.bench.client.Http1xConnection.HttpStreamImpl.end",,,,2,9,0
Public Method,"http2.bench.client.Http1xConnection.HttpStreamImpl.endHandler",,,,1,5,0
Public Method,"http2.bench.client.Http1xConnection.HttpStreamImpl.headersHandler",,,,1,5,0
Public Method,"http2.bench.client.Http1xConnection.HttpStreamImpl.putHeader",,,,1,5,0
Public Method,"http2.bench.client.Http1xConnection.HttpStreamImpl.resetHandler",,,,1,5,0
Public Method,"http2.bench.client.Http1xConnection.channelRead",,,,5,18,0
Public Method,"http2.bench.client.Http1xConnection.channelRegistered",,,,1,5,0
Public Method,"http2.bench.client.Http1xConnection.context",,,,1,4,0
Public Method,"http2.bench.client.Http1xConnection.isAvailable",,,,1,4,0
