Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"App.java",,,,1,8,4
File,"AppTest.java",,,,1,11,6
File,"BaseBenchmarkTestCase.java",,,,4,34,0
File,"Benchmark.java",,,,7,34,0
File,"BenchmarkBuilder.java",,,,1,7,8
File,"BenchmarkDistributionTestCase.java",,,,2,20,0
File,"BenchmarkFactory.java",,,,1,6,0
File,"BenchmarkImpl.java",,,,3,28,0
File,"BodyValidator.java",,,,0,3,19
File,"HeaderValidator.java",,,,0,3,19
File,"Http1xClient.java",,,,9,58,3
File,"Http1xConnection.java",,,,20,128,4
File,"Http2Client.java",,,,26,170,6
File,"Http2Connection.java",,,,28,150,4
File,"Http2Request.java",,,,8,51,3
File,"HttpClient.java",,,,1,9,19
File,"HttpClient.java",,,,0,11,0
File,"HttpClientBuilder.java",,,,0,13,0
File,"HttpClientCommand.java",,,,10,90,7
File,"HttpClientImpl.java",,,,29,163,11
File,"HttpClientProvider.java",,,,2,18,0
File,"HttpClientRunner.java",,,,22,188,6
File,"HttpConnection.java",,,,0,10,3
File,"HttpMethod.java",,,,1,10,0
File,"HttpProtocol.java",,,,3,19,19
File,"HttpProtocol.java",,,,5,22,0
File,"HttpRequest.java",,,,1,14,3
File,"HttpSequence.java",,,,2,13,19
File,"HttpValidator.java",,,,1,8,19
File,"HttpVerticle.java",,,,5,30,23
File,"HttpWorkload.java",,,,3,17,19
File,"HttpWorkloadBuilder.java",,,,8,24,19
File,"HttpsProtocol.java",,,,5,22,0
File,"Load.java",,,,36,220,9
File,"Main.java",,,,4,30,33
File,"MainWorkerVerticle.java",,,,14,66,32
File,"NettyHttpClientBuilder.java",,,,11,59,0
File,"Pacer.java",,,,15,69,16
File,"PacerStrategy.java",,,,0,4,0
File,"Protocol.java",,,,0,6,0
File,"Protocol.java",,,,0,6,19
File,"Protocol.java",,,,0,3,0
File,"Protocols.java",,,,6,19,0
File,"Report.java",,,,20,137,3
File,"Request.java",,,,0,5,0
File,"Result.java",,,,0,3,0
File,"ResultStatus.java",,,,0,4,19
File,"SLA.java",,,,0,3,0
File,"SailRocketMain.java",,,,13,67,28
File,"ScalingStrategy.java",,,,0,5,0
File,"Scenario.java",,,,0,4,0
File,"Sequence.java",,,,0,6,19
File,"Sequence.java",,,,0,4,0
File,"SimplBechmarkTestCase.java",,,,2,17,1
File,"Simulation.java",,,,0,4,0
File,"StatefulSequence.java",,,,0,4,0
File,"StatisticsHandler.java",,,,10,48,3
File,"Test.java",,,,1,10,0
File,"Url.java",,,,7,35,1
File,"UrlBuilder.java",,,,12,32,0
File,"User.java",,,,0,3,0
File,"Utils.java",,,,10,55,16
File,"Validator.java",,,,0,4,19
File,"VerticleWorker.java",,,,0,5,19
File,"VertxHttpClient.java",,,,28,157,0
File,"VertxHttpClientBuilder.java",,,,10,63,0
File,"WorkerMessage.java",,,,4,25,19
File,"WorkerMessageCodec.java",,,,5,39,35
File,"WorkerStatus.java",,,,4,17,19
File,"Workload.java",,,,0,5,19
Package,"http2",,,,0,0,0
Package,"http2.bench",,,,14,85,49
Public Class,"http2.bench.Main",13,0,0,4,23,33
Public Static Method,"http2.bench.Main.main",,,,4,21,30
Public Class,"http2.bench.Utils",6,77,66,10,50,16
Public Static Method,"http2.bench.Utils.blackholeCpu",,,,2,8,0
Public Static Method,"http2.bench.Utils.calibrateBlackhole",,,,3,15,4
Public Static Method,"http2.bench.Utils.parseSize",,,,5,22,0
Package,"http2.bench.client",,,,10,90,7
Public Class,"http2.bench.client.HttpClientCommand",17,0,0,2,75,7
Public Static Class,"http2.bench.client.HttpClientCommand.HttpClientProviderConverter",5,0,0,4,12,1
Public Method,"http2.bench.client.HttpClientCommand.HttpClientProviderConverter.convert",,,,4,10,1
Public Static Class,"http2.bench.client.HttpClientCommand.HttpVersionConverter",4,0,0,4,11,0
Public Method,"http2.bench.client.HttpClientCommand.HttpVersionConverter.convert",,,,4,9,0
Public Method,"http2.bench.client.HttpClientCommand.execute",,,,2,24,0
Package,"io",,,,0,0,0
Package,"io.sailrocket",,,,2,19,10
Public Class,"io.sailrocket.App",3,0,0,1,7,4
Public Static Method,"io.sailrocket.App.main",,,,1,4,0
Public Class,"io.sailrocket.AppTest",1,0,0,1,8,6
Public Method,"io.sailrocket.AppTest.shouldAnswerWithTrue",,,,1,5,3
Package,"io.sailrocket.api",,,,10,92,8
Public Abstract Class,"io.sailrocket.api.Benchmark",5,88,88,7,32,0
Public Constructor,"io.sailrocket.api.Benchmark.Benchmark",,,,1,3,0
Public Method,"io.sailrocket.api.Benchmark.agents",,,,1,4,0
Public Method,"io.sailrocket.api.Benchmark.endpoint",,,,1,4,0
Public Abstract Method,"io.sailrocket.api.Benchmark.run",,,,0,1,0
Public Method,"io.sailrocket.api.Benchmark.scale",,,,1,3,0
Public Method,"io.sailrocket.api.Benchmark.simulation",,,,1,3,0
Public Method,"io.sailrocket.api.Benchmark.sla",,,,1,3,0
Public Method,"io.sailrocket.api.Benchmark.users",,,,1,4,0
Public Class,"io.sailrocket.api.BenchmarkBuilder",1,0,0,1,5,8
Public Method,"io.sailrocket.api.BenchmarkBuilder.BenchmarkBuilderTestCase",,,,1,3,1
Public Class,"io.sailrocket.api.BenchmarkFactory",1,0,0,1,5,0
Public Static Method,"io.sailrocket.api.BenchmarkFactory.buildBenchmark",,,,1,3,0
Public Interface,"io.sailrocket.api.Request",1,0,0,0,4,0
Abstract Method,"io.sailrocket.api.Request.check",,,,0,1,0
Abstract Method,"io.sailrocket.api.Request.endpoint",,,,0,1,0
Public Interface,"io.sailrocket.api.Result",0,0,0,0,2,0
Public Interface,"io.sailrocket.api.SLA",0,0,0,0,2,0
Public Interface,"io.sailrocket.api.ScalingStrategy",1,0,0,0,4,0
Abstract Method,"io.sailrocket.api.ScalingStrategy.then",,,,0,1,0
Abstract Method,"io.sailrocket.api.ScalingStrategy.user",,,,0,1,0
