Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AbstractMappingParser.java",,,,1,7,0
File,"AbstractParser.java",,,,6,33,18
File,"Access.java",,,,0,15,3
File,"Action.java",,,,1,18,7
File,"Adapter.java",,,,2,14,0
File,"AgentControlMessage.java",,,,5,33,0
File,"AgentControllerVerticle.java",,,,111,447,3
File,"AgentHello.java",,,,3,18,0
File,"AgentInfo.java",,,,1,20,0
File,"AgentVerticle.java",,,,38,169,1
File,"AgentsParser.java",,,,8,35,19
File,"ArrayRecorder.java",,,,14,85,0
File,"AsyncSemaphore.java",,,,9,40,5
File,"AsyncSemaphoreTestCase.java",,,,7,41,0
File,"AwaitAllResponsesStep.java",,,,1,9,0
File,"AwaitConditionStep.java",,,,2,14,0
File,"AwaitDelayStep.java",,,,5,36,0
File,"AwaitIntStep.java",,,,8,50,0
File,"AwaitVarStep.java",,,,15,65,0
File,"BaseBenchmarkTestCase.java",,,,6,38,0
File,"BaseClusteredTest.java",,,,7,35,1
File,"BaseRawBytesHandler.java",,,,7,42,1
File,"BaseScenarioTest.java",,,,15,80,1
File,"BaseSequenceBuilder.java",,,,29,124,1
File,"BaseStep.java",,,,3,19,0
File,"BaseStepBuilder.java",,,,3,16,0
File,"Benchmark.java",,,,9,42,27
File,"Benchmark.java",,,,0,3,3
File,"BenchmarkBuilder.java",,,,8,41,22
File,"BenchmarkBuilder.java",,,,1,7,8
File,"BenchmarkDefinitionException.java",,,,2,9,18
File,"BenchmarkParser.java",,,,12,82,22
File,"BodyHandler.java",,,,2,15,18
File,"BreakSequenceStep.java",,,,17,73,0
File,"BuilderBase.java",,,,4,13,7
File,"BuilderTest.java",,,,1,39,24
File,"ByteBufSizeRecorder.java",,,,2,17,0
File,"ByteStream.java",,,,0,11,3
File,"ChunkedTransferTest.java",,,,15,93,0
File,"ClusterTestCase.java",,,,17,129,9
File,"Codecs.java",,,,2,24,0
File,"ComplexBenchmarkTestCase.java",,,,0,6,18
File,"Condition.java",,,,0,8,0
File,"Connection.java",,,,0,12,0
File,"Context.java",,,,39,179,1
File,"ContextAwareClient.java",,,,1,10,21
File,"ControllerPhase.java",,,,13,59,0
File,"ControllerRestServer.java",,,,77,388,5
File,"CookieAppender.java",,,,3,22,0
File,"CookieRecorder.java",,,,4,21,0
File,"CookieStore.java",,,,8,34,1
File,"CookieTest.java",,,,7,54,0
File,"Copyable.java",,,,0,4,3
File,"CountDown.java",,,,11,42,0
File,"CountRecorder.java",,,,5,28,0
File,"CrewMember.java",,,,8,31,0
File,"CustomHttp2ConnectionHandler.java",,,,13,80,1
File,"CustomValue.java",,,,0,8,0
File,"DataFormat.java",,,,7,47,1
File,"DebugProcessor.java",,,,3,22,0
File,"DefragProcessor.java",,,,12,60,4
File,"DependencyStep.java",,,,6,31,0
File,"DependencyStepBuilder.java",,,,4,21,0
File,"ElasticPool.java",,,,0,11,12
File,"ElasticPoolImpl.java",,,,16,87,0
File,"EmbeddedResourcesTest.java",,,,11,61,1
File,"Ergonomics.java",,,,2,11,3
File,"ErgonomicsBuilder.java",,,,3,14,3
File,"ErgonomicsParser.java",,,,2,12,0
File,"ExecutorsTest.java",,,,5,36,0
File,"ExpectProcessor.java",,,,8,59,0
File,"Feeds.java",,,,0,7,0
File,"Fleet.java",,,,9,37,0
File,"FleetTest.java",,,,19,138,5
File,"ForeachStep.java",,,,15,78,1
File,"FutureSupplier.java",,,,2,14,0
File,"Generator.java",,,,55,252,3
File,"HeaderHandler.java",,,,2,16,0
File,"Host.java",,,,5,22,18
File,"HtmlHandler.java",,,,151,640,16
File,"Http.java",,,,9,47,22
File,"Http1xConnection.java",,,,39,202,9
File,"Http1xRawBytesHandler.java",,,,62,261,14
File,"Http2Connection.java",,,,40,215,6
File,"Http2ConnectionHandlerBuilder.java",,,,3,28,1
File,"Http2RawBytesHandler.java",,,,8,58,5
File,"HttpBuilder.java",,,,24,99,23
File,"HttpChannelInitializer.java",,,,9,83,0
File,"HttpClientCommand.java",,,,5,53,25
File,"HttpClientPool.java",,,,0,17,21
File,"HttpClientPoolHandlerTest.java",,,,12,85,19
File,"HttpClientPoolImpl.java",,,,30,166,7
File,"HttpConnection.java",,,,0,13,3
File,"HttpConnectionPool.java",,,,0,19,0
File,"HttpConnectionPoolImpl.java",,,,50,226,16
File,"HttpDestinationTable.java",,,,0,6,3
File,"HttpDestinationTableImpl.java",,,,6,32,0
File,"HttpMethod.java",,,,1,8,18
File,"HttpParser.java",,,,4,27,0
File,"HttpRequest.java",,,,4,30,0
File,"HttpRequestStep.java",,,,106,454,6
File,"HttpRequestStepUtil.java",,,,2,11,0
File,"HttpRequestTest.java",,,,14,142,3
File,"HttpRequestWriter.java",,,,0,5,0
File,"HttpResponseHandlers.java",,,,0,11,0
File,"HttpResponseHandlersImpl.java",,,,70,281,2
File,"HttpStatus.java",,,,1,20,22
File,"HttpVersion.java",,,,2,15,0
File,"HttpVersionsTest.java",,,,28,154,1
File,"Hyperfoil.java",,,,13,75,0
File,"HyperfoilCli.java",,,,4,79,21
File,"HyperfoilCliContext.java",,,,5,20,25
File,"HyperfoilCommandInvocation.java",,,,16,83,19
File,"HyperfoilCommandInvocationProvider.java",,,,2,13,22
File,"Immutable.java",,,,0,3,3
File,"IncrementPropertyParser.java",,,,13,52,0
File,"IntCondition.java",,,,33,116,0
File,"IntValue.java",,,,8,35,0
File,"IntVar.java",,,,10,42,0
File,"IterationsTest.java",,,,1,24,1
File,"JsonHandler.java",,,,34,175,0
File,"JsonParser.java",,,,114,421,6
File,"JsonStep.java",,,,32,173,0
File,"LimitedPool.java",,,,17,64,4
File,"ListBuilder.java",,,,0,4,0
File,"LocalSimulationRunner.java",,,,33,115,1
File,"Locator.java",,,,6,27,0
File,"LongValue.java",,,,8,35,0
File,"Lookup.java",,,,17,80,7
File,"LoopStep.java",,,,5,31,0
File,"MappingListBuilder.java",,,,0,4,0
File,"NewSequenceProcessor.java",,,,19,110,0
File,"NoHttpClientException.java",,,,0,3,0
File,"NoOpClientProvider.java",,,,0,3,0
File,"NoopStep.java",,,,6,42,6
File,"ObjectCodec.java",,,,11,71,26
File,"ObjectVar.java",,,,9,38,0
File,"OrderedSequenceParser.java",,,,4,32,3
File,"PacingTest.java",,,,6,54,3
File,"PairBuilder.java",,,,1,11,0
File,"Parser.java",,,,0,4,18
File,"ParserException.java",,,,5,19,18
File,"PartialBuilder.java",,,,0,4,3
File,"PathStatisticsSelector.java",,,,12,45,0
File,"PathStatisticsTest.java",,,,10,54,0
File,"Pattern.java",,,,19,85,2
File,"PersistenceUtil.java",,,,16,84,0
File,"Phase.java",,,,23,149,21
File,"PhaseBuilder.java",,,,90,405,10
File,"PhaseChangeHandler.java",,,,0,4,0
File,"PhaseChangeMessage.java",,,,7,43,19
File,"PhaseControlMessage.java",,,,3,25,0
File,"PhaseForkBuilder.java",,,,4,22,0
File,"PhaseForkParser.java",,,,3,26,9
File,"PhaseInstance.java",,,,1,33,1
File,"PhaseInstanceImpl.java",,,,82,375,12
File,"PhaseParser.java",,,,19,61,0
File,"PhaseReference.java",,,,1,11,0
File,"PhasesParser.java",,,,4,32,18
File,"PollStep.java",,,,15,98,2
File,"Processor.java",,,,7,36,8
File,"ProcessorAssertion.java",,,,6,33,0
File,"Properties.java",,,,0,9,0
File,"PropertyParser.java",,,,16,81,18
File,"Protocol.java",,,,7,24,0
File,"PullSharedMapStep.java",,,,13,75,0
File,"PushSharedMapStep.java",,,,9,61,0
File,"RandomConcurrentSet.java",,,,21,111,27
File,"RandomConcurrentSetTest.java",,,,19,88,0
File,"RandomIntStep.java",,,,12,74,0
File,"RandomItemStep.java",,,,25,125,1
File,"RangeStatusValidator.java",,,,16,86,0
File,"RangeStatusValidatorTest.java",,,,4,27,0
File,"RawBytesHandler.java",,,,0,7,0
File,"RelativeIteration.java",,,,0,6,0
File,"ReportMessage.java",,,,1,14,0
File,"ReportSender.java",,,,5,35,2
File,"Request.java",,,,17,87,5
File,"RequestResponseCounterTest.java",,,,5,76,23
File,"ResourceUtilizer.java",,,,0,4,0
File,"ResponseHandlers.java",,,,0,5,0
File,"Rewritable.java",,,,0,4,0
File,"Run.java",,,,12,40,0
File,"RunLocal.java",,,,22,148,37
File,"RunMojo.java",,,,20,117,1
File,"SLA.java",,,,20,99,24
File,"SLABuilder.java",,,,18,81,6
File,"Scenario.java",,,,10,45,20
File,"ScenarioBuilder.java",,,,24,85,22
File,"ScenarioParser.java",,,,3,20,18
File,"ScheduleDelayStep.java",,,,21,128,1
File,"SearchHandler.java",,,,36,186,6
File,"SearchHandlerTest.java",,,,8,65,0
File,"SearchValidator.java",,,,21,111,7
File,"SearchValidatorTest.java",,,,16,65,0
File,"Sequence.java",,,,0,11,27
File,"SequenceBuilder.java",,,,9,47,23
File,"SequenceImpl.java",,,,10,55,0
File,"SequenceInstance.java",,,,16,78,1
File,"SequenceParser.java",,,,9,51,18
File,"SequenceScopedAccess.java",,,,32,158,2
File,"SequenceScopedCountRecorder.java",,,,7,47,0
File,"SerializableBiConsumer.java",,,,0,5,0
File,"SerializableBiFunction.java",,,,0,5,0
File,"SerializableConsumer.java",,,,0,5,0
File,"SerializableFunction.java",,,,0,5,0
File,"SerializableIntPredicate.java",,,,0,5,0
File,"SerializablePredicate.java",,,,0,5,0
File,"SerializableSupplier.java",,,,0,5,0
File,"ServiceLoadedBuilderProvider.java",,,,16,84,0
File,"ServiceLoadedContract.java",,,,3,16,3
File,"ServiceLoadedFactory.java",,,,0,16,21
File,"Session.java",,,,2,53,12
File,"SessionFactory.java",,,,10,48,0
File,"SessionImpl.java",,,,87,370,6
File,"SessionStatistics.java",,,,19,91,3
File,"SessionStatsConsumer.java",,,,0,4,0
File,"SessionStatsMessage.java",,,,2,21,0
File,"SessionStatsSender.java",,,,5,30,0
File,"SetStep.java",,,,30,146,2
File,"SharedData.java",,,,0,18,3
File,"SharedDataImpl.java",,,,69,313,2
File,"SharedDataTest.java",,,,9,63,0
File,"Ship.java",,,,9,37,0
File,"SimpleAccess.java",,,,13,71,5
File,"SimpleRecorder.java",,,,3,24,0
File,"Simulation.java",,,,8,51,0
File,"SimulationBuilder.java",,,,35,121,24
File,"SimulationParser.java",,,,1,11,18
File,"SimulationRunner.java",,,,0,15,0
File,"SimulationRunnerImpl.java",,,,62,282,14
File,"StartAfterParser.java",,,,12,57,0
File,"Statistics.java",,,,23,150,14
File,"StatisticsCollector.java",,,,8,34,0
File,"StatisticsSnapshot.java",,,,22,154,6
File,"StatisticsStore.java",,,,77,366,3
File,"StatisticsSummary.java",,,,5,97,1
File,"StatsMessage.java",,,,1,10,0
File,"StatusHandler.java",,,,0,12,0
File,"StatusToCounterHandler.java",,,,18,96,0
File,"Step.java",,,,0,7,8
File,"StepBuilder.java",,,,4,18,32
File,"StepCatalog.java",,,,35,153,11
File,"StepCatalogFactory.java",,,,0,6,0
File,"StepParser.java",,,,85,312,4
File,"StopwatchBeginStep.java",,,,7,54,1
File,"StopwatchEndStep.java",,,,2,22,1
File,"StringGeneratorBuilder.java",,,,9,51,0
File,"TemplateStep.java",,,,9,55,0
File,"TestBenchmarks.java",,,,3,43,1
File,"Trie.java",,,,16,69,4
File,"TwoScenariosTest.java",,,,24,192,13
File,"TwoServersTest.java",,,,8,62,2
File,"Unique.java",,,,0,4,0
File,"UnsetStep.java",,,,11,63,1
File,"Url.java",,,,10,52,1
File,"Util.java",,,,12,55,0
File,"Util.java",,,,23,91,4
File,"Utils.java",,,,10,55,35
File,"VarParser.java",,,,3,22,0
File,"Wrk.java",,,,38,253,29
File,"WrkTest.java",,,,2,17,0
File,"YamlParserTest.java",,,,19,116,18
Public Implicit Method,"clone",,,,0,,
Package,"io",,,,0,0,0
Package,"io.hyperfoil",,,,13,75,0
Class,"io.hyperfoil.Hyperfoil",13,0,0,8,62,0
Public Static Class,"io.hyperfoil.Hyperfoil.Agent",3,0,0,2,5,0
Public Static Method,"io.hyperfoil.Hyperfoil.Agent.main",,,,2,3,0
Lambda Method,"io.hyperfoil.Hyperfoil.Agent.main.(lambda_expr_1)",,,,1,1,0
Public Static Class,"io.hyperfoil.Hyperfoil.Controller",3,0,0,2,5,0
Public Static Method,"io.hyperfoil.Hyperfoil.Controller.main",,,,2,3,0
Lambda Method,"io.hyperfoil.Hyperfoil.Controller.main.(lambda_expr_1)",,,,1,1,0
Public Static Class,"io.hyperfoil.Hyperfoil.Standalone",6,0,0,1,10,0
Public Static Method,"io.hyperfoil.Hyperfoil.Standalone.main",,,,1,8,0
Static Method,"io.hyperfoil.Hyperfoil.clusteredVertx",,,,4,20,0
Lambda Method,"io.hyperfoil.Hyperfoil.clusteredVertx.(lambda_expr_1)",,,,2,9,0
Static Method,"io.hyperfoil.Hyperfoil.deploy",,,,3,11,0
Lambda Method,"io.hyperfoil.Hyperfoil.deploy.(lambda_expr_1)",,,,2,8,0
Private Static Method,"io.hyperfoil.Hyperfoil.logJavaVersion",,,,1,8,0
Package,"io.hyperfoil.api",,,,1,7,8
Public Class,"io.hyperfoil.api.BenchmarkBuilder",1,0,0,1,5,8
Public Method,"io.hyperfoil.api.BenchmarkBuilder.BenchmarkBuilderTestCase",,,,1,3,1
Package,"io.hyperfoil.api.collection",,,,34,155,23
Public Generic Interface,"io.hyperfoil.api.collection.ElasticPool",1,0,0,0,9,8
TypeVariable,"io.hyperfoil.api.collection.ElasticPool.T",0,0,0,0,0,0
Abstract Method,"io.hyperfoil.api.collection.ElasticPool.acquire",,,,0,1,5
Abstract Method,"io.hyperfoil.api.collection.ElasticPool.forEach",,,,0,1,0
Abstract Method,"io.hyperfoil.api.collection.ElasticPool.maxUsed",,,,0,1,0
Abstract Method,"io.hyperfoil.api.collection.ElasticPool.minUsed",,,,0,1,0
Abstract Method,"io.hyperfoil.api.collection.ElasticPool.release",,,,0,1,3
Abstract Method,"io.hyperfoil.api.collection.ElasticPool.reserve",,,,0,1,0
Abstract Method,"io.hyperfoil.api.collection.ElasticPool.resetStats",,,,0,1,0
Public Generic Class,"io.hyperfoil.api.collection.LimitedPool",8,33,33,17,60,4
Public Constructor,"io.hyperfoil.api.collection.LimitedPool.LimitedPool",,,,2,7,0
Public Constructor,"io.hyperfoil.api.collection.LimitedPool.LimitedPool",,,,1,5,0
TypeVariable,"io.hyperfoil.api.collection.LimitedPool.T",0,0,0,0,0,0
Public Method,"io.hyperfoil.api.collection.LimitedPool.acquire",,,,3,13,0
Public Method,"io.hyperfoil.api.collection.LimitedPool.isDepleted",,,,3,6,0
Public Method,"io.hyperfoil.api.collection.LimitedPool.isFull",,,,3,6,0
Public Method,"io.hyperfoil.api.collection.LimitedPool.release",,,,5,17,1
Public Generic Class,"io.hyperfoil.api.collection.Lookup",4,58,52,17,77,7
TypeVariable,"io.hyperfoil.api.collection.Lookup.K",0,0,0,0,0,0
Public Constructor,"io.hyperfoil.api.collection.Lookup.Lookup",,,,1,6,0
TypeVariable,"io.hyperfoil.api.collection.Lookup.V",0,0,0,0,0,0
Public Method,"io.hyperfoil.api.collection.Lookup.array",,,,4,12,3
