Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AbstractHttpRequest.java",,,,12,69,0
File,"Action.java",,,,1,7,3
File,"ActionChain.java",,,,9,33,0
File,"AgentControllerVerticle.java",,,,9,77,5
File,"ArrayRecorder.java",,,,10,51,0
File,"AsyncEnv.java",,,,9,62,0
File,"AsyncSemaphore.java",,,,9,39,5
File,"AsyncSemaphoreTestCase.java",,,,7,41,0
File,"AsyncStep.java",,,,0,6,18
File,"BaseBenchmarkTestCase.java",,,,3,30,0
File,"Benchmark.java",,,,6,33,23
File,"Benchmark.java",,,,0,3,3
File,"BenchmarkBuilder.java",,,,1,7,8
File,"BenchmarkBuilder.java",,,,9,31,22
File,"BenchmarkCodec.java",,,,0,3,19
File,"BenchmarkDefinitionException.java",,,,1,6,18
File,"BenchmarkDistributionTestCase.java",,,,2,20,0
File,"BenchmarkFactory.java",,,,1,6,18
File,"BenchmarkImpl.java",,,,10,73,6
File,"BodyExtractor.java",,,,2,7,18
File,"BodyValidator.java",,,,0,8,22
File,"BuilderTest.java",,,,1,41,24
File,"ChainableEventsTestCase.java",,,,26,164,58
File,"ChainedStepTestCase.java",,,,2,25,11
File,"ClusterTestCase.java",,,,17,103,7
File,"ConcurrentHistogramCodec.java",,,,0,3,19
File,"ContextAwareClient.java",,,,1,10,21
File,"CountRecorder.java",,,,5,24,0
File,"CounterArrayRecorder.java",,,,8,48,0
File,"CrewMember.java",,,,8,31,0
File,"DebugProcessor.java",,,,3,21,0
File,"DefragProcessor.java",,,,12,60,4
File,"DelayAction.java",,,,2,14,0
File,"DummyHttpRequest.java",,,,14,67,34
File,"ExpectProcessor.java",,,,8,58,0
File,"Fleet.java",,,,9,37,0
File,"Header.java",,,,0,3,18
File,"HeaderExtractor.java",,,,2,8,0
File,"HeaderValidator.java",,,,0,7,22
File,"HistogramCodec.java",,,,0,3,19
File,"Http1XClientPool.java",,,,9,58,3
File,"Http1xConnection.java",,,,18,92,4
File,"Http1xRequest.java",,,,4,26,0
File,"Http2ClientPool.java",,,,26,170,6
File,"Http2Connection.java",,,,28,143,4
File,"Http2Request.java",,,,4,27,3
File,"HttpBase.java",,,,4,20,22
File,"HttpBuilder.java",,,,10,33,22
File,"HttpClientCommand.java",,,,10,90,7
File,"HttpClientPool.java",,,,0,11,18
File,"HttpClientPoolFactory.java",,,,0,14,0
File,"HttpClientPoolHandlerTest.java",,,,10,71,18
File,"HttpClientPoolImpl.java",,,,26,155,11
File,"HttpClientProvider.java",,,,2,18,0
File,"HttpClientRunner.java",,,,23,203,12
File,"HttpConnection.java",,,,0,11,3
File,"HttpHeader.java",,,,5,25,22
File,"HttpMethod.java",,,,1,10,18
File,"HttpProtocol.java",,,,7,33,0
File,"HttpRequest.java",,,,0,15,37
File,"HttpRequestAction.java",,,,8,62,2
File,"HttpResponse.java",,,,0,3,18
File,"HttpResponseHandler.java",,,,56,201,2
File,"HttpResponseHandlers.java",,,,0,13,0
File,"HttpStatus.java",,,,1,20,22
