Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AbstractMappingParser.java",,,,1,7,0
File,"AbstractParser.java",,,,4,21,18
File,"Access.java",,,,0,16,6
File,"Action.java",,,,0,9,4
File,"ActionStatusHandler.java",,,,13,70,11
File,"ActionsTransformer.java",,,,13,80,27
File,"Adapter.java",,,,2,14,0
File,"AddToIntAction.java",,,,15,81,25
File,"AfterSyncRequestStep.java",,,,2,15,0
File,"Agent.java",,,,5,26,18
File,"AgentControlMessage.java",,,,5,32,0
File,"AgentHello.java",,,,5,27,0
File,"AgentInfo.java",,,,2,29,0
File,"AgentReadyMessage.java",,,,1,7,0
File,"AgentStatusMessage.java",,,,3,16,0
File,"AgentVerticle.java",,,,51,234,3
File,"AgentsParser.java",,,,22,93,19
File,"AllConditions.java",,,,10,50,8
File,"AlwaysNewConnectionTest.java",,,,6,50,2
File,"ArrayRecorder.java",,,,16,93,25
File,"AuthorityAndPathMetric.java",,,,2,7,0
File,"AwaitAllResponsesStep.java",,,,2,23,3
File,"AwaitConditionStep.java",,,,6,37,0
File,"AwaitDelayStep.java",,,,5,40,13
File,"AwaitIntStep.java",,,,8,50,9
File,"AwaitVarStep.java",,,,18,93,13
File,"BaseBenchmarkTest.java",,,,6,33,0
File,"BaseClientTest.java",,,,18,109,0
File,"BaseClusteredTest.java",,,,7,34,1
File,"BaseDelegatingAction.java",,,,9,45,5
File,"BaseDelegatingHeaderHandler.java",,,,13,58,5
File,"BaseDelegatingStatusHandler.java",,,,6,35,0
File,"BaseEditCommand.java",,,,12,56,0
File,"BaseExportCommand.java",,,,9,42,0
File,"BaseGenerator.java",,,,28,92,0
File,"BaseHotRodTest.java",,,,6,59,1
File,"BaseMockConnection.java",,,,19,86,0
File,"BaseRangeStatusHandler.java",,,,22,112,0
File,"BaseReflectionParser.java",,,,82,321,7
File,"BaseReportCommand.java",,,,14,83,2
File,"BaseResponseHandler.java",,,,14,66,3
File,"BaseRunIdCommand.java",,,,4,29,0
File,"BaseScenarioTest.java",,,,14,86,1
File,"BaseSearchContext.java",,,,16,79,0
File,"BaseSequenceBuilder.java",,,,32,136,6
File,"BaseStepBuilder.java",,,,4,23,0
File,"BeforeSyncRequestStep.java",,,,3,18,0
File,"Benchmark.java",,,,0,3,3
File,"Benchmark.java",,,,34,143,29
File,"BenchmarkBuilder.java",,,,44,186,25
File,"BenchmarkCommand.java",,,,4,32,0
File,"BenchmarkCompleter.java",,,,2,6,0
File,"BenchmarkData.java",,,,2,18,0
File,"BenchmarkDefinitionException.java",,,,2,9,18
File,"BenchmarkExecutionException.java",,,,2,9,0
File,"BenchmarkParser.java",,,,19,101,23
File,"BenchmarkRefImpl.java",,,,30,128,0
File,"BigResponseParsingTest.java",,,,15,109,0
File,"BitSetResource.java",,,,1,8,0
File,"BodyBuilder.java",,,,12,56,33
File,"BoolCondition.java",,,,13,61,16
File,"BreakSequenceStep.java",,,,14,70,8
File,"BuilderBase.java",,,,51,164,24
File,"BuilderInfo.java",,,,1,10,0
File,"ByteStream.java",,,,0,11,3
File,"CacheControl.java",,,,1,37,2
File,"CertificatesTest.java",,,,36,143,0
File,"ChunkedTransferTest.java",,,,31,176,3
