Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AbstractHttpRequest.java",,,,12,69,0
File,"AbstractMappingParser.java",,,,1,7,0
File,"AbstractParser.java",,,,6,33,18
File,"Adapter.java",,,,2,14,0
File,"AgentControllerVerticle.java",,,,60,242,2
File,"AgentInfo.java",,,,1,18,0
File,"AgentVerticle.java",,,,19,89,1
File,"AgentsParser.java",,,,4,24,18
File,"ArrayRecorder.java",,,,7,41,0
File,"AsyncSemaphore.java",,,,9,40,5
File,"AsyncSemaphoreTestCase.java",,,,7,41,0
File,"AwaitAllResponsesStep.java",,,,2,12,1
File,"AwaitConditionStep.java",,,,3,17,1
File,"AwaitDelayStep.java",,,,3,17,1
File,"AwaitVarStep.java",,,,3,19,1
File,"BaseBenchmarkTestCase.java",,,,3,27,0
File,"BaseScenarioTest.java",,,,14,87,0
File,"BaseSequenceBuilder.java",,,,8,34,0
File,"BaseStepBuilder.java",,,,2,11,0
File,"Benchmark.java",,,,0,3,3
File,"Benchmark.java",,,,7,42,27
File,"BenchmarkBuilder.java",,,,1,7,8
File,"BenchmarkBuilder.java",,,,8,40,22
File,"BenchmarkDefinitionException.java",,,,1,6,18
File,"BenchmarkDistributionTestCase.java",,,,2,20,0
File,"BenchmarkParser.java",,,,9,66,19
File,"BodyExtractor.java",,,,2,9,18
File,"BodyValidator.java",,,,0,9,22
File,"BreakSequenceStep.java",,,,7,44,0
File,"BuilderTest.java",,,,1,40,24
File,"ClusterTestCase.java",,,,24,154,9
File,"Codecs.java",,,,2,18,0
File,"ComplexBenchmarkTestCase.java",,,,0,6,18
File,"ConcurrentPool.java",,,,0,8,6
File,"ConcurrentPoolImpl.java",,,,11,59,0
File,"Context.java",,,,37,173,1
File,"ContextAwareClient.java",,,,1,10,21
File,"ControllerPhase.java",,,,8,39,0
File,"ControllerRestServer.java",,,,40,219,4
File,"CountRecorder.java",,,,5,24,0
File,"CrewMember.java",,,,8,31,0
File,"DebugProcessor.java",,,,3,21,0
File,"DefragProcessor.java",,,,12,60,4
File,"DependencyStep.java",,,,5,26,0
File,"DependencyStepBuilder.java",,,,3,17,0
File,"DummyHttpRequest.java",,,,14,67,34
File,"ExecutorsTest.java",,,,4,29,0
File,"ExpectProcessor.java",,,,8,58,0
File,"Feeds.java",,,,0,7,0
File,"Fleet.java",,,,9,37,0
File,"FleetTest.java",,,,22,124,5
File,"ForeachStep.java",,,,14,78,1
File,"HeaderExtractor.java",,,,2,10,0
File,"HeaderValidator.java",,,,0,8,22
File,"Host.java",,,,5,22,18
File,"Http1XClientPool.java",,,,9,58,3
File,"Http1xConnection.java",,,,18,92,4
File,"Http1xRequest.java",,,,4,26,0
File,"Http2ClientPool.java",,,,26,170,6
File,"Http2Connection.java",,,,28,143,4
File,"Http2Request.java",,,,4,27,3
File,"HttpBase.java",,,,4,20,22
File,"HttpBuilder.java",,,,10,33,22
File,"HttpClientCommand.java",,,,5,53,25
File,"HttpClientPool.java",,,,0,16,18
File,"HttpClientPoolFactory.java",,,,0,13,0
File,"HttpClientPoolHandlerTest.java",,,,10,69,18
File,"HttpClientPoolImpl.java",,,,28,166,11
File,"HttpClientProvider.java",,,,1,12,0
File,"HttpConnection.java",,,,0,11,3
File,"HttpHeader.java",,,,5,25,22
File,"HttpMethod.java",,,,1,10,18
File,"HttpParser.java",,,,1,7,0
File,"HttpProtocol.java",,,,7,33,0
File,"HttpRequest.java",,,,0,15,37
File,"HttpRequestStep.java",,,,17,111,2
File,"HttpResponseHandler.java",,,,63,259,2
File,"HttpResponseHandlers.java",,,,0,13,0
File,"HttpStatus.java",,,,1,20,22
File,"HttpsProtocol.java",,,,7,33,0
File,"IncrementPropertyParser.java",,,,13,52,0
File,"IntVar.java",,,,8,34,0
File,"JsonExtractor.java",,,,113,430,6
File,"LocalSimulationRunner.java",,,,27,100,9
File,"LoopStep.java",,,,5,28,0
File,"Main.java",,,,5,35,52
File,"NettyHttpClientPoolFactory.java",,,,8,50,0
File,"NoHttpClientException.java",,,,0,3,0
File,"NoOpClientProvider.java",,,,0,3,0
File,"ObjectCodec.java",,,,10,65,26
File,"ObjectVar.java",,,,7,30,0
File,"OrderedSequenceParser.java",,,,4,31,3
File,"PacingTest.java",,,,6,58,3
File,"Parser.java",,,,0,4,18
