Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AbstractMappingParser.java",,,,1,7,0
File,"AbstractParser.java",,,,4,21,18
File,"Access.java",,,,0,15,6
File,"Action.java",,,,0,9,4
File,"Adapter.java",,,,2,14,0
File,"AddToIntAction.java",,,,13,70,19
File,"Agent.java",,,,1,13,18
File,"AgentControlMessage.java",,,,5,33,0
File,"AgentHello.java",,,,5,28,0
File,"AgentInfo.java",,,,2,30,0
File,"AgentVerticle.java",,,,49,217,2
File,"AgentsParser.java",,,,19,80,19
File,"ArrayRecorder.java",,,,14,90,25
File,"AsyncSemaphore.java",,,,9,40,5
File,"AsyncSemaphoreTestCase.java",,,,7,41,0
File,"AwaitAllResponsesStep.java",,,,2,22,3
File,"AwaitConditionStep.java",,,,2,14,0
File,"AwaitDelayStep.java",,,,5,40,13
File,"AwaitIntStep.java",,,,9,54,9
File,"AwaitVarStep.java",,,,18,89,13
File,"BaseBenchmarkTestCase.java",,,,6,38,0
File,"BaseClusteredTest.java",,,,7,35,1
File,"BaseGenerator.java",,,,16,52,0
File,"BaseMockConnection.java",,,,11,53,0
File,"BaseRawBytesHandler.java",,,,7,42,1
File,"BaseReflectionParser.java",,,,70,265,6
File,"BaseRunIdCommand.java",,,,4,29,0
File,"BaseScenarioTest.java",,,,14,78,0
File,"BaseSearchContext.java",,,,16,79,0
File,"BaseSequenceBuilder.java",,,,30,122,1
File,"BaseStep.java",,,,1,10,0
File,"BaseStepBuilder.java",,,,4,24,0
File,"Benchmark.java",,,,0,3,3
File,"Benchmark.java",,,,21,106,29
File,"BenchmarkBuilder.java",,,,46,174,26
File,"BenchmarkCommand.java",,,,4,32,0
File,"BenchmarkCompleter.java",,,,2,6,0
File,"BenchmarkData.java",,,,2,18,0
File,"BenchmarkDefinitionException.java",,,,2,9,18
File,"BenchmarkExecutionException.java",,,,2,9,0
File,"BenchmarkParser.java",,,,17,95,23
File,"BenchmarkRefImpl.java",,,,23,104,0
File,"BreakSequenceStep.java",,,,20,90,13
File,"BuilderBase.java",,,,5,18,10
File,"BuilderInfo.java",,,,1,10,0
File,"BuilderTest.java",,,,1,32,25
File,"ByteBufSizeRecorder.java",,,,2,17,0
File,"ByteStream.java",,,,0,11,3
File,"CacheControl.java",,,,1,35,2
File,"CertificatesTest.java",,,,35,140,0
File,"ChunkedTransferTest.java",,,,14,96,2
File,"ClearHttpCacheAction.java",,,,2,19,3
File,"Client.java",,,,1,54,4
File,"CloseConnectionHandler.java",,,,3,24,1
File,"CloseConnectionTest.java",,,,9,62,3
File,"ClusterTestCase.java",,,,14,118,10
File,"Codecs.java",,,,2,24,0
File,"Compare.java",,,,39,134,0
File,"ComplexBenchmarkTestCase.java",,,,0,6,18
File,"Condition.java",,,,0,8,0
File,"Connect.java",,,,4,40,0
File,"Connection.java",,,,0,12,0
File,"Context.java",,,,44,204,1
File,"Controller.java",,,,0,18,4
File,"ControllerPhase.java",,,,13,61,0
File,"ControllerServer.java",,,,157,658,3
File,"ControllerVerticle.java",,,,186,744,7
File,"CookieAppender.java",,,,2,18,0
File,"CookieRecorder.java",,,,4,21,0
File,"CookieStore.java",,,,39,171,8
File,"CookieStoreTest.java",,,,12,150,0
