Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"Backend.java",,,,0,6,3
File,"Client.java",,,,22,138,3
File,"ClientCommand.java",,,,25,158,8
File,"CommandBase.java",,,,0,7,3
File,"Connection.java",,,,16,88,3
File,"DataFrame.java",,,,1,7,3
File,"HeadersFrame.java",,,,1,10,3
File,"HelloWorldHttp1Handler.java",,,,5,48,18
File,"HelloWorldHttp2Handler.java",,,,20,104,29
File,"HelloWorldHttp2HandlerBuilder.java",,,,3,24,16
File,"Http2OrHttpHandler.java",,,,4,26,18
File,"Http2ServerInitializer.java",,,,11,77,29
File,"JettyServerCommand.java",,,,7,78,4
File,"Main.java",,,,9,59,33
File,"NettyServerCommand.java",,,,2,15,19
File,"RstFrame.java",,,,0,3,3
File,"Server.java",,,,3,49,12
File,"ServerCommandBase.java",,,,0,12,3
File,"ServerVerticle.java",,,,24,126,3
File,"ServletServer.java",,,,32,171,5
File,"Stream.java",,,,10,61,3
File,"UndertowServerCommand.java",,,,6,85,3
File,"VertxServerCommand.java",,,,4,34,3
Package,"http2",,,,0,0,0
Package,"http2.bench",,,,9,84,42
Public Enum Type,"http2.bench.Backend",1,,,0,5,3
Public Implicit Method,"http2.bench.Backend.valueOf",,,,0,,
Public Implicit Method,"http2.bench.Backend.values",,,,0,,
Public Abstract Class,"http2.bench.CommandBase",2,0,0,0,5,3
Public Abstract Method,"http2.bench.CommandBase.run",,,,0,1,0
Public Class,"http2.bench.Main",10,0,0,9,51,33
Public Static Class,"http2.bench.Main.MainCmd",1,0,0,0,3,0
Public Static Method,"http2.bench.Main.main",,,,9,46,30
Public Abstract Class,"http2.bench.ServerCommandBase",2,0,0,0,10,3
Package,"http2.bench.client",,,,75,465,26
Class,"http2.bench.client.Client",14,85,85,9,110,3
Public Constructor,"http2.bench.client.Client.Client",,,,1,4,0
Static Method,"http2.bench.client.Client.GET",,,,1,3,0
Static Method,"http2.bench.client.Client.GET",,,,1,3,0
Static Method,"http2.bench.client.Client.POST",,,,1,3,0
Class,"http2.bench.client.Client.TestClientHandler",8,62,12,6,31,0
Public Constructor,"http2.bench.client.Client.TestClientHandler.TestClientHandler",,,,1,8,0
Public Method,"http2.bench.client.Client.TestClientHandler.channelActive",,,,1,5,0
Private Method,"http2.bench.client.Client.TestClientHandler.checkHandle",,,,2,7,0
Public Method,"http2.bench.client.Client.TestClientHandler.handlerAdded",,,,2,7,0
Class,"http2.bench.client.Client.TestClientHandlerBuilder",9,33,33,3,21,0
Public Constructor,"http2.bench.client.Client.TestClientHandlerBuilder.TestClientHandlerBuilder",,,,1,3,0
Protected Method,"http2.bench.client.Client.TestClientHandlerBuilder.build",,,,1,4,0
Public Method,"http2.bench.client.Client.TestClientHandlerBuilder.build",,,,1,11,0
Anonymous Class,"http2.bench.client.Client.TestClientHandlerBuilder.build.(Anon_1)",4,0,0,1,5,0
Public Method,"http2.bench.client.Client.TestClientHandlerBuilder.build.(Anon_1).onDataRead",,,,1,4,0
Protected Method,"http2.bench.client.Client.channelInitializer",,,,1,23,0
