Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AbstractMappingParser.java",,,,1,7,0
File,"AbstractParser.java",,,,4,21,18
File,"Access.java",,,,0,15,3
File,"Action.java",,,,1,18,7
File,"ActionStepBuilder.java",,,,3,22,1
File,"Adapter.java",,,,2,14,0
File,"AddToIntStep.java",,,,16,84,0
File,"Agent.java",,,,1,13,18
File,"AgentControlMessage.java",,,,4,28,0
File,"AgentHello.java",,,,4,23,0
File,"AgentInfo.java",,,,1,23,0
File,"AgentVerticle.java",,,,42,184,2
File,"AgentsParser.java",,,,19,78,19
File,"ArrayRecorder.java",,,,18,102,0
File,"AsyncSemaphore.java",,,,9,40,5
File,"AsyncSemaphoreTestCase.java",,,,7,41,0
File,"AwaitAllResponsesStep.java",,,,1,9,0
File,"AwaitConditionStep.java",,,,2,14,0
File,"AwaitDelayStep.java",,,,5,36,0
File,"AwaitIntStep.java",,,,8,50,0
File,"AwaitVarStep.java",,,,15,65,0
File,"BaseBenchmarkTestCase.java",,,,6,38,0
File,"BaseClusteredTest.java",,,,7,35,1
File,"BaseMockConnection.java",,,,10,49,0
File,"BaseRawBytesHandler.java",,,,7,42,1
File,"BaseRunIdCommand.java",,,,5,35,0
File,"BaseScenarioTest.java",,,,14,80,1
File,"BaseSequenceBuilder.java",,,,29,124,1
File,"BaseStep.java",,,,3,19,0
File,"BaseStepBuilder.java",,,,3,16,0
File,"Benchmark.java",,,,0,3,3
File,"Benchmark.java",,,,17,86,27
File,"BenchmarkBuilder.java",,,,42,158,26
File,"BenchmarkBuilder.java",,,,1,7,8
File,"BenchmarkCommand.java",,,,4,32,0
File,"BenchmarkCompleter.java",,,,2,6,0
File,"BenchmarkData.java",,,,2,18,0
File,"BenchmarkDefinitionException.java",,,,2,9,18
File,"BenchmarkParser.java",,,,17,93,23
File,"BenchmarkRefImpl.java",,,,12,55,0
File,"BodyHandler.java",,,,2,17,18
File,"BreakSequenceStep.java",,,,17,73,0
File,"BuilderBase.java",,,,4,14,7
File,"BuilderTest.java",,,,1,34,24
File,"ByteBufSizeRecorder.java",,,,2,17,0
File,"ByteStream.java",,,,0,11,3
File,"ChunkedTransferTest.java",,,,15,97,0
File,"Client.java",,,,7,149,4
File,"ClusterTestCase.java",,,,14,117,10
File,"Codecs.java",,,,2,24,0
File,"ComplexBenchmarkTestCase.java",,,,0,6,18
File,"Condition.java",,,,0,8,0
File,"Connect.java",,,,6,55,0
File,"Connection.java",,,,0,12,0
File,"Context.java",,,,44,204,1
File,"ContextAwareClient.java",,,,1,10,21
File,"ControllerPhase.java",,,,13,59,0
File,"ControllerServer.java",,,,96,443,4
File,"ControllerVerticle.java",,,,130,511,2
File,"CookieAppender.java",,,,2,18,0
File,"CookieRecorder.java",,,,4,21,0
File,"CookieStore.java",,,,65,274,16
File,"CookieStoreTest.java",,,,11,141,0
File,"CookieTest.java",,,,7,52,0
File,"Copyable.java",,,,0,4,3
File,"CountDown.java",,,,11,42,0
File,"CountHeadersHandler.java",,,,5,36,0
File,"CountRecorder.java",,,,5,28,0
File,"CrewMember.java",,,,8,31,0
File,"CustomHttp2ConnectionHandler.java",,,,13,80,1
File,"CustomValue.java",,,,0,8,0
