Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"Clear.java",,,,5,25,17
File,"Client.java",,,,12,64,15
File,"Command.java",,,,0,5,0
File,"CommandException.java",,,,2,9,0
File,"Date.java",,,,2,18,15
File,"Dir.java",,,,41,158,70
File,"Echo.java",,,,2,15,16
File,"Exec.java",,,,7,34,15
File,"Exit.java",,,,1,8,15
File,"Files.java",,,,29,178,26
File,"Help.java",,,,1,23,15
File,"Input.java",,,,51,277,81
File,"InputHandler.java",,,,59,217,124
File,"JTerm.java",,,,14,94,18
File,"Key.java",,,,0,8,0
File,"Pause.java",,,,5,29,16
File,"Ping.java",,,,6,36,15
File,"ProtectedDocument.java",,,,38,145,81
File,"ProtectedTextComponent.java",,,,5,32,32
File,"Ps.java",,,,2,24,15
File,"Server.java",,,,16,83,15
File,"Set.java",,,,7,37,22
File,"Terminal.java",,,,14,95,4
File,"Time.java",,,,2,17,15
File,"Util.java",,,,22,76,17
File,"Window.java",,,,18,77,64
Public Implicit Method,"clone",,,,0,,
Package,"jterm",,,,42,241,48
Public Class,"jterm.Client",12,0,0,12,58,0
Public Static Method,"jterm.Client.connect",,,,8,43,0
Public Method,"jterm.Client.run",,,,4,12,0
Public Class,"jterm.JTerm",22,87,83,14,79,2
Public Static Method,"jterm.JTerm.executeCommand",,,,4,17,0
Public Static Method,"jterm.JTerm.getTerminal",,,,1,3,0
Public Static Method,"jterm.JTerm.isHeadless",,,,1,3,0
Public Static Method,"jterm.JTerm.log",,,,4,10,0
Lambda Method,"jterm.JTerm.log.(lambda_expr_1)",,,,1,1,0
Public Static Method,"jterm.JTerm.logln",,,,1,3,0
Public Static Method,"jterm.JTerm.main",,,,3,16,0
Public Class,"jterm.Server",12,50,41,16,73,0
Constructor,"jterm.Server.Server",,,,1,3,0
Public Static Method,"jterm.Server.Start",,,,11,47,0
Lambda Method,"jterm.Server.Start.(lambda_expr_1)",,,,5,20,0
Public Method,"jterm.Server.run",,,,4,17,0
Package,"jterm.command",,,,130,693,336
Public Class,"jterm.command.Clear",11,0,0,5,21,2
Public Method,"jterm.command.Clear.execute",,,,5,17,2
Public Interface,"jterm.command.Command",1,0,0,0,3,0
Abstract Method,"jterm.command.Command.execute",,,,0,1,0
Public Class,"jterm.command.CommandException",1,0,0,2,8,0
Constructor,"jterm.command.CommandException.CommandException",,,,1,3,0
Constructor,"jterm.command.CommandException.CommandException",,,,1,3,0
Public Class,"jterm.command.Date",6,0,0,2,12,0
Public Method,"jterm.command.Date.execute",,,,2,9,0
Public Class,"jterm.command.Dir",16,0,0,33,146,55
Lambda Method,"jterm.command.Dir.(lambda_expr_1)",,,,1,1,0
Lambda Method,"jterm.command.Dir.(lambda_expr_2)",,,,7,8,0
Private Interface,"jterm.command.Dir.FilePrinter",2,0,0,0,4,0
Abstract Method,"jterm.command.Dir.FilePrinter.print",,,,0,1,0
Public Static Method,"jterm.command.Dir.cd",,,,11,37,3
Public Method,"jterm.command.Dir.execute",,,,4,13,0
Public Static Method,"jterm.command.Dir.ls",,,,5,20,0
Public Static Method,"jterm.command.Dir.md",,,,2,11,0
Public Static Method,"jterm.command.Dir.pwd",,,,2,7,0
Public Static Method,"jterm.command.Dir.rm",,,,9,35,0
Public Class,"jterm.command.Echo",5,0,0,2,11,1
Public Method,"jterm.command.Echo.execute",,,,2,9,0
Public Class,"jterm.command.Exec",9,0,0,7,28,0
Public Method,"jterm.command.Exec.execute",,,,3,12,0
Public Static Method,"jterm.command.Exec.run",,,,4,15,0
Public Class,"jterm.command.Exit",3,0,0,1,6,0
Public Method,"jterm.command.Exit.execute",,,,1,4,0
Public Class,"jterm.command.Files",27,0,0,29,165,11
Public Static Method,"jterm.command.Files.delete",,,,4,20,1
Public Static Method,"jterm.command.Files.download",,,,8,59,10
Public Method,"jterm.command.Files.execute",,,,3,14,0
Public Static Method,"jterm.command.Files.read",,,,6,25,0
