Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
Package,"(Unnamed_Package)",,,,11,76,32
File,"Carousel.java",,,,1,18,19
File,"CarouselAdminController.java",,,,9,86,28
File,"CarouselMapper.java",,,,0,12,43
File,"CarouselService.java",,,,0,12,43
File,"CarouselServiceImpl.java",,,,6,37,7
File,"CustomDateSerializer.java",,,,1,14,7
File,"CustomDateTimeSerializer.java",,,,1,14,7
File,"Customer.java",,,,1,21,25
File,"CustomerAdminController.java",,,,8,78,27
File,"CustomerMapper.java",,,,0,13,49
File,"CustomerReturnList.java",,,,1,31,43
File,"CustomerReturnListAdminController.java",,,,12,147,60
File,"CustomerReturnListGoods.java",,,,0,18,46
File,"CustomerReturnListGoodsMapper.java",,,,0,11,37
File,"CustomerReturnListGoodsService.java",,,,0,11,37
File,"CustomerReturnListGoodsServiceImpl.java",,,,5,33,7
File,"CustomerReturnListMapper.java",,,,0,13,48
File,"CustomerReturnListService.java",,,,0,13,48
File,"CustomerReturnListServiceImpl.java",,,,7,41,7
File,"CustomerService.java",,,,0,13,49
File,"CustomerServiceImpl.java",,,,7,41,7
File,"DamageList.java",,,,0,13,28
File,"DamageListAdminController.java",,,,8,106,40
File,"DamageListGoods.java",,,,0,17,43
File,"DamageListGoodsMapper.java",,,,0,9,25
File,"DamageListGoodsService.java",,,,0,8,25
File,"DamageListGoodsServiceImpl.java",,,,3,24,7
File,"DamageListMapper.java",,,,0,12,42
File,"DamageListService.java",,,,0,12,42
File,"DamageListServiceImpl.java",,,,6,37,7
File,"DateUtil.java",,,,11,64,45
File,"DrawImageController.java",,,,7,70,58
File,"Goods.java",,,,1,32,53
File,"GoodsAdminController.java",,,,22,201,78
File,"GoodsMapper.java",,,,0,21,95
File,"GoodsService.java",,,,0,21,95
File,"GoodsServiceImpl.java",,,,15,73,7
File,"GoodsType.java",,,,1,18,22
File,"GoodsTypeAdminController.java",,,,11,101,38
File,"GoodsTypeMapper.java",,,,0,10,37
File,"GoodsTypeService.java",,,,0,10,37
File,"GoodsTypeServiceImpl.java",,,,5,32,7
File,"GoodsUnit.java",,,,1,14,13
File,"GoodsUnitAdminController.java",,,,4,51,29
File,"GoodsUnitMapper.java",,,,0,10,36
File,"GoodsUnitService.java",,,,0,10,36
File,"GoodsUnitServiceImpl.java",,,,5,32,7
File,"IndexController.java",,,,1,16,12
File,"Log.java",,,,2,27,28
File,"LogAdminController.java",,,,5,62,16
File,"LogMapper.java",,,,0,9,25
File,"LogService.java",,,,0,9,25
File,"LogServiceImpl.java",,,,3,30,7
File,"MathUtil.java",,,,1,6,13
Public Class,"MavenWrapperDownloader",17,0,0,10,72,17
Private Static Method,"MavenWrapperDownloader.downloadFileFromURL",,,,2,19,0
Anonymous Class,"MavenWrapperDownloader.downloadFileFromURL.(Anon_1)",3,0,0,1,5,0
Protected Method,"MavenWrapperDownloader.downloadFileFromURL.(Anon_1).getPasswordAuthentication",,,,1,4,0
File,"MavenWrapperDownloader.java",,,,11,76,32
Public Static Method,"MavenWrapperDownloader.main",,,,8,43,3
File,"Menu.java",,,,0,11,25
File,"MenuMapper.java",,,,0,9,32
File,"MenuService.java",,,,0,9,32
File,"MenuServiceImpl.java",,,,4,28,7
File,"MyRealm.java",,,,5,57,20
File,"OverflowList.java",,,,0,14,28
File,"OverflowListAdminController.java",,,,8,105,40
File,"OverflowListGoods.java",,,,0,18,43
File,"OverflowListGoodsMapper.java",,,,0,8,25
File,"OverflowListGoodsService.java",,,,0,8,25
File,"OverflowListGoodsServiceImpl.java",,,,3,24,7
File,"OverflowListMapper.java",,,,0,12,42
File,"OverflowListService.java",,,,0,12,40
File,"OverflowListServiceImpl.java",,,,6,37,7
File,"PageBean.java",,,,6,26,16
File,"PetHospitalApplication.java",,,,1,11,3
File,"PethospitalApplicationTests.java",,,,1,9,0
File,"PurchaseList.java",,,,1,34,43
File,"PurchaseListAdminController.java",,,,12,148,61
File,"PurchaseListGoods.java",,,,0,18,46
File,"PurchaseListGoodsMapper.java",,,,0,11,31
File,"PurchaseListGoodsService.java",,,,0,10,31
File,"PurchaseListGoodsServiceImpl.java",,,,4,29,7
File,"PurchaseListMapper.java",,,,0,13,48
