Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
Package,"(Unnamed_Package)",,,,11,76,32
File,"Article.java",,,,1,24,28
File,"ArticleAdminController.java",,,,9,106,37
File,"ArticleController.java",,,,7,96,25
File,"ArticleMapper.java",,,,0,15,61
File,"ArticleService.java",,,,0,15,61
File,"ArticleServiceImpl.java",,,,9,49,7
File,"ArticleType.java",,,,1,18,19
File,"ArticleTypeAdminController.java",,,,9,92,33
File,"ArticleTypeMapper.java",,,,0,13,49
File,"ArticleTypeService.java",,,,0,13,49
File,"ArticleTypeServiceImpl.java",,,,7,41,7
File,"Assay.java",,,,0,12,25
File,"AssayAdminController.java",,,,9,95,27
File,"AssayController.java",,,,3,60,20
File,"AssayMapper.java",,,,0,12,43
File,"AssayService.java",,,,0,12,43
File,"AssayServiceImpl.java",,,,6,37,7
File,"Carousel.java",,,,1,19,22
File,"CarouselAdminController.java",,,,9,93,28
File,"CarouselMapper.java",,,,0,12,43
File,"CarouselService.java",,,,0,12,43
File,"CarouselServiceImpl.java",,,,6,37,7
File,"CustomDateSerializer.java",,,,1,14,7
File,"CustomDateTimeSerializer.java",,,,1,14,7
File,"Customer.java",,,,1,30,37
File,"CustomerAdminController.java",,,,10,96,29
File,"CustomerController.java",,,,16,184,67
File,"CustomerMapper.java",,,,0,16,67
File,"CustomerReturnList.java",,,,1,31,43
File,"CustomerReturnListAdminController.java",,,,12,147,60
File,"CustomerReturnListGoods.java",,,,0,18,46
File,"CustomerReturnListGoodsMapper.java",,,,0,11,37
File,"CustomerReturnListGoodsService.java",,,,0,11,37
File,"CustomerReturnListGoodsServiceImpl.java",,,,5,33,7
File,"CustomerReturnListMapper.java",,,,0,13,48
File,"CustomerReturnListService.java",,,,0,13,48
File,"CustomerReturnListServiceImpl.java",,,,7,41,7
File,"CustomerService.java",,,,0,16,67
File,"CustomerServiceImpl.java",,,,10,53,7
File,"DamageList.java",,,,0,13,28
File,"DamageListAdminController.java",,,,8,106,40
File,"DamageListGoods.java",,,,0,17,43
File,"DamageListGoodsMapper.java",,,,0,9,25
File,"DamageListGoodsService.java",,,,0,8,25
File,"DamageListGoodsServiceImpl.java",,,,3,24,7
File,"DamageListMapper.java",,,,0,12,42
File,"DamageListService.java",,,,0,12,42
File,"DamageListServiceImpl.java",,,,6,37,7
File,"DateUtil.java",,,,11,63,45
File,"DrawImageController.java",,,,7,70,58
File,"Equipment.java",,,,0,11,25
File,"EquipmentAdminController.java",,,,11,118,49
File,"EquipmentMapper.java",,,,0,17,61
File,"EquipmentService.java",,,,0,15,61
File,"EquipmentServiceImpl.java",,,,9,49,7
File,"EquipmentType.java",,,,1,18,19
File,"EquipmentTypeAdminController.java",,,,12,113,34
File,"EquipmentTypeMapper.java",,,,0,14,49
File,"EquipmentTypeService.java",,,,0,13,49
File,"EquipmentTypeServiceImpl.java",,,,7,41,7
File,"Favorite.java",,,,0,10,19
File,"FavoriteMapper.java",,,,0,10,32
File,"FavoriteService.java",,,,0,10,32
File,"FavoriteServiceImpl.java",,,,4,29,7
File,"FosterCare.java",,,,0,16,37
File,"FosterCareAdminController.java",,,,16,142,28
File,"FosterCareController.java",,,,2,56,20
File,"FosterCareMapper.java",,,,0,12,43
File,"FosterCareService.java",,,,0,12,43
File,"FosterCareServiceImpl.java",,,,6,37,7
File,"Goods.java",,,,1,44,74
File,"GoodsAdminController.java",,,,25,227,81
File,"GoodsController.java",,,,22,195,57
File,"GoodsMapper.java",,,,0,24,112
File,"GoodsRemoveNew.java",,,,1,17,8
File,"GoodsService.java",,,,0,24,112
File,"GoodsServiceImpl.java",,,,19,89,7
File,"GoodsType.java",,,,1,22,25
File,"GoodsTypeAdminController.java",,,,11,101,38
File,"GoodsTypeMapper.java",,,,0,10,37
File,"GoodsTypeService.java",,,,0,10,37
File,"GoodsTypeServiceImpl.java",,,,5,32,7
File,"GoodsUnit.java",,,,1,14,13
File,"GoodsUnitAdminController.java",,,,4,51,29
File,"GoodsUnitMapper.java",,,,0,10,36
File,"GoodsUnitService.java",,,,0,10,36
File,"GoodsUnitServiceImpl.java",,,,5,32,7
File,"IndexController.java",,,,5,52,32
File,"Information.java",,,,0,12,25
File,"InformationMapper.java",,,,0,12,43
File,"InformationService.java",,,,0,12,43
File,"Inquiry.java",,,,0,17,40
File,"InquiryAdminController.java",,,,21,158,47
File,"InquiryController.java",,,,10,127,38
File,"InquiryMapper.java",,,,0,12,43
File,"InquiryService.java",,,,0,12,43
File,"InquiryServiceImpl.java",,,,6,37,7
File,"Log.java",,,,2,27,28
File,"LogAdminController.java",,,,5,62,16
File,"LogMapper.java",,,,0,9,25
File,"LogService.java",,,,0,9,25
File,"LogServiceImpl.java",,,,3,30,7
File,"MathUtil.java",,,,1,6,13
