Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AdapterDemo.java",,,,10,65,11
File,"AspectJProxyDemo.java",,,,4,34,11
File,"BankTellerSimulation.java",,,,36,177,20
File,"BeforeAdviceDemo.java",,,,4,33,9
File,"ByteBufferOOMDemo.java",,,,1,7,6
File,"CarBuilder.java",,,,44,218,29
File,"CgLibProxyDemo.java",,,,8,57,10
File,"CompareAndSwapDemo.java",,,,16,115,34
File,"ConcurrentModificationExceptionDemo.java",,,,4,24,14
File,"ConstructorDemo.java",,,,0,3,11
File,"CountDownLatchDemo.java",,,,12,65,10
File,"DESDemo.java",,,,3,38,38
File,"DeadLockMissDemo.java",,,,5,34,5
File,"DeadLockMutexDemo.java",,,,6,42,6
File,"DelayQueueDemo.java",,,,17,86,14
File,"ExchangerDemo.java",,,,17,87,17
File,"FactoryDemo.java",,,,9,69,13
File,"FastjsonDemo.java",,,,10,90,11
File,"GreenhouseScheduler.java",,,,20,136,23
File,"HashDemo.java",,,,54,246,115
File,"HashSetDemo.java",,,,12,62,11
File,"HeapOOMDemo.java",,,,3,16,5
File,"HorseRace.java",,,,18,89,8
File,"IUserService.java",,,,0,5,0
File,"ImmutableDemo.java",,,,3,20,9
File,"InheritanceDemo.java",,,,1,7,13
File,"IocDemo.java",,,,5,47,19
File,"IteratorDemo.java",,,,23,119,35
File,"JaxbDemo.java",,,,23,112,7
File,"JdkProxyDemo.java",,,,10,64,9
File,"MD5Demo.java",,,,6,32,22
File,"Map2XmlStringDemo.java",,,,20,88,6
File,"MultitonDemo.java",,,,7,41,6
File,"ObserverDemo.java",,,,12,76,13
File,"OddAndEvenDemo.java",,,,13,60,6
File,"PermGenOOMDemo.java",,,,4,23,7
File,"Person.java",,,,6,23,3
File,"PersonMapper.java",,,,0,8,12
File,"PriorityBlockingQueueDemo.java",,,,22,102,17
File,"ProducerComsumerWithWaitDemo.java",,,,14,73,12
File,"ProducerConsumerWithConditionDemo.java",,,,11,71,6
File,"PrototypeDemo.java",,,,17,98,6
File,"QueueDemo.java",,,,5,21,7
File,"RBTreeVsMergeSortDemo.java",,,,9,53,9
File,"RandomPermuteDemo.java",,,,9,46,11
File,"SemaphoreDemo.java",,,,28,137,18
File,"SingletonDemo.java",,,,13,51,12
File,"SpringContextHolder.java",,,,7,30,6
File,"SpringMVCDemo.java",,,,7,59,1
File,"StackoverflowDemo.java",,,,2,9,5
File,"StrategyDemo.java",,,,38,177,44
File,"SurroundAdviceDemo.java",,,,6,67,26
File,"SuspendAndResumeDemo.java",,,,2,26,9
File,"TemplateMethodDemo.java",,,,5,30,11
File,"ThreadHeapOOMDemo.java",,,,4,24,5
File,"UserService.java",,,,1,15,0
File,"WaitingDemo.java",,,,12,100,15
File,"WeightedRandomDemo.java",,,,14,72,18
File,"WeightedRoundDemo.java",,,,28,140,18
File,"XStreamDemo.java",,,,8,50,10
File,"XmlDemo.java",,,,26,160,58
Package,"com",,,,0,0,0
Package,"com.cl",,,,0,0,0
Package,"com.cl.roadshow",,,,0,0,0
Package,"com.cl.roadshow.algorithm",,,,114,557,171
Abstract Class,"com.cl.roadshow.algorithm.AbstractWeight",1,0,0,2,9,5
Public Method,"com.cl.roadshow.algorithm.AbstractWeight.getWeight",,,,1,3,0
Public Method,"com.cl.roadshow.algorithm.AbstractWeight.setWeight",,,,1,3,0
Class,"com.cl.roadshow.algorithm.ConcreteWeitht",3,0,0,4,17,0
Public Constructor,"com.cl.roadshow.algorithm.ConcreteWeitht.ConcreteWeitht",,,,1,5,0
Public Method,"com.cl.roadshow.algorithm.ConcreteWeitht.getName",,,,1,3,0
Public Method,"com.cl.roadshow.algorithm.ConcreteWeitht.setName",,,,1,3,0
Public Method,"com.cl.roadshow.algorithm.ConcreteWeitht.toString",,,,1,4,0
Public Class,"com.cl.roadshow.algorithm.HashDemo",8,0,0,54,243,115
Public Static Method,"com.cl.roadshow.algorithm.HashDemo.additiveHash",,,,2,7,7
Public Static Method,"com.cl.roadshow.algorithm.HashDemo.apHash",,,,3,8,6
Public Static Method,"com.cl.roadshow.algorithm.HashDemo.bernstein",,,,2,8,8
