Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"CIMClient.java",,,,37,211,52
File,"CIMClientTest.java",,,,2,52,10
File,"ClientAuthenticationHandlerWSS.java",,,,13,85,16
File,"CoverityFooter.java",,,,5,43,12
File,"CoverityPlugin.java",,,,1,80,17
File,"CoverityPluginMetrics.java",,,,1,47,20
File,"CoverityPluginTest.java",,,,1,11,10
File,"CoverityProfiles.java",,,,6,46,10
File,"CoverityRules.java",,,,3,36,10
File,"CoverityRulesRepositories.java",,,,4,42,10
File,"CoveritySensor.java",,,,25,238,21
File,"CoveritySensorTest.java",,,,9,88,15
File,"CoverityUtil.java",,,,7,32,11
File,"CoverityWidget.java",,,,3,18,11
File,"FileGenerator.java",,,,4,63,19
File,"TripleFromDefects.java",,,,14,29,10
Package,"org",,,,0,0,0
Package,"org.sonar",,,,0,0,0
Package,"org.sonar.plugins",,,,0,0,0
Package,"org.sonar.plugins.coverity",,,,2,91,27
Public Final Class,"org.sonar.plugins.coverity.CoverityPlugin",13,0,0,1,67,7
Public Method,"org.sonar.plugins.coverity.CoverityPlugin.getExtensions",,,,1,57,6
Public Class,"org.sonar.plugins.coverity.CoverityPluginTest",4,0,0,1,7,0
Public Method,"org.sonar.plugins.coverity.CoverityPluginTest.testGetExtensions",,,,1,5,0
Package,"org.sonar.plugins.coverity.base",,,,1,47,20
Public Class,"org.sonar.plugins.coverity.base.CoverityPluginMetrics",5,100,100,1,42,8
Public Method,"org.sonar.plugins.coverity.base.CoverityPluginMetrics.getMetrics",,,,1,4,0
Package,"org.sonar.plugins.coverity.batch",,,,34,326,36
Public Class,"org.sonar.plugins.coverity.batch.CoveritySensor",37,77,77,25,206,11
Public Constructor,"org.sonar.plugins.coverity.batch.CoveritySensor.CoveritySensor",,,,1,5,0
Public Method,"org.sonar.plugins.coverity.batch.CoveritySensor.analyse",,,,14,107,5
Private Method,"org.sonar.plugins.coverity.batch.CoveritySensor.getCoverityLogoMeasures",,,,1,44,0
Protected Method,"org.sonar.plugins.coverity.batch.CoveritySensor.getDefectURL",,,,1,4,1
Protected Method,"org.sonar.plugins.coverity.batch.CoveritySensor.getIssueMessage",,,,1,6,0
Protected Method,"org.sonar.plugins.coverity.batch.CoveritySensor.getMainEvent",,,,3,8,0
Protected Method,"org.sonar.plugins.coverity.batch.CoveritySensor.getResourceForFile",,,,2,10,1
Public Method,"org.sonar.plugins.coverity.batch.CoveritySensor.shouldExecuteOnProject",,,,1,5,0
Public Method,"org.sonar.plugins.coverity.batch.CoveritySensor.toString",,,,1,4,0
Public Class,"org.sonar.plugins.coverity.batch.CoveritySensorTest",19,81,81,9,64,5
Public Method,"org.sonar.plugins.coverity.batch.CoveritySensorTest.setUp",,,,1,7,0
Public Method,"org.sonar.plugins.coverity.batch.CoveritySensorTest.testGetCheckerProperties",,,,1,3,1
Public Method,"org.sonar.plugins.coverity.batch.CoveritySensorTest.testGetCoverityLogoMeasures",,,,1,11,0
Public Method,"org.sonar.plugins.coverity.batch.CoveritySensorTest.testGetDefectURL",,,,1,13,1
Public Method,"org.sonar.plugins.coverity.batch.CoveritySensorTest.testGetIssueMessage",,,,1,3,1
Public Method,"org.sonar.plugins.coverity.batch.CoveritySensorTest.testGetMainEvent",,,,2,14,0
Public Method,"org.sonar.plugins.coverity.batch.CoveritySensorTest.testGetResourceForFile",,,,1,3,1
Public Method,"org.sonar.plugins.coverity.batch.CoveritySensorTest.testShouldExecuteOnProject",,,,1,4,1
Package,"org.sonar.plugins.coverity.server",,,,13,124,30
Public Class,"org.sonar.plugins.coverity.server.CoverityProfiles",9,25,25,3,31,0
Class,"org.sonar.plugins.coverity.server.CoverityProfiles.CoverityProfile",8,0,0,3,14,0
Public Constructor,"org.sonar.plugins.coverity.server.CoverityProfiles.CoverityProfile.CoverityProfile",,,,1,3,0
Public Method,"org.sonar.plugins.coverity.server.CoverityProfiles.CoverityProfile.createProfile",,,,2,8,0
Public Constructor,"org.sonar.plugins.coverity.server.CoverityProfiles.CoverityProfiles",,,,1,4,0
Public Method,"org.sonar.plugins.coverity.server.CoverityProfiles.provide",,,,2,8,0
Public Class,"org.sonar.plugins.coverity.server.CoverityRules",14,50,50,3,24,0
Public Constructor,"org.sonar.plugins.coverity.server.CoverityRules.CoverityRules",,,,1,5,0
Public Method,"org.sonar.plugins.coverity.server.CoverityRules.createRules",,,,2,14,0
Public Class,"org.sonar.plugins.coverity.server.CoverityRulesRepositories",12,0,0,4,31,0
