Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AttributeDefinitionDataObj.java",,,,18,85,161
File,"AttributeDefinitionIdDataObj.java",,,,2,19,35
File,"AttributeDefinitionSpecDataObj.java",,,,12,57,120
File,"AttributeDefinitionValueFilterMapDataObj.java",,,,4,29,58
File,"AttributeValueChangeSpecDataObj.java",,,,4,30,64
File,"AttributeValueDataObj.java",,,,8,45,84
File,"AttributeValueIdDataObj.java",,,,2,19,35
File,"AttributeValueSpecDataObj.java",,,,4,27,52
File,"BackupConfigurationDataObj.java",,,,18,81,115
File,"CIMClient.java",,,,23,147,65
File,"CLanguage.java",,,,2,17,32
File,"ClientAuthenticationHandlerWSS.java",,,,13,85,16
File,"CommitStateDataObj.java",,,,4,25,52
File,"ComponentDataObj.java",,,,6,39,81
File,"ComponentDefectRuleDataObj.java",,,,4,28,52
File,"ComponentIdDataObj.java",,,,2,19,35
File,"ComponentMapDataObj.java",,,,10,56,121
File,"ComponentMapFilterSpecDataObj.java",,,,2,17,35
File,"ComponentMapIdDataObj.java",,,,2,19,35
File,"ComponentMapSpecDataObj.java",,,,10,55,121
File,"ComponentMetricsDataObj.java",,,,22,102,133
File,"ComponentPathRuleDataObj.java",,,,4,28,52
File,"ConfigurationDataObj.java",,,,14,65,137
File,"ConfigurationService.java",,,,0,685,651
File,"ConfigurationServiceService.java",,,,5,43,15
File,"CopyStream.java",,,,4,25,52
File,"CopyStreamResponse.java",,,,2,19,35
File,"CovRemoteServiceException.java",,,,4,25,44
File,"CovRemoteServiceException_Exception.java",,,,3,19,27
File,"CoverityFooter.java",,,,3,31,19
File,"CoverityPlugin.java",,,,1,106,34
File,"CoverityPluginMetrics.java",,,,1,47,20
File,"CoverityPluginTest.java",,,,1,11,10
File,"CoverityProfiles.java",,,,8,53,11
File,"CoverityRules.java",,,,17,146,25
File,"CoverityRulesRepositories.java",,,,1,33,13
File,"CoveritySensor.java",,,,41,310,36
File,"CoveritySensorTest.java",,,,9,86,15
File,"CoverityUtil.java",,,,14,63,12
File,"CoverityWidget.java",,,,3,19,11
File,"CppLanguage.java",,,,2,17,32
File,"CreateAttribute.java",,,,2,17,35
File,"CreateAttributeResponse.java",,,,0,8,18
File,"CreateComponentMap.java",,,,2,17,35
File,"CreateComponentMapResponse.java",,,,0,8,18
File,"CreateGroup.java",,,,2,17,35
File,"CreateGroupResponse.java",,,,0,8,18
File,"CreateLdapConfiguration.java",,,,2,17,35
File,"CreateLdapConfigurationResponse.java",,,,0,8,18
File,"CreateMergedDefect.java",,,,12,60,120
File,"CreateMergedDefectResponse.java",,,,0,8,18
