Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"CIMClient.java",,,,32,200,60
File,"ClientAuthenticationHandlerWSS.java",,,,13,85,25
File,"CoverityPlugin.java",,,,1,72,24
File,"CoverityPluginTest.java",,,,1,11,19
File,"CoverityRules.java",,,,9,68,21
File,"CoverityRulesRepositories.java",,,,3,31,19
File,"CoveritySensor.java",,,,22,151,23
File,"CoveritySensorTest.java",,,,8,71,23
File,"CoverityUtil.java",,,,2,12,19
Package,"org",,,,0,0,0
Package,"org.sonar",,,,0,0,0
Package,"org.sonar.plugins",,,,0,0,0
Package,"org.sonar.plugins.coverity",,,,4,95,62
Public Final Class,"org.sonar.plugins.coverity.CoverityPlugin",9,0,0,1,63,5
Public Method,"org.sonar.plugins.coverity.CoverityPlugin.getExtensions",,,,1,53,4
Public Class,"org.sonar.plugins.coverity.CoverityPluginTest",4,0,0,1,7,0
Public Method,"org.sonar.plugins.coverity.CoverityPluginTest.testGetExtensions",,,,1,5,0
Public Class,"org.sonar.plugins.coverity.CoverityUtil",5,0,0,2,8,0
Public Static Method,"org.sonar.plugins.coverity.CoverityUtil.flattenCheckerSubcategoryId",,,,1,3,0
Public Static Method,"org.sonar.plugins.coverity.CoverityUtil.getRuleKey",,,,1,3,0
Package,"org.sonar.plugins.coverity.batch",,,,30,222,46
Public Class,"org.sonar.plugins.coverity.batch.CoveritySensor",31,70,70,22,119,4
Public Constructor,"org.sonar.plugins.coverity.batch.CoveritySensor.CoveritySensor",,,,1,5,0
Public Method,"org.sonar.plugins.coverity.batch.CoveritySensor.analyse",,,,10,60,2
Protected Method,"org.sonar.plugins.coverity.batch.CoveritySensor.getCheckerProperties",,,,2,12,0
Protected Method,"org.sonar.plugins.coverity.batch.CoveritySensor.getDefectURL",,,,1,4,1
Protected Method,"org.sonar.plugins.coverity.batch.CoveritySensor.getIssueMessage",,,,1,5,0
Protected Method,"org.sonar.plugins.coverity.batch.CoveritySensor.getMainEvent",,,,3,8,0
Protected Method,"org.sonar.plugins.coverity.batch.CoveritySensor.getResourceForFile",,,,2,10,1
Public Method,"org.sonar.plugins.coverity.batch.CoveritySensor.shouldExecuteOnProject",,,,1,5,0
Public Method,"org.sonar.plugins.coverity.batch.CoveritySensor.toString",,,,1,4,0
Public Class,"org.sonar.plugins.coverity.batch.CoveritySensorTest",16,75,75,8,54,4
Public Method,"org.sonar.plugins.coverity.batch.CoveritySensorTest.setUp",,,,1,7,0
Public Method,"org.sonar.plugins.coverity.batch.CoveritySensorTest.testGetCheckerProperties",,,,1,3,1
Public Method,"org.sonar.plugins.coverity.batch.CoveritySensorTest.testGetDefectURL",,,,1,13,1
Public Method,"org.sonar.plugins.coverity.batch.CoveritySensorTest.testGetIssueMessage",,,,1,3,1
Public Method,"org.sonar.plugins.coverity.batch.CoveritySensorTest.testGetMainEvent",,,,2,14,0
Public Method,"org.sonar.plugins.coverity.batch.CoveritySensorTest.testGetResourceForFile",,,,1,3,1
Public Method,"org.sonar.plugins.coverity.batch.CoveritySensorTest.testShouldExecuteOnProject",,,,1,5,0
Package,"org.sonar.plugins.coverity.server",,,,12,99,40
Public Class,"org.sonar.plugins.coverity.server.CoverityRules",17,50,50,9,53,2
Public Constructor,"org.sonar.plugins.coverity.server.CoverityRules.CoverityRules",,,,1,5,0
Public Method,"org.sonar.plugins.coverity.server.CoverityRules.createRules",,,,1,4,0
Public Method,"org.sonar.plugins.coverity.server.CoverityRules.createRulesFromDisk",,,,1,3,0
Public Method,"org.sonar.plugins.coverity.server.CoverityRules.createRulesFromServer",,,,6,36,2
Public Class,"org.sonar.plugins.coverity.server.CoverityRulesRepositories",12,25,25,3,21,0
Public Constructor,"org.sonar.plugins.coverity.server.CoverityRulesRepositories.CoverityRulesRepositories",,,,1,3,0
Public Method,"org.sonar.plugins.coverity.server.CoverityRulesRepositories.provide",,,,2,8,0
Package,"org.sonar.plugins.coverity.ws",,,,45,285,85
Public Class,"org.sonar.plugins.coverity.ws.CIMClient",34,87,47,32,170,41
Public Constructor,"org.sonar.plugins.coverity.ws.CIMClient.CIMClient",,,,1,7,0
Private Method,"org.sonar.plugins.coverity.ws.CIMClient.attachAuthenticationHandler",,,,1,3,3
Public Method,"org.sonar.plugins.coverity.ws.CIMClient.getConfigurationService",,,,2,17,4
Public Method,"org.sonar.plugins.coverity.ws.CIMClient.getDefectService",,,,2,17,3
Public Method,"org.sonar.plugins.coverity.ws.CIMClient.getDefects",,,,2,17,0
