Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"CIMClient.java",,,,22,150,60
File,"ClientAuthenticationHandlerWSS.java",,,,13,85,25
File,"CoverityPlugin.java",,,,1,68,25
File,"CoveritySensor.java",,,,8,51,23
Package,"org",,,,0,0,0
Package,"org.sonar",,,,0,0,0
Package,"org.sonar.plugins",,,,0,0,0
Package,"org.sonar.plugins.coverity",,,,1,68,25
Public Final Class,"org.sonar.plugins.coverity.CoverityPlugin",8,0,0,1,60,6
Public Method,"org.sonar.plugins.coverity.CoverityPlugin.getExtensions",,,,1,51,5
Package,"org.sonar.plugins.coverity.batch",,,,8,51,23
Public Class,"org.sonar.plugins.coverity.batch.CoveritySensor",15,62,62,8,38,4
Public Constructor,"org.sonar.plugins.coverity.batch.CoveritySensor.CoveritySensor",,,,1,4,3
Public Method,"org.sonar.plugins.coverity.batch.CoveritySensor.analyse",,,,5,22,0
Public Method,"org.sonar.plugins.coverity.batch.CoveritySensor.shouldExecuteOnProject",,,,1,3,1
Public Method,"org.sonar.plugins.coverity.batch.CoveritySensor.toString",,,,1,4,0
Package,"org.sonar.plugins.coverity.ws",,,,35,235,85
Public Class,"org.sonar.plugins.coverity.ws.CIMClient",30,85,32,22,124,41
Public Constructor,"org.sonar.plugins.coverity.ws.CIMClient.CIMClient",,,,1,7,0
Private Method,"org.sonar.plugins.coverity.ws.CIMClient.attachAuthenticationHandler",,,,1,3,3
Public Method,"org.sonar.plugins.coverity.ws.CIMClient.getConfigurationService",,,,2,17,4
Public Method,"org.sonar.plugins.coverity.ws.CIMClient.getDefectService",,,,2,17,3
Public Method,"org.sonar.plugins.coverity.ws.CIMClient.getDefects",,,,4,21,0
Public Method,"org.sonar.plugins.coverity.ws.CIMClient.getProject",,,,2,10,0
Public Method,"org.sonar.plugins.coverity.ws.CIMClient.getProjectKey",,,,3,11,0
Public Method,"org.sonar.plugins.coverity.ws.CIMClient.getProjects",,,,1,3,0
Public Method,"org.sonar.plugins.coverity.ws.CIMClient.getStaticStreams",,,,2,8,0
Public Method,"org.sonar.plugins.coverity.ws.CIMClient.getStream",,,,2,10,0
Public Method,"org.sonar.plugins.coverity.ws.CIMClient.getURL",,,,2,3,6
Public Class,"org.sonar.plugins.coverity.ws.ClientAuthenticationHandlerWSS",22,75,75,12,66,6
Public Constructor,"org.sonar.plugins.coverity.ws.ClientAuthenticationHandlerWSS.ClientAuthenticationHandlerWSS",,,,2,19,1
Private Class,"org.sonar.plugins.coverity.ws.ClientAuthenticationHandlerWSS.SecurityEnvironmentHandler",2,0,0,1,4,0
Public Method,"org.sonar.plugins.coverity.ws.ClientAuthenticationHandlerWSS.SecurityEnvironmentHandler.handle",,,,1,2,0
Public Method,"org.sonar.plugins.coverity.ws.ClientAuthenticationHandlerWSS.close",,,,1,2,0
Public Method,"org.sonar.plugins.coverity.ws.ClientAuthenticationHandlerWSS.destroy",,,,1,3,0
Public Method,"org.sonar.plugins.coverity.ws.ClientAuthenticationHandlerWSS.getHeaders",,,,1,6,0
Public Method,"org.sonar.plugins.coverity.ws.ClientAuthenticationHandlerWSS.handleFault",,,,1,3,0
Public Method,"org.sonar.plugins.coverity.ws.ClientAuthenticationHandlerWSS.handleMessage",,,,4,17,0
Public Method,"org.sonar.plugins.coverity.ws.ClientAuthenticationHandlerWSS.init",,,,1,3,0
Private Method,"org.sonar.plugins.coverity.ws.ClientAuthenticationHandlerWSS.quote",,,,1,3,0
