Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"CredentialsHelper.java",,,,13,90,4
File,"CustomIssue.java",,,,8,38,0
File,"CustomIssueConfig.java",,,,8,49,0
File,"DummyTest.java",,,,1,9,1
File,"ExtendedVariableConfig.java",,,,4,32,0
File,"GitChangelogConfig.java",,,,121,722,0
File,"GitChangelogConfigHelper.java",,,,5,67,0
File,"GitChangelogDescriptor.java",,,,13,128,1
File,"GitChangelogLeftsideBuildDecorator.java",,,,6,33,0
File,"GitChangelogLogger.java",,,,5,21,0
File,"GitChangelogMasterToSlaveCallable.java",,,,2,26,0
File,"GitChangelogPerformer.java",,,,10,139,5
File,"GitChangelogRecorder.java",,,,7,45,0
File,"GitChangelogStep.java",,,,65,344,23
File,"GitChangelogStepDescriptor.java",,,,4,27,0
File,"GitChangelogSummaryDecorator.java",,,,6,39,0
File,"GitHubConfig.java",,,,5,36,0
File,"GitLabConfig.java",,,,6,45,0
File,"GitLogBasicChangelogPostPublisher.java",,,,6,57,0
File,"GitLogBasicChangelogTokenMacro.java",,,,2,16,0
File,"GitLogGenericPostPublishPerformer.java",,,,11,81,0
File,"GitLogGenericPostPublishPerformerBuilder.java",,,,5,28,0
File,"GitLogJiraFilterPostPublisher.java",,,,6,71,0
File,"GitLogJiraFilterTokenMacro.java",,,,2,21,0
File,"GitLogTokenMacro.java",,,,2,30,0
File,"JiraConfig.java",,,,6,45,0
File,"REF_TYPE.java",,,,0,5,0
File,"RETURN_TYPE.java",,,,0,5,0
File,"RefConfig.java",,,,5,41,0
File,"RemoteCallable.java",,,,29,172,21
File,"RemoteResult.java",,,,7,31,0
File,"Whitelist.java",,,,1,63,3
Package,"de",,,,0,0,0
Package,"de.wellnerbou",,,,0,0,0
Package,"de.wellnerbou.jenkins",,,,0,0,0
Package,"de.wellnerbou.jenkins.gitchangelog",,,,0,0,0
Package,"de.wellnerbou.jenkins.gitchangelog.callable",,,,2,26,0
Public Class,"de.wellnerbou.jenkins.gitchangelog.callable.GitChangelogMasterToSlaveCallable",8,0,0,2,16,0
Public Constructor,"de.wellnerbou.jenkins.gitchangelog.callable.GitChangelogMasterToSlaveCallable.GitChangelogMasterToSlaveCallable",,,,1,3,0
Public Method,"de.wellnerbou.jenkins.gitchangelog.callable.GitChangelogMasterToSlaveCallable.call",,,,1,9,0
Package,"de.wellnerbou.jenkins.gitchangelog.publish",,,,28,237,0
Public Class,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogBasicChangelogPostPublisher",13,50,50,4,44,0
Public Static Class,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogBasicChangelogPostPublisher.DescriptorImpl",4,0,0,2,11,0
Public Method,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogBasicChangelogPostPublisher.DescriptorImpl.getDisplayName",,,,1,4,0
Public Method,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogBasicChangelogPostPublisher.DescriptorImpl.isApplicable",,,,1,4,0
Public Constructor,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogBasicChangelogPostPublisher.GitLogBasicChangelogPostPublisher",,,,1,7,0
Private Method,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogBasicChangelogPostPublisher.createChangelogProcessor",,,,1,3,0
Public Method,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogBasicChangelogPostPublisher.getRequiredMonitorService",,,,1,4,0
Public Method,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogBasicChangelogPostPublisher.perform",,,,1,14,0
Public Class,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogGenericPostPublishPerformer",15,67,57,11,67,0
Public Constructor,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogGenericPostPublishPerformer.GitLogGenericPostPublishPerformer",,,,1,10,0
Private Method,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogGenericPostPublishPerformer.closePrintStreamIfWrittenToFile",,,,2,5,0
Private Method,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogGenericPostPublishPerformer.createGitChangelogArgs",,,,2,12,0
Private Method,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogGenericPostPublishPerformer.decideForPrintStream",,,,2,12,0
Public Method,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogGenericPostPublishPerformer.perform",,,,1,16,0
Private Method,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogGenericPostPublishPerformer.resolveAndExpandIfNotNull",,,,2,3,0
Private Method,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogGenericPostPublishPerformer.shouldWriteToFile",,,,1,3,0
Public Class,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogGenericPostPublishPerformerBuilder",3,60,60,5,26,0
Public Method,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogGenericPostPublishPerformerBuilder.build",,,,1,3,0
Public Method,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogGenericPostPublishPerformerBuilder.setChangelogProcessor",,,,1,5,0
Public Method,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogGenericPostPublishPerformerBuilder.withFromRev",,,,1,4,0
Public Method,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogGenericPostPublishPerformerBuilder.withToRev",,,,1,4,0
Public Method,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogGenericPostPublishPerformerBuilder.writeTofile",,,,1,4,0
Public Class,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogJiraFilterPostPublisher",14,50,40,4,56,0
Public Static Class,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogJiraFilterPostPublisher.DescriptorImpl",4,0,0,2,11,0
Public Method,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogJiraFilterPostPublisher.DescriptorImpl.getDisplayName",,,,1,4,0
Public Method,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogJiraFilterPostPublisher.DescriptorImpl.isApplicable",,,,1,4,0
Public Constructor,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogJiraFilterPostPublisher.GitLogJiraFilterPostPublisher",,,,1,13,0
Private Method,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogJiraFilterPostPublisher.createChangelogProcessor",,,,1,7,0
Public Method,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogJiraFilterPostPublisher.getRequiredMonitorService",,,,1,4,0
Public Method,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogJiraFilterPostPublisher.perform",,,,1,14,0
Package,"de.wellnerbou.jenkins.gitchangelog.tokenmacro",,,,6,67,0
Public Class,"de.wellnerbou.jenkins.gitchangelog.tokenmacro.GitLogBasicChangelogTokenMacro",5,0,0,2,12,0
Public Method,"de.wellnerbou.jenkins.gitchangelog.tokenmacro.GitLogBasicChangelogTokenMacro.acceptsMacroName",,,,1,4,0
Protected Method,"de.wellnerbou.jenkins.gitchangelog.tokenmacro.GitLogBasicChangelogTokenMacro.createChangelogProcessor",,,,1,4,0
Public Class,"de.wellnerbou.jenkins.gitchangelog.tokenmacro.GitLogJiraFilterTokenMacro",6,50,50,2,17,0
Public Method,"de.wellnerbou.jenkins.gitchangelog.tokenmacro.GitLogJiraFilterTokenMacro.acceptsMacroName",,,,1,4,0
Protected Method,"de.wellnerbou.jenkins.gitchangelog.tokenmacro.GitLogJiraFilterTokenMacro.createChangelogProcessor",,,,1,7,0
Public Abstract Class,"de.wellnerbou.jenkins.gitchangelog.tokenmacro.GitLogTokenMacro",12,0,0,2,19,0
Protected Abstract Method,"de.wellnerbou.jenkins.gitchangelog.tokenmacro.GitLogTokenMacro.createChangelogProcessor",,,,0,1,0
Public Method,"de.wellnerbou.jenkins.gitchangelog.tokenmacro.GitLogTokenMacro.evaluate",,,,2,16,0
Package,"org",,,,0,0,0
Package,"org.jenkinsci",,,,0,0,0
Package,"org.jenkinsci.plugins",,,,0,0,0
Package,"org.jenkinsci.plugins.gitchangelog",,,,26,203,2
Public Class,"org.jenkinsci.plugins.gitchangelog.DummyTest",1,0,0,1,6,1
Public Method,"org.jenkinsci.plugins.gitchangelog.DummyTest.test",,,,1,4,1
Public Final Class,"org.jenkinsci.plugins.gitchangelog.GitChangelogDescriptor",16,88,88,13,115,1
Public Constructor,"org.jenkinsci.plugins.gitchangelog.GitChangelogDescriptor.GitChangelogDescriptor",,,,2,7,0
Public Method,"org.jenkinsci.plugins.gitchangelog.GitChangelogDescriptor.doFillGitHubApiTokenCredentialsIdItems",,,,1,3,0
Public Method,"org.jenkinsci.plugins.gitchangelog.GitChangelogDescriptor.doFillGitLabApiTokenCredentialsIdItems",,,,1,3,0
Public Method,"org.jenkinsci.plugins.gitchangelog.GitChangelogDescriptor.doFillJiraUsernamePasswordCredentialsIdItems",,,,1,3,0
Public Method,"org.jenkinsci.plugins.gitchangelog.GitChangelogDescriptor.getDisplayName",,,,1,4,0
Public Method,"org.jenkinsci.plugins.gitchangelog.GitChangelogDescriptor.getHelpFile",,,,1,4,0
Public Method,"org.jenkinsci.plugins.gitchangelog.GitChangelogDescriptor.getNewConfig",,,,1,3,1
Public Method,"org.jenkinsci.plugins.gitchangelog.GitChangelogDescriptor.isApplicable",,,,1,5,0
Public Method,"org.jenkinsci.plugins.gitchangelog.GitChangelogDescriptor.newInstance",,,,4,80,0
Public Class,"org.jenkinsci.plugins.gitchangelog.GitChangelogLogger",6,80,19,5,17,0
Private Constructor,"org.jenkinsci.plugins.gitchangelog.GitChangelogLogger.GitChangelogLogger",,,,1,1,0
Public Static Method,"org.jenkinsci.plugins.gitchangelog.GitChangelogLogger.doLog",,,,1,3,0
Public Static Method,"org.jenkinsci.plugins.gitchangelog.GitChangelogLogger.doLog",,,,1,3,0
Public Static Method,"org.jenkinsci.plugins.gitchangelog.GitChangelogLogger.doLog",,,,1,3,0
Public Static Method,"org.jenkinsci.plugins.gitchangelog.GitChangelogLogger.doLog",,,,1,4,0
Public Class,"org.jenkinsci.plugins.gitchangelog.GitChangelogRecorder",14,42,42,7,29,0
Public Constructor,"org.jenkinsci.plugins.gitchangelog.GitChangelogRecorder.GitChangelogRecorder",,,,1,1,0
Public Constructor,"org.jenkinsci.plugins.gitchangelog.GitChangelogRecorder.GitChangelogRecorder",,,,1,4,0
