Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"CustomIssue.java",,,,7,31,0
File,"GitChangelogConfig.java",,,,87,327,0
File,"GitChangelogConfigHelper.java",,,,3,43,0
File,"GitChangelogDescriptor.java",,,,9,95,3
File,"GitChangelogLeftsideBuildDecorator.java",,,,6,33,0
File,"GitChangelogLogger.java",,,,5,22,0
File,"GitChangelogMasterToSlaveCallable.java",,,,2,28,0
File,"GitChangelogPerformer.java",,,,6,90,7
File,"GitChangelogRecorder.java",,,,6,41,0
File,"GitChangelogSummaryDecorator.java",,,,5,27,0
File,"GitLogBasicChangelogPostPublisher.java",,,,6,53,0
File,"GitLogBasicChangelogTokenMacro.java",,,,2,16,0
File,"GitLogGenericPostPublishPerformer.java",,,,11,67,0
File,"GitLogGenericPostPublishPerformerBuilder.java",,,,5,27,0
File,"GitLogJiraFilterPostPublisher.java",,,,6,62,0
File,"GitLogJiraFilterTokenMacro.java",,,,2,23,0
File,"GitLogTokenMacro.java",,,,2,27,0
File,"RemoteCallable.java",,,,26,134,16
File,"RemoteResult.java",,,,7,31,0
Package,"de",,,,0,0,0
Package,"de.wellnerbou",,,,0,0,0
Package,"de.wellnerbou.jenkins",,,,0,0,0
Package,"de.wellnerbou.jenkins.gitchangelog",,,,0,0,0
Package,"de.wellnerbou.jenkins.gitchangelog.callable",,,,2,28,0
Public Class,"de.wellnerbou.jenkins.gitchangelog.callable.GitChangelogMasterToSlaveCallable",8,0,0,2,14,0
Public Constructor,"de.wellnerbou.jenkins.gitchangelog.callable.GitChangelogMasterToSlaveCallable.GitChangelogMasterToSlaveCallable",,,,1,3,0
Public Method,"de.wellnerbou.jenkins.gitchangelog.callable.GitChangelogMasterToSlaveCallable.call",,,,1,8,0
Package,"de.wellnerbou.jenkins.gitchangelog.publish",,,,28,209,0
Public Class,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogBasicChangelogPostPublisher",13,50,50,4,40,0
Public Static Class,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogBasicChangelogPostPublisher.DescriptorImpl",4,0,0,2,11,0
Public Method,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogBasicChangelogPostPublisher.DescriptorImpl.getDisplayName",,,,1,4,0
Public Method,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogBasicChangelogPostPublisher.DescriptorImpl.isApplicable",,,,1,4,0
Public Constructor,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogBasicChangelogPostPublisher.GitLogBasicChangelogPostPublisher",,,,1,6,0
Private Method,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogBasicChangelogPostPublisher.createChangelogProcessor",,,,1,3,0
Public Method,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogBasicChangelogPostPublisher.getRequiredMonitorService",,,,1,4,0
Public Method,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogBasicChangelogPostPublisher.perform",,,,1,11,0
Public Class,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogGenericPostPublishPerformer",15,67,57,11,53,0
Public Constructor,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogGenericPostPublishPerformer.GitLogGenericPostPublishPerformer",,,,1,6,0
Private Method,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogGenericPostPublishPerformer.closePrintStreamIfWrittenToFile",,,,2,5,0
Private Method,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogGenericPostPublishPerformer.createGitChangelogArgs",,,,2,11,0
Private Method,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogGenericPostPublishPerformer.decideForPrintStream",,,,2,9,0
Public Method,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogGenericPostPublishPerformer.perform",,,,1,10,0
Private Method,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogGenericPostPublishPerformer.resolveAndExpandIfNotNull",,,,2,3,0
Private Method,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogGenericPostPublishPerformer.shouldWriteToFile",,,,1,3,0
Public Class,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogGenericPostPublishPerformerBuilder",3,60,60,5,25,0
Public Method,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogGenericPostPublishPerformerBuilder.build",,,,1,3,0
Public Method,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogGenericPostPublishPerformerBuilder.setChangelogProcessor",,,,1,4,0
Public Method,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogGenericPostPublishPerformerBuilder.withFromRev",,,,1,4,0
Public Method,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogGenericPostPublishPerformerBuilder.withToRev",,,,1,4,0
Public Method,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogGenericPostPublishPerformerBuilder.writeTofile",,,,1,4,0
Public Class,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogJiraFilterPostPublisher",14,50,40,4,47,0
Public Static Class,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogJiraFilterPostPublisher.DescriptorImpl",4,0,0,2,11,0
Public Method,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogJiraFilterPostPublisher.DescriptorImpl.getDisplayName",,,,1,4,0
Public Method,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogJiraFilterPostPublisher.DescriptorImpl.isApplicable",,,,1,4,0
Public Constructor,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogJiraFilterPostPublisher.GitLogJiraFilterPostPublisher",,,,1,8,0
Private Method,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogJiraFilterPostPublisher.createChangelogProcessor",,,,1,6,0
Public Method,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogJiraFilterPostPublisher.getRequiredMonitorService",,,,1,4,0
Public Method,"de.wellnerbou.jenkins.gitchangelog.publish.GitLogJiraFilterPostPublisher.perform",,,,1,11,0
Package,"de.wellnerbou.jenkins.gitchangelog.tokenmacro",,,,6,66,0
Public Class,"de.wellnerbou.jenkins.gitchangelog.tokenmacro.GitLogBasicChangelogTokenMacro",5,0,0,2,12,0
Public Method,"de.wellnerbou.jenkins.gitchangelog.tokenmacro.GitLogBasicChangelogTokenMacro.acceptsMacroName",,,,1,4,0
Protected Method,"de.wellnerbou.jenkins.gitchangelog.tokenmacro.GitLogBasicChangelogTokenMacro.createChangelogProcessor",,,,1,4,0
Public Class,"de.wellnerbou.jenkins.gitchangelog.tokenmacro.GitLogJiraFilterTokenMacro",6,50,50,2,19,0
Public Method,"de.wellnerbou.jenkins.gitchangelog.tokenmacro.GitLogJiraFilterTokenMacro.acceptsMacroName",,,,1,4,0
Protected Method,"de.wellnerbou.jenkins.gitchangelog.tokenmacro.GitLogJiraFilterTokenMacro.createChangelogProcessor",,,,1,7,0
Public Abstract Class,"de.wellnerbou.jenkins.gitchangelog.tokenmacro.GitLogTokenMacro",12,0,0,2,16,0
Protected Abstract Method,"de.wellnerbou.jenkins.gitchangelog.tokenmacro.GitLogTokenMacro.createChangelogProcessor",,,,0,1,0
Public Method,"de.wellnerbou.jenkins.gitchangelog.tokenmacro.GitLogTokenMacro.evaluate",,,,2,13,0
Package,"org",,,,0,0,0
Package,"org.jenkinsci",,,,0,0,0
Package,"org.jenkinsci.plugins",,,,0,0,0
Package,"org.jenkinsci.plugins.gitchangelog",,,,20,158,3
Public Final Class,"org.jenkinsci.plugins.gitchangelog.GitChangelogDescriptor",14,83,83,9,84,3
Public Constructor,"org.jenkinsci.plugins.gitchangelog.GitChangelogDescriptor.GitChangelogDescriptor",,,,2,7,0
Public Method,"org.jenkinsci.plugins.gitchangelog.GitChangelogDescriptor.getDisplayName",,,,1,4,0
Public Method,"org.jenkinsci.plugins.gitchangelog.GitChangelogDescriptor.getHelpFile",,,,1,4,0
Public Method,"org.jenkinsci.plugins.gitchangelog.GitChangelogDescriptor.getNewConfig",,,,1,3,3
Public Method,"org.jenkinsci.plugins.gitchangelog.GitChangelogDescriptor.isApplicable",,,,1,4,0
Public Method,"org.jenkinsci.plugins.gitchangelog.GitChangelogDescriptor.newInstance",,,,3,59,0
Public Class,"org.jenkinsci.plugins.gitchangelog.GitChangelogLogger",6,80,19,5,18,0
Private Constructor,"org.jenkinsci.plugins.gitchangelog.GitChangelogLogger.GitChangelogLogger",,,,1,2,0
Public Static Method,"org.jenkinsci.plugins.gitchangelog.GitChangelogLogger.doLog",,,,1,4,0
Public Static Method,"org.jenkinsci.plugins.gitchangelog.GitChangelogLogger.doLog",,,,1,3,0
Public Static Method,"org.jenkinsci.plugins.gitchangelog.GitChangelogLogger.doLog",,,,1,3,0
Public Static Method,"org.jenkinsci.plugins.gitchangelog.GitChangelogLogger.doLog",,,,1,3,0
Public Class,"org.jenkinsci.plugins.gitchangelog.GitChangelogRecorder",13,50,50,6,27,0
Public Constructor,"org.jenkinsci.plugins.gitchangelog.GitChangelogRecorder.GitChangelogRecorder",,,,1,2,0
Public Method,"org.jenkinsci.plugins.gitchangelog.GitChangelogRecorder.getConfig",,,,1,3,0
Public Method,"org.jenkinsci.plugins.gitchangelog.GitChangelogRecorder.getDescriptor",,,,1,4,0
Public Method,"org.jenkinsci.plugins.gitchangelog.GitChangelogRecorder.getRequiredMonitorService",,,,1,4,0
Public Method,"org.jenkinsci.plugins.gitchangelog.GitChangelogRecorder.perform",,,,1,6,0
Public Method,"org.jenkinsci.plugins.gitchangelog.GitChangelogRecorder.setConfig",,,,1,3,0
Package,"org.jenkinsci.plugins.gitchangelog.config",,,,97,401,0
Public Class,"org.jenkinsci.plugins.gitchangelog.config.CustomIssue",1,57,57,7,29,0
Public Constructor,"org.jenkinsci.plugins.gitchangelog.config.CustomIssue.CustomIssue",,,,1,5,0
Public Method,"org.jenkinsci.plugins.gitchangelog.config.CustomIssue.getLink",,,,1,3,0
Public Method,"org.jenkinsci.plugins.gitchangelog.config.CustomIssue.getName",,,,1,3,0
Public Method,"org.jenkinsci.plugins.gitchangelog.config.CustomIssue.getPattern",,,,1,3,0
Public Method,"org.jenkinsci.plugins.gitchangelog.config.CustomIssue.setLink",,,,1,3,0
Public Method,"org.jenkinsci.plugins.gitchangelog.config.CustomIssue.setName",,,,1,3,0
Public Method,"org.jenkinsci.plugins.gitchangelog.config.CustomIssue.setPattern",,,,1,3,0
Public Class,"org.jenkinsci.plugins.gitchangelog.config.GitChangelogConfig",3,96,96,87,324,0
Public Method,"org.jenkinsci.plugins.gitchangelog.config.GitChangelogConfig.getConfigFile",,,,1,3,0
Public Method,"org.jenkinsci.plugins.gitchangelog.config.GitChangelogConfig.getCreateFileTemplateContent",,,,1,3,0
Public Method,"org.jenkinsci.plugins.gitchangelog.config.GitChangelogConfig.getCreateFileTemplateFile",,,,1,3,0
Public Method,"org.jenkinsci.plugins.gitchangelog.config.GitChangelogConfig.getCustomIssues",,,,1,3,0
Public Method,"org.jenkinsci.plugins.gitchangelog.config.GitChangelogConfig.getDateFormat",,,,1,3,0
Public Method,"org.jenkinsci.plugins.gitchangelog.config.GitChangelogConfig.getFile",,,,1,3,0
Public Method,"org.jenkinsci.plugins.gitchangelog.config.GitChangelogConfig.getFromReference",,,,1,3,0
Public Method,"org.jenkinsci.plugins.gitchangelog.config.GitChangelogConfig.getFromType",,,,1,3,0
Public Method,"org.jenkinsci.plugins.gitchangelog.config.GitChangelogConfig.getGitHubApi",,,,1,3,0
Public Method,"org.jenkinsci.plugins.gitchangelog.config.GitChangelogConfig.getGitHubIssuePattern",,,,1,3,0
Public Method,"org.jenkinsci.plugins.gitchangelog.config.GitChangelogConfig.getIgnoreCommitsIfMessageMatches",,,,1,3,0
Public Method,"org.jenkinsci.plugins.gitchangelog.config.GitChangelogConfig.getJiraIssuePattern",,,,1,3,0
Public Method,"org.jenkinsci.plugins.gitchangelog.config.GitChangelogConfig.getJiraPassword",,,,1,3,0
Public Method,"org.jenkinsci.plugins.gitchangelog.config.GitChangelogConfig.getJiraServer",,,,1,3,0
Public Method,"org.jenkinsci.plugins.gitchangelog.config.GitChangelogConfig.getJiraUsername",,,,1,3,0
Public Method,"org.jenkinsci.plugins.gitchangelog.config.GitChangelogConfig.getMediaWikiPassword",,,,1,3,0
Public Method,"org.jenkinsci.plugins.gitchangelog.config.GitChangelogConfig.getMediaWikiTemplateContent",,,,1,3,0
Public Method,"org.jenkinsci.plugins.gitchangelog.config.GitChangelogConfig.getMediaWikiTemplateFile",,,,1,3,0
Public Method,"org.jenkinsci.plugins.gitchangelog.config.GitChangelogConfig.getMediaWikiTitle",,,,1,3,0
Public Method,"org.jenkinsci.plugins.gitchangelog.config.GitChangelogConfig.getMediaWikiUrl",,,,1,3,0
Public Method,"org.jenkinsci.plugins.gitchangelog.config.GitChangelogConfig.getMediaWikiUsername",,,,1,3,0
Public Method,"org.jenkinsci.plugins.gitchangelog.config.GitChangelogConfig.getNoIssueName",,,,1,3,0
Public Method,"org.jenkinsci.plugins.gitchangelog.config.GitChangelogConfig.getReadableTagName",,,,1,3,0
Public Method,"org.jenkinsci.plugins.gitchangelog.config.GitChangelogConfig.getShowSummaryTemplateContent",,,,1,3,0
Public Method,"org.jenkinsci.plugins.gitchangelog.config.GitChangelogConfig.getShowSummaryTemplateFile",,,,1,3,0
Public Method,"org.jenkinsci.plugins.gitchangelog.config.GitChangelogConfig.getTimeZone",,,,1,3,0
Public Method,"org.jenkinsci.plugins.gitchangelog.config.GitChangelogConfig.getToReference",,,,1,3,0
Public Method,"org.jenkinsci.plugins.gitchangelog.config.GitChangelogConfig.getToType",,,,1,3,0
Public Method,"org.jenkinsci.plugins.gitchangelog.config.GitChangelogConfig.getUntaggedName",,,,1,3,0
Public Method,"org.jenkinsci.plugins.gitchangelog.config.GitChangelogConfig.isCreateFileUseTemplateContent",,,,1,3,0
