Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"BuildStatus.java",,,,6,41,45
File,"BuildStatusAction.java",,,,7,42,27
File,"BuildStatusActionTest.java",,,,8,52,39
File,"BuildStatusConfig.java",,,,6,33,63
File,"BuildStatusTest.java",,,,8,49,36
File,"GithubBuildStatusGraphListener.java",,,,52,292,51
Package,"org",,,,0,0,0
Package,"org.jenkinsci",,,,0,0,0
Package,"org.jenkinsci.plugins",,,,16,101,75
Public Class,"org.jenkinsci.plugins.BuildStatusActionTest",12,0,0,8,39,16
Public Constructor,"org.jenkinsci.plugins.BuildStatusActionTest.BuildStatusActionTest",,,,1,2,0
Public Method,"org.jenkinsci.plugins.BuildStatusActionTest.setUp",,,,1,3,0
Public Static Method,"org.jenkinsci.plugins.BuildStatusActionTest.setUpClass",,,,1,3,0
Public Method,"org.jenkinsci.plugins.BuildStatusActionTest.tearDown",,,,1,3,0
Public Static Method,"org.jenkinsci.plugins.BuildStatusActionTest.tearDownClass",,,,1,3,0
Public Method,"org.jenkinsci.plugins.BuildStatusActionTest.testAddBuildStatus",,,,1,8,4
Public Method,"org.jenkinsci.plugins.BuildStatusActionTest.testInvalidGetBuildStatus",,,,1,7,4
Public Method,"org.jenkinsci.plugins.BuildStatusActionTest.testValidGetBuildStatus",,,,1,8,4
Public Class,"org.jenkinsci.plugins.BuildStatusTest",11,0,0,8,38,13
Public Constructor,"org.jenkinsci.plugins.BuildStatusTest.BuildStatusTest",,,,1,2,0
Public Method,"org.jenkinsci.plugins.BuildStatusTest.setUp",,,,1,3,0
Public Static Method,"org.jenkinsci.plugins.BuildStatusTest.setUpClass",,,,1,3,0
Public Method,"org.jenkinsci.plugins.BuildStatusTest.tearDown",,,,1,3,0
Public Static Method,"org.jenkinsci.plugins.BuildStatusTest.tearDownClass",,,,1,3,0
Public Method,"org.jenkinsci.plugins.BuildStatusTest.testGetCommitState",,,,1,6,3
Public Method,"org.jenkinsci.plugins.BuildStatusTest.testGetContext",,,,1,7,3
Public Method,"org.jenkinsci.plugins.BuildStatusTest.testSetCommitState",,,,1,9,3
Package,"org.jenkinsci.plugins.githubautostatus",,,,71,408,186
Public Class,"org.jenkinsci.plugins.githubautostatus.BuildStatus",10,37,37,6,33,22
Public Constructor,"org.jenkinsci.plugins.githubautostatus.BuildStatus.BuildStatus",,,,1,6,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatus.getCommitState",,,,1,3,4
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatus.getContext",,,,1,3,4
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatus.setCommitState",,,,3,10,6
Public Class,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction",11,22,22,7,32,4
Public Constructor,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.BuildStatusAction",,,,2,11,0
Public Final Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.addBuildStatus",,,,4,13,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.getBuildStatusForStage",,,,1,3,0
Public Class,"org.jenkinsci.plugins.githubautostatus.BuildStatusConfig",8,66,66,6,27,40
Public Constructor,"org.jenkinsci.plugins.githubautostatus.BuildStatusConfig.BuildStatusConfig",,,,1,3,3
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusConfig.configure",,,,1,5,8
Public Static Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusConfig.get",,,,1,3,5
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusConfig.getDisplayName",,,,1,4,5
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusConfig.getInfluxDbUrl",,,,1,3,5
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusConfig.setInfluxDbUrl",,,,1,5,5
Public Class,"org.jenkinsci.plugins.githubautostatus.GithubBuildStatusGraphListener",57,0,0,52,243,28
Private Static Method,"org.jenkinsci.plugins.githubautostatus.GithubBuildStatusGraphListener.buildStatusActionFor",,,,2,9,0
Private Static Method,"org.jenkinsci.plugins.githubautostatus.GithubBuildStatusGraphListener.checkEnableBuildStatus",,,,11,58,6
Private Static Method,"org.jenkinsci.plugins.githubautostatus.GithubBuildStatusGraphListener.convertList",,,,2,7,6
Private Static Method,"org.jenkinsci.plugins.githubautostatus.GithubBuildStatusGraphListener.getCommitSha",,,,4,13,0
Private Static Generic Method,"org.jenkinsci.plugins.githubautostatus.GithubBuildStatusGraphListener.getCredentials",,,,1,7,0
TypeVariable,"org.jenkinsci.plugins.githubautostatus.GithubBuildStatusGraphListener.getCredentials.T",1,0,0,0,0,0
Private Static Method,"org.jenkinsci.plugins.githubautostatus.GithubBuildStatusGraphListener.getGHRepository",,,,2,7,0
Private Static Method,"org.jenkinsci.plugins.githubautostatus.GithubBuildStatusGraphListener.getGHRepository",,,,7,43,0
Private Static Method,"org.jenkinsci.plugins.githubautostatus.GithubBuildStatusGraphListener.getLogger",,,,1,3,0
Private Static Method,"org.jenkinsci.plugins.githubautostatus.GithubBuildStatusGraphListener.isStage",,,,1,4,6
Public Method,"org.jenkinsci.plugins.githubautostatus.GithubBuildStatusGraphListener.onNewHead",,,,13,49,0
Private Static Method,"org.jenkinsci.plugins.githubautostatus.GithubBuildStatusGraphListener.postData",,,,5,25,0
Private Static Method,"org.jenkinsci.plugins.githubautostatus.GithubBuildStatusGraphListener.runFor",,,,3,15,0
