Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"BuildNotifier.java",,,,0,8,62
File,"BuildNotifierManager.java",,,,11,44,73
File,"BuildNotifierManagerTest.java",,,,13,93,48
File,"BuildState.java",,,,0,6,28
File,"BuildStatusAction.java",,,,16,63,85
File,"BuildStatusActionTest.java",,,,12,100,63
File,"BuildStatusConfig.java",,,,14,69,103
File,"BuildStatusConfigTest.java",,,,11,88,46
File,"BuildStatusJobListener.java",,,,3,21,33
File,"BuildStatusJobListenerTest.java",,,,8,57,31
File,"GithubBuildNotifier.java",,,,12,62,67
File,"GithubBuildNotifierTest.java",,,,12,74,49
File,"GithubBuildStatusGraphListener.java",,,,44,211,60
File,"GithubBuildStatusGraphListenerTest.java",,,,7,87,51
File,"GithubNotificationConfig.java",,,,31,153,27
File,"GithubNotificationConfigTest.java",,,,6,86,60
File,"InfluxDbNotifier.java",,,,21,116,63
File,"InfluxDbNotifierConfig.java",,,,13,77,85
File,"InfluxDbNotifierConfigTest.java",,,,15,112,27
File,"InfluxDbNotifierTest.java",,,,20,157,34
Package,"org",,,,0,0,0
Package,"org.jenkinsci",,,,0,0,0
Package,"org.jenkinsci.plugins",,,,12,100,63
Public Class,"org.jenkinsci.plugins.BuildStatusActionTest",15,52,52,12,85,40
Public Constructor,"org.jenkinsci.plugins.BuildStatusActionTest.BuildStatusActionTest",,,,1,2,0
Public Method,"org.jenkinsci.plugins.BuildStatusActionTest.setUp",,,,1,9,0
Public Static Method,"org.jenkinsci.plugins.BuildStatusActionTest.setUpClass",,,,1,3,0
Public Method,"org.jenkinsci.plugins.BuildStatusActionTest.tearDown",,,,1,3,0
Public Static Method,"org.jenkinsci.plugins.BuildStatusActionTest.tearDownClass",,,,1,3,0
Public Method,"org.jenkinsci.plugins.BuildStatusActionTest.testAddBuildStatusGitHub",,,,1,7,5
Public Method,"org.jenkinsci.plugins.BuildStatusActionTest.testIgnoreInvalidStageGitHub",,,,1,7,5
Public Method,"org.jenkinsci.plugins.BuildStatusActionTest.testInitialStage",,,,1,6,5
Public Method,"org.jenkinsci.plugins.BuildStatusActionTest.testSendUnsentCompletedStages",,,,1,9,5
Public Method,"org.jenkinsci.plugins.BuildStatusActionTest.testSendUnsentPendingStages",,,,1,8,5
Public Method,"org.jenkinsci.plugins.BuildStatusActionTest.testStageErrorGitHub",,,,1,9,5
Public Method,"org.jenkinsci.plugins.BuildStatusActionTest.testStageSuccessGitHub",,,,1,9,5
Package,"org.jenkinsci.plugins.githubautostatus",,,,168,1024,608
Public Class,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction",10,65,56,16,55,62
Public Constructor,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.BuildStatusAction",,,,2,8,8
Lambda Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.BuildStatusAction.(lambda_expr_1)",,,,1,3,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.addBuildStatus",,,,1,4,5
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.addGithubNofifier",,,,2,5,5
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.addInfluxDbNotifier",,,,1,3,5
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.isIsDeclarativePipeline",,,,1,3,5
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.sendNotications",,,,3,6,5
Lambda Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.sendNotications.(lambda_expr_1)",,,,1,2,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.sendOutOfBandError",,,,1,4,5
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.setIsDeclarativePipeline",,,,1,3,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.updateBuildStatusForJob",,,,1,3,6
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.updateBuildStatusForStage",,,,2,7,7
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.updateBuildStatusForStage",,,,1,3,6
Public Class,"org.jenkinsci.plugins.githubautostatus.BuildStatusConfig",8,85,85,14,63,80
Public Constructor,"org.jenkinsci.plugins.githubautostatus.BuildStatusConfig.BuildStatusConfig",,,,1,3,3
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusConfig.configure",,,,1,5,8
Public Static Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusConfig.get",,,,1,3,5
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusConfig.getDisplayName",,,,1,4,5
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusConfig.getInfluxDbDatabase",,,,1,3,5
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusConfig.getInfluxDbPassword",,,,1,3,5
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusConfig.getInfluxDbRetentionPolicy",,,,1,3,5
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusConfig.getInfluxDbUrl",,,,1,3,5
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusConfig.getInfluxDbUser",,,,1,3,5
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusConfig.setInfluxDbDatabase",,,,1,5,5
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusConfig.setInfluxDbPassword",,,,1,5,5
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusConfig.setInfluxDbRetentionPolicy",,,,1,5,5
