Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"BuildBlockedAction.java",,,,5,21,39
File,"BuildNotifier.java",,,,0,8,63
File,"BuildNotifierManager.java",,,,11,44,73
File,"BuildNotifierManagerTest.java",,,,13,93,48
File,"BuildQueueListener.java",,,,8,34,36
File,"BuildState.java",,,,0,9,28
File,"BuildStatusAction.java",,,,19,71,91
File,"BuildStatusActionTest.java",,,,15,121,68
File,"BuildStatusConfig.java",,,,28,157,129
File,"BuildStatusConfigTest.java",,,,19,159,76
File,"BuildStatusJobListener.java",,,,5,26,39
File,"BuildStatusJobListenerTest.java",,,,8,57,31
File,"GithubBuildNotifier.java",,,,12,70,68
File,"GithubBuildNotifierTest.java",,,,12,76,57
File,"GithubBuildStatusGraphListener.java",,,,52,239,65
File,"GithubBuildStatusGraphListenerTest.java",,,,7,87,51
File,"GithubNotificationConfig.java",,,,34,176,74
File,"GithubNotificationConfigTest.java",,,,7,97,60
File,"InfluxDbNotifier.java",,,,26,144,60
File,"InfluxDbNotifierConfig.java",,,,14,83,79
File,"InfluxDbNotifierConfigTest.java",,,,16,143,28
File,"InfluxDbNotifierTest.java",,,,20,173,34
Package,"org",,,,0,0,0
Package,"org.jenkinsci",,,,0,0,0
Package,"org.jenkinsci.plugins",,,,0,0,0
Package,"org.jenkinsci.plugins.githubautostatus",,,,237,1471,866
Public Class,"org.jenkinsci.plugins.githubautostatus.BuildBlockedAction",1,40,40,5,19,16
Public Constructor,"org.jenkinsci.plugins.githubautostatus.BuildBlockedAction.BuildBlockedAction",,,,1,3,0
Public Constructor,"org.jenkinsci.plugins.githubautostatus.BuildBlockedAction.BuildBlockedAction",,,,1,3,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildBlockedAction.getTimeBlocked",,,,1,3,4
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildBlockedAction.getTimeReleased",,,,1,3,4
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildBlockedAction.setTimeReleased",,,,1,3,4
Public Class,"org.jenkinsci.plugins.githubautostatus.BuildQueueListener",8,0,0,8,28,13
Public Constructor,"org.jenkinsci.plugins.githubautostatus.BuildQueueListener.BuildQueueListener",,,,1,2,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildQueueListener.onEnterBlocked",,,,3,10,5
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildQueueListener.onLeaveBlocked",,,,4,13,3
Public Class,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction",10,66,56,19,63,68
Public Constructor,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.BuildStatusAction",,,,2,8,8
Lambda Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.BuildStatusAction.(lambda_expr_1)",,,,1,3,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.addBuildStatus",,,,1,4,5
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.addGithubNofifier",,,,2,5,5
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.addInfluxDbNotifier",,,,1,3,5
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.close",,,,3,7,4
Lambda Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.close.(lambda_expr_1)",,,,2,5,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.isIsDeclarativePipeline",,,,1,3,5
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.sendNonStageError",,,,1,4,5
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.sendNotications",,,,3,6,5
Lambda Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.sendNotications.(lambda_expr_1)",,,,1,2,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.setIsDeclarativePipeline",,,,1,3,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.updateBuildStatusForJob",,,,1,4,7
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.updateBuildStatusForStage",,,,2,7,7
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.updateBuildStatusForStage",,,,1,3,6
Public Class,"org.jenkinsci.plugins.githubautostatus.BuildStatusActionTest",15,53,53,15,106,45
Public Constructor,"org.jenkinsci.plugins.githubautostatus.BuildStatusActionTest.BuildStatusActionTest",,,,1,2,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusActionTest.setUp",,,,1,9,0
Public Static Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusActionTest.setUpClass",,,,1,3,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusActionTest.tearDown",,,,1,3,0
Public Static Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusActionTest.tearDownClass",,,,1,3,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusActionTest.testAddBuildStatusGitHub",,,,1,7,5
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusActionTest.testCloseUpdatesPendingStatuses",,,,1,9,5
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusActionTest.testIgnoreInvalidStageGitHub",,,,1,7,5
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusActionTest.testInitialStage",,,,1,6,5
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusActionTest.testIsDeclarativePipelineFalse",,,,1,6,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusActionTest.testIsDeclarativePipelineTrue",,,,1,6,0
