Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"BuildBlockedAction.java",,,,5,21,39
File,"BuildBlockedActionTest.java",,,,4,24,36
File,"BuildNotifier.java",,,,3,22,50
File,"BuildNotifierConstants.java",,,,0,13,27
File,"BuildNotifierConstantsTest.java",,,,2,21,27
File,"BuildNotifierManager.java",,,,13,54,76
File,"BuildNotifierManagerTest.java",,,,13,105,48
File,"BuildQueueListener.java",,,,8,34,36
File,"BuildQueueListenerTest.java",,,,6,68,29
File,"BuildStageModel.java",,,,14,58,27
File,"BuildState.java",,,,7,24,32
File,"BuildStateTest.java",,,,2,16,30
File,"BuildStatusAction.java",,,,32,139,95
File,"BuildStatusActionTest.java",,,,15,128,68
File,"BuildStatusConfig.java",,,,38,202,179
File,"BuildStatusConfigTest.java",,,,24,197,76
File,"BuildStatusJobListener.java",,,,14,74,61
File,"BuildStatusJobListenerTest.java",,,,8,67,31
File,"CodeCoverage.java",,,,34,125,35
File,"CodeCoverageTest.java",,,,9,89,4
File,"GithubBuildNotifier.java",,,,11,68,51
File,"GithubBuildNotifierTest.java",,,,12,86,58
File,"GithubBuildStatusGraphListener.java",,,,66,302,116
File,"GithubBuildStatusGraphListenerTest.java",,,,24,284,61
File,"GithubNotificationConfig.java",,,,34,176,78
File,"GithubNotificationConfigTest.java",,,,7,97,60
File,"InfluxDbNotifier.java",,,,33,210,55
File,"InfluxDbNotifierConfig.java",,,,14,83,79
File,"InfluxDbNotifierConfigTest.java",,,,13,131,28
File,"InfluxDbNotifierTest.java",,,,20,205,39
File,"StatsdClient.java",,,,17,105,61
File,"StatsdNotifier.java",,,,29,147,90
File,"StatsdNotifierConfig.java",,,,11,52,58
File,"StatsdNotifierConfigTest.java",,,,15,121,27
File,"StatsdNotifierTest.java",,,,14,138,52
File,"StatsdWrapper.java",,,,0,14,40
File,"TestCase.java",,,,18,55,27
File,"TestCaseTest.java",,,,8,59,27
File,"TestResults.java",,,,13,58,27
File,"TestResultsTest.java",,,,8,85,27
File,"TestSuite.java",,,,11,45,27
File,"TestSuiteTest.java",,,,9,72,27
Package,"org",,,,0,0,0
Package,"org.jenkinsci",,,,0,0,0
Package,"org.jenkinsci.plugins",,,,0,0,0
Package,"org.jenkinsci.plugins.githubautostatus",,,,369,2377,1285
Public Class,"org.jenkinsci.plugins.githubautostatus.BuildBlockedAction",1,40,40,5,19,16
Public Constructor,"org.jenkinsci.plugins.githubautostatus.BuildBlockedAction.BuildBlockedAction",,,,1,3,0
Public Constructor,"org.jenkinsci.plugins.githubautostatus.BuildBlockedAction.BuildBlockedAction",,,,1,3,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildBlockedAction.getTimeBlocked",,,,1,3,4
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildBlockedAction.getTimeReleased",,,,1,3,4
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildBlockedAction.setTimeReleased",,,,1,3,4
Public Class,"org.jenkinsci.plugins.githubautostatus.BuildBlockedActionTest",3,0,0,4,21,13
Public Constructor,"org.jenkinsci.plugins.githubautostatus.BuildBlockedActionTest.BuildBlockedActionTest",,,,1,2,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildBlockedActionTest.testDefaultConstructorOverrideStart",,,,1,5,3
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildBlockedActionTest.testDefaultConstructorSetsStart",,,,1,5,3
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildBlockedActionTest.testGetSetTimeReleased",,,,1,7,3
Public Class,"org.jenkinsci.plugins.githubautostatus.BuildQueueListener",8,0,0,8,28,13
Public Constructor,"org.jenkinsci.plugins.githubautostatus.BuildQueueListener.BuildQueueListener",,,,1,2,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildQueueListener.onEnterBlocked",,,,3,10,5
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildQueueListener.onLeaveBlocked",,,,4,13,3
Public Class,"org.jenkinsci.plugins.githubautostatus.BuildQueueListenerTest",14,0,0,6,55,6
Public Constructor,"org.jenkinsci.plugins.githubautostatus.BuildQueueListenerTest.BuildQueueListenerTest",,,,1,2,0
Static Method,"org.jenkinsci.plugins.githubautostatus.BuildQueueListenerTest.setFinal",,,,1,7,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildQueueListenerTest.testEnterBlockedNotPlaceHolder",,,,1,9,1
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildQueueListenerTest.testEnterBlockedPlaceHolder",,,,1,11,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildQueueListenerTest.testLeaveBlockedNotPlaceholderTask",,,,1,8,1
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildQueueListenerTest.testLeaveBlockedUpdatesAction",,,,1,13,0
Public Class,"org.jenkinsci.plugins.githubautostatus.BuildStageModel",5,80,71,14,53,4
Public Constructor,"org.jenkinsci.plugins.githubautostatus.BuildStageModel.BuildStageModel",,,,1,3,0
Public Constructor,"org.jenkinsci.plugins.githubautostatus.BuildStageModel.BuildStageModel",,,,1,7,0
Public Constructor,"org.jenkinsci.plugins.githubautostatus.BuildStageModel.BuildStageModel",,,,1,3,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStageModel.addToEnvironment",,,,1,3,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStageModel.getBuildState",,,,1,3,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStageModel.getEnvironment",,,,1,3,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStageModel.getRun",,,,1,3,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStageModel.getStageName",,,,1,3,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStageModel.isStage",,,,1,3,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStageModel.setBuildState",,,,1,3,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStageModel.setEnvironment",,,,1,3,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStageModel.setIsStage",,,,1,3,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStageModel.setRun",,,,1,3,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStageModel.setStageName",,,,1,3,0
Public Class,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction",16,83,80,32,125,72
Public Constructor,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.BuildStatusAction",,,,2,13,7
Lambda Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.BuildStatusAction.(lambda_expr_1)",,,,1,5,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.addBuildStatus",,,,1,6,5
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.addGenericNofifier",,,,1,3,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.addGithubNotifier",,,,2,5,5
Private Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.addGlobalProperties",,,,3,10,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.addInfluxDbNotifier",,,,1,3,5
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.addStatsdNotifier",,,,1,4,5
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.close",,,,3,7,4
Lambda Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.close.(lambda_expr_1)",,,,2,5,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.getBranchName",,,,1,3,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.getJobName",,,,1,3,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.getRepoName",,,,1,3,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.getRepoOwner",,,,1,3,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.isIsDeclarativePipeline",,,,1,3,5
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.sendNonStageError",,,,1,10,5
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.sendNotifications",,,,3,8,5
Lambda Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.sendNotifications.(lambda_expr_1)",,,,1,4,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.setBranchName",,,,1,3,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.setIsDeclarativePipeline",,,,1,3,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.setRepoName",,,,1,3,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.setRepoOwner",,,,1,3,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.updateBuildStatusForJob",,,,1,4,6
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.updateBuildStatusForStage",,,,3,11,7
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusAction.updateBuildStatusForStage",,,,1,3,6
Public Class,"org.jenkinsci.plugins.githubautostatus.BuildStatusActionTest",18,57,57,15,111,45
Public Constructor,"org.jenkinsci.plugins.githubautostatus.BuildStatusActionTest.BuildStatusActionTest",,,,1,2,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusActionTest.setUp",,,,1,11,0
Public Static Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusActionTest.setUpClass",,,,1,3,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusActionTest.tearDown",,,,1,3,0
Public Static Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusActionTest.tearDownClass",,,,1,3,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusActionTest.testAddBuildStatusGitHub",,,,1,7,5
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusActionTest.testCloseUpdatesPendingStatuses",,,,1,9,5
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusActionTest.testIgnoreInvalidStageGitHub",,,,1,7,5
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusActionTest.testInitialStage",,,,1,8,5
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusActionTest.testIsDeclarativePipelineFalse",,,,1,6,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusActionTest.testIsDeclarativePipelineTrue",,,,1,6,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusActionTest.testSendUnsentCompletedStages",,,,1,9,5
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusActionTest.testSendUnsentPendingStages",,,,1,8,5
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusActionTest.testStageErrorGitHub",,,,1,9,5
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusActionTest.testStageSuccessGitHub",,,,1,9,5
Public Class,"org.jenkinsci.plugins.githubautostatus.BuildStatusConfig",29,94,94,38,175,156
Public Constructor,"org.jenkinsci.plugins.githubautostatus.BuildStatusConfig.BuildStatusConfig",,,,1,3,3
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusConfig.configure",,,,1,5,8
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusConfig.doCheckCredentialsId",,,,6,21,7
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusConfig.doFillCredentialsIdItems",,,,2,15,6
Public Static Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusConfig.get",,,,1,3,5
Public Static Generic Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusConfig.getCredentials",,,,1,7,0
TypeVariable,"org.jenkinsci.plugins.githubautostatus.BuildStatusConfig.getCredentials.T",1,0,0,0,0,0
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusConfig.getCredentialsId",,,,1,3,5
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusConfig.getDisplayName",,,,1,4,5
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusConfig.getEnableGithub",,,,1,3,8
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusConfig.getEnableInfluxDb",,,,1,3,5
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusConfig.getEnableStatsd",,,,1,3,5
Public Method,"org.jenkinsci.plugins.githubautostatus.BuildStatusConfig.getInfluxDbDatabase",,,,1,3,5
