Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
Package,"(Unnamed_Package)",,,,2,16,20
File,"AbstractClientChannelHandler.java",,,,17,90,21
File,"AbstractCodec.java",,,,17,87,11
File,"AbstractDecoderTest.java",,,,3,20,19
File,"AbstractPing.java",,,,1,9,19
File,"AbstractPong.java",,,,1,9,19
File,"BlockingQueueSubscriptionIterator.java",,,,19,86,21
File,"ChannelBufferUtil.java",,,,4,20,19
File,"ClientChannelPipelineFactory.java",,,,3,21,22
File,"ClientCodec.java",,,,13,74,24
File,"ClientCodecTest.java",,,,17,119,19
File,"ClientConnectMessage.java",,,,4,31,19
File,"ClientMessage.java",,,,0,3,19
File,"ClientPingMessage.java",,,,0,4,19
File,"ClientPongMessage.java",,,,0,4,19
File,"ClientPublishMessage.java",,,,8,47,20
File,"ClientRequest.java",,,,0,3,21
File,"ClientSubscribeMessage.java",,,,6,38,20
File,"ClientUnsubscribeMessage.java",,,,6,34,19
File,"CompletionHandler.java",,,,0,4,27
File,"ConnectBody.java",,,,7,49,19
File,"ConnectionStatus.java",,,,0,8,19
File,"Constants.java",,,,1,12,38
File,"DefaultPublication.java",,,,16,94,19
File,"DefaultRequest.java",,,,17,76,19
File,"DefaultSubscriptionTimeout.java",,,,10,61,19
File,"Encodable.java",,,,0,5,19
File,"ExceptionHandler.java",,,,0,4,21
File,"HandlerRegistrar.java",,,,9,57,20
File,"HandlerRegistration.java",,,,0,4,31
File,"Message.java",,,,0,10,60
File,"MessageHandler.java",,,,0,4,19
File,"Nats.java",,,,133,698,279
File,"NatsClosedException.java",,,,1,7,21
File,"NatsDecodingException.java",,,,2,12,19
File,"NatsEmptyServerListException.java",,,,1,7,21
File,"NatsException.java",,,,2,9,21
File,"NatsFunctionalTest.java",,,,20,157,22
File,"NatsFuture.java",,,,0,10,67
File,"NatsInterruptedException.java",,,,1,6,21
File,"NatsLogger.java",,,,6,34,19
File,"NatsServerException.java",,,,1,6,19
File,"NatsServerProcess.java",,,,14,61,20
File,"PerfTest.java",,,,12,70,5
File,"Publication.java",,,,0,9,36
File,"Request.java",,,,0,3,22
File,"ServerCodec.java",,,,19,81,25
File,"ServerCodecTest.java",,,,22,148,19
File,"ServerConnectionFailedException.java",,,,1,7,19
File,"ServerErrorMessage.java",,,,4,26,19
File,"ServerInfoMessage.java",,,,3,22,20
File,"ServerMessage.java",,,,0,3,19
File,"ServerOkMessage.java",,,,1,11,19
File,"ServerPingMessage.java",,,,0,3,19
File,"ServerPongMessage.java",,,,0,4,19
File,"ServerPublishMessage.java",,,,9,55,19
File,"ServerReconnectFailed.java",,,,2,13,19
File,"Subscription.java",,,,0,16,76
File,"SubscriptionIterator.java",,,,0,15,55
File,"SubscriptionTimeout.java",,,,0,8,41
Public Class,"Test",7,0,0,2,10,20
File,"Test.java",,,,2,16,20
Public Static Method,"Test.main",,,,2,8,17
File,"TimeoutHandler.java",,,,0,4,26
Package,"nats",,,,23,155,248
Public Generic Interface,"nats.CompletionHandler",0,0,0,0,3,6
TypeVariable,"nats.CompletionHandler.T",1,0,0,0,0,0
Abstract Method,"nats.CompletionHandler.onComplete",,,,0,1,6
Public Final Class,"nats.Constants",2,0,0,1,10,22
Private Constructor,"nats.Constants.Constants",,,,1,2,1
Public Interface,"nats.HandlerRegistration",0,0,0,0,3,3
Abstract Method,"nats.HandlerRegistration.remove",,,,0,1,3
