Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
Package,"(Unnamed_Package)",,,,2,14,3
File,"AbstractClientChannelHandler.java",,,,17,90,21
File,"AbstractCodec.java",,,,17,87,27
File,"AbstractDecoderTest.java",,,,3,20,19
File,"AbstractPing.java",,,,1,9,19
File,"AbstractPong.java",,,,1,9,19
File,"AnnotationConfigBeanPostProcessor.java",,,,10,56,19
File,"AnnotationConfigDefinitionParser.java",,,,1,18,19
File,"BlockingQueueMessageIterator.java",,,,14,65,21
File,"BrokenSubscribeBean.java",,,,1,6,22
File,"ChannelBufferUtil.java",,,,4,20,19
File,"ClientChannelPipelineFactory.java",,,,3,21,22
File,"ClientCodec.java",,,,13,74,24
File,"ClientCodecTest.java",,,,17,118,19
File,"ClientConnectMessage.java",,,,4,31,19
File,"ClientMessage.java",,,,0,3,19
File,"ClientPingMessage.java",,,,0,4,19
File,"ClientPongMessage.java",,,,0,4,19
File,"ClientPublishMessage.java",,,,8,47,20
File,"ClientRequest.java",,,,0,3,21
File,"ClientSubscribeMessage.java",,,,6,38,20
File,"ClientUnsubscribeMessage.java",,,,6,34,19
File,"ConnectBody.java",,,,7,50,19
File,"Constants.java",,,,1,12,38
File,"DefaultMessage.java",,,,7,37,21
File,"DefaultSubscription.java",,,,15,86,21
File,"Encodable.java",,,,0,5,19
File,"HandlerRegistration.java",,,,0,4,31
File,"Message.java",,,,0,10,61
File,"MessageHandler.java",,,,0,4,22
File,"MessageIterator.java",,,,0,14,54
File,"MockNats.java",,,,29,142,22
File,"MockNatsTest.java",,,,4,41,19
File,"Nats.java",,,,0,16,145
File,"NatsAuthenticationTest.java",,,,4,41,22
File,"NatsBeanDefinitionParser.java",,,,6,68,23
File,"NatsClosedException.java",,,,2,10,21
File,"NatsConnector.java",,,,11,56,77
File,"NatsDecodingException.java",,,,2,12,19
File,"NatsException.java",,,,2,9,21
File,"NatsFactoryBean.java",,,,26,112,19
File,"NatsFactoryBeanTest.java",,,,3,37,19
File,"NatsFunctionalTest.java",,,,20,152,22
File,"NatsImpl.java",,,,101,553,86
File,"NatsInterruptedException.java",,,,1,6,21
File,"NatsNamespaceHandler.java",,,,1,9,19
File,"NatsServerProcess.java",,,,18,90,20
File,"PerfTest.java",,,,12,71,21
File,"Request.java",,,,0,8,49
File,"ServerCodec.java",,,,19,81,25
File,"ServerCodecTest.java",,,,22,148,19
File,"ServerConnectionFailedException.java",,,,1,7,19
File,"ServerErrorMessage.java",,,,4,26,19
File,"ServerInfoMessage.java",,,,3,22,20
File,"ServerMessage.java",,,,0,3,19
File,"ServerOkMessage.java",,,,1,11,19
File,"ServerPingMessage.java",,,,0,3,19
File,"ServerPongMessage.java",,,,0,4,19
File,"ServerPublishMessage.java",,,,9,55,19
File,"ServerReconnectFailed.java",,,,2,13,19
File,"Subscribe.java",,,,0,10,24
File,"SubscribeBean.java",,,,1,8,22
File,"Subscription.java",,,,0,12,68
File,"SubscriptionConfig.java",,,,5,25,19
Public Class,"Test",6,0,0,2,13,3
File,"Test.java",,,,2,14,3
Public Static Method,"Test.main",,,,1,8,0
Public Method,"Test.test",,,,1,3,0
Package,"nats",,,,16,98,101
Public Final Class,"nats.Constants",2,0,0,1,10,22
Private Constructor,"nats.Constants.Constants",,,,1,2,1
Public Class,"nats.NatsException",1,0,0,2,8,5
Public Constructor,"nats.NatsException.NatsException",,,,1,3,0
Public Constructor,"nats.NatsException.NatsException",,,,1,3,0
Public Class,"nats.NatsInterruptedException",1,0,0,1,5,5
Public Constructor,"nats.NatsInterruptedException.NatsInterruptedException",,,,1,3,0
Public Class,"nats.PerfTest",13,75,25,11,61,5
Private Static Method,"nats.PerfTest.blockUntilConnected",,,,2,9,0
Private Static Method,"nats.PerfTest.createMessage",,,,2,7,0
Public Static Method,"nats.PerfTest.main",,,,4,22,2
Private Static Method,"nats.PerfTest.time",,,,3,20,0
Anonymous Class,"nats.PerfTest.time.(Anon_1)",4,0,0,1,5,0
Public Method,"nats.PerfTest.time.(Anon_1).onMessage",,,,1,4,0
Package,"nats.client",,,,228,1361,820
Class,"nats.client.BlockingQueueMessageIterator",12,58,50,14,59,5
Public Method,"nats.client.BlockingQueueMessageIterator.close",,,,2,8,0
Public Method,"nats.client.BlockingQueueMessageIterator.hasNext",,,,1,4,0
Public Method,"nats.client.BlockingQueueMessageIterator.next",,,,4,15,0
Public Method,"nats.client.BlockingQueueMessageIterator.next",,,,4,15,0
Public Method,"nats.client.BlockingQueueMessageIterator.onMessage",,,,2,8,0
Public Method,"nats.client.BlockingQueueMessageIterator.remove",,,,1,4,0
Public Class,"nats.client.DefaultMessage",4,71,71,7,35,5
Public Constructor,"nats.client.DefaultMessage.DefaultMessage",,,,1,6,0
Public Method,"nats.client.DefaultMessage.getBody",,,,1,4,0
Public Method,"nats.client.DefaultMessage.getQueueGroup",,,,1,3,0
Public Method,"nats.client.DefaultMessage.getSubject",,,,1,4,0
Public Method,"nats.client.DefaultMessage.isRequest",,,,1,4,0
Public Method,"nats.client.DefaultMessage.reply",,,,1,4,0
Public Method,"nats.client.DefaultMessage.reply",,,,1,4,0
Public Class,"nats.client.DefaultSubscription",17,76,75,14,80,5
Protected Constructor,"nats.client.DefaultSubscription.DefaultSubscription",,,,1,5,0
Public Method,"nats.client.DefaultSubscription.addMessageHandler",,,,1,14,0
Anonymous Class,"nats.client.DefaultSubscription.addMessageHandler.(Anon_1)",3,0,0,1,7,0
Public Method,"nats.client.DefaultSubscription.addMessageHandler.(Anon_1).remove",,,,1,6,0
Public Method,"nats.client.DefaultSubscription.close",,,,2,8,0
Protected Method,"nats.client.DefaultSubscription.createMessage",,,,1,3,0
Public Method,"nats.client.DefaultSubscription.getMaxMessages",,,,1,4,0
Public Method,"nats.client.DefaultSubscription.getQueueGroup",,,,1,4,0
Public Method,"nats.client.DefaultSubscription.getReceivedMessages",,,,1,4,0
Public Method,"nats.client.DefaultSubscription.getSubject",,,,1,4,0
Public Method,"nats.client.DefaultSubscription.iterator",,,,1,8,0
Public Method,"nats.client.DefaultSubscription.onMessage",,,,4,17,0
Public Interface,"nats.client.HandlerRegistration",0,0,0,0,3,3
Abstract Method,"nats.client.HandlerRegistration.remove",,,,0,1,3
Public Interface,"nats.client.Message",2,0,0,0,8,40
Abstract Method,"nats.client.Message.getBody",,,,0,1,5
Abstract Method,"nats.client.Message.getQueueGroup",,,,0,1,5
Abstract Method,"nats.client.Message.getSubject",,,,0,1,5
Abstract Method,"nats.client.Message.isRequest",,,,0,1,8
Abstract Method,"nats.client.Message.reply",,,,0,1,7
Abstract Method,"nats.client.Message.reply",,,,0,1,10
Public Interface,"nats.client.MessageHandler",1,0,0,0,3,0
Abstract Method,"nats.client.MessageHandler.onMessage",,,,0,1,0
