Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AbstractHttpClient.java",,,,1,14,0
File,"AbstractMonitor.java",,,,4,23,17
File,"Accumulator.java",,,,0,5,17
File,"Accumulators.java",,,,2,17,17
File,"AggregatingMap.java",,,,2,14,17
File,"AlertBuilder.java",,,,9,55,17
File,"AlertEvent.java",,,,17,140,17
File,"AlertEventTest.java",,,,8,144,17
File,"AppendableByteArrayInputStream.java",,,,27,161,17
File,"AppendableByteArrayInputStreamTest.java",,,,24,192,17
File,"BaseHttpEmittingConfig.java",,,,10,82,16
File,"BaseSequence.java",,,,19,130,21
File,"BaseSequenceTest.java",,,,8,59,17
File,"BasicCredentials.java",,,,2,20,17
File,"Batch.java",,,,51,226,63
File,"BatchingStrategy.java",,,,18,111,16
File,"BinaryFn.java",,,,0,5,17
File,"BinaryTransformIterable.java",,,,3,31,17
File,"BinaryTransformIterator.java",,,,8,44,17
File,"BufferUtils.java",,,,3,17,16
File,"ByteBufferUtils.java",,,,5,25,27
File,"ByteBufferUtilsTest.java",,,,2,41,15
File,"CSVParser.java",,,,14,90,15
File,"CSVParserTest.java",,,,6,66,15
File,"CgroupDiscoverer.java",,,,0,6,20
File,"CgroupUtil.java",,,,0,10,15
File,"ChannelResourceFactory.java",,,,15,139,19
File,"ClientResponse.java",,,,5,30,17
File,"CloseQuietly.java",,,,3,20,17
File,"CloseableIterator.java",,,,0,6,17
File,"Comparators.java",,,,11,69,31
File,"ComparatorsTest.java",,,,5,98,17
File,"ComposingEmitter.java",,,,14,78,18
File,"ComposingEmitterTest.java",,,,11,66,18
File,"CompoundMonitor.java",,,,8,47,15
File,"CompressionUtils.java",,,,38,278,194
File,"CompressionUtilsTest.java",,,,45,525,21
File,"ConcatSequence.java",,,,5,120,19
File,"ConcatSequenceTest.java",,,,29,268,17
File,"Config.java",,,,1,12,17
File,"ContentEncoding.java",,,,0,5,15
File,"CountingMap.java",,,,4,32,17
File,"CpuAcct.java",,,,18,113,23
File,"CpuAcctDeltaMonitor.java",,,,11,102,17
File,"CpuAcctDeltaMonitorTest.java",,,,6,79,16
File,"CpuAcctTest.java",,,,9,362,15
File,"CredentialedHttpClient.java",,,,2,26,20
File,"Credentials.java",,,,0,6,17
File,"CustomEmitterFactoryTest.java",,,,9,69,2
File,"DefaultingHashMap.java",,,,3,23,17
File,"DelegatingYieldingAccumulator.java",,,,5,31,17
File,"DelimitedParser.java",,,,16,109,15
File,"DelimitedParserTest.java",,,,6,66,15
File,"DroppingIterable.java",,,,2,19,17
File,"DroppingIterator.java",,,,8,40,17
File,"DurationCoercible.java",,,,3,23,17
File,"EmittedBatchCounter.java",,,,10,44,18
File,"Emitter.java",,,,0,11,17
File,"EmitterFactory.java",,,,0,18,0
File,"EmitterTest.java",,,,36,520,20
File,"Emitters.java",,,,17,109,20
File,"EmittingLogger.java",,,,13,94,18
File,"EnforceSslHttpClient.java",,,,3,28,20
File,"Event.java",,,,0,10,17
File,"ExecuteWhenDoneYielder.java",,,,6,38,15
File,"ExecutorExecutingSequence.java",,,,17,110,17
File,"ExecutorExecutingSequenceTest.java",,,,18,127,17
File,"ExecutorServiceConfig.java",,,,1,14,17
File,"ExecutorServices.java",,,,5,42,15
File,"FeedDefiningMonitor.java",,,,2,17,15
File,"FeedUriExtractor.java",,,,3,23,0
File,"FileSmoosher.java",,,,44,264,22
File,"FileUtils.java",,,,14,91,58
File,"FileUtilsTest.java",,,,1,28,17
File,"FilteredSequence.java",,,,8,57,17
File,"FilteredSequenceTest.java",,,,4,33,17
File,"FilteringAccumulator.java",,,,3,22,17
File,"FilteringYieldingAccumulator.java",,,,8,46,17
File,"Fns.java",,,,4,27,17
File,"FriendlyServersTest.java",,,,15,241,32
File,"FullResponseHandler.java",,,,6,47,18
File,"FullResponseHolder.java",,,,5,35,17
File,"FunctionalIterable.java",,,,16,85,17
File,"FunctionalIterableTest.java",,,,10,105,17
File,"FunctionalIterator.java",,,,18,93,17
File,"FunctionalIteratorTest.java",,,,10,106,17
File,"FunctionalThreadFactory.java",,,,9,58,17
File,"GcNameTest.java",,,,1,11,15
File,"GoHandler.java",,,,7,65,19
File,"GoHandlers.java",,,,4,41,17
File,"Granularity.java",,,,122,697,31
File,"HttpClient.java",,,,0,16,51
File,"HttpClientConfig.java",,,,25,205,30
File,"HttpClientInit.java",,,,19,186,21
File,"HttpClientPipelineFactory.java",,,,1,17,17
File,"HttpEmitterConfig.java",,,,14,85,20
File,"HttpEmitterConfigTest.java",,,,4,85,23
File,"HttpEmitterFactory.java",,,,1,17,0
File,"HttpPostEmitter.java",,,,88,551,62
File,"HttpPostEmitterMonitor.java",,,,3,49,16
File,"HttpPostEmitterStressTest.java",,,,16,124,16
File,"HttpResponseHandler.java",,,,0,10,38
File,"IAE.java",,,,2,12,17
File,"ISE.java",,,,2,12,17
File,"InputStreamResponseHandler.java",,,,5,47,17
File,"IntEvent.java",,,,5,30,0
File,"IteratorWithBaggage.java",,,,5,38,17
File,"JSONParser.java",,,,23,114,18
File,"JSONParserTest.java",,,,6,81,15
File,"JSONPathParser.java",,,,37,196,62
File,"JSONPathParserTest.java",,,,7,156,25
File,"JSONToLowerParser.java",,,,13,78,24
File,"JankyServersTest.java",,,,28,297,28
File,"JavaScriptParser.java",,,,11,66,21
File,"JavaScriptParserTest.java",,,,3,50,20
File,"JodaUtils.java",,,,22,102,17
File,"JodaUtilsTest.java",,,,6,92,17
File,"JvmCpuMonitor.java",,,,7,58,17
File,"JvmMonitor.java",,,,36,232,28
File,"JvmMonitorTest.java",,,,18,109,16
File,"JvmPidDiscoverer.java",,,,3,37,31
File,"JvmPidDiscovererTest.java",,,,1,11,15
File,"JvmThreadsMonitor.java",,,,4,49,2
File,"KeyedDiff.java",,,,4,29,15
File,"LazySequence.java",,,,3,22,17
File,"Lifecycle.java",,,,46,247,129
File,"LifecycleStart.java",,,,0,10,15
File,"LifecycleStop.java",,,,0,10,15
File,"LifecycleTest.java",,,,24,234,17
File,"LimitedSequence.java",,,,15,105,21
File,"LimitedSequenceTest.java",,,,6,77,17
File,"LimitedYieldingAccumulator.java",,,,6,39,19
File,"Logger.java",,,,25,97,29
File,"LoggerTest.java",,,,2,20,16
File,"LoggingEmitter.java",,,,36,149,19
File,"LoggingEmitterConfig.java",,,,5,36,17
File,"LoggingEmitterConfigTest.java",,,,4,60,15
File,"LoggingEmitterFactory.java",,,,3,22,0
File,"MapUtils.java",,,,33,142,17
File,"MappedByteBufferHandler.java",,,,3,20,28
File,"MappedSequence.java",,,,3,25,17
File,"MappedSequenceTest.java",,,,4,32,17
File,"MappingAccumulator.java",,,,2,19,17
File,"MappingYieldingAccumulator.java",,,,5,34,17
File,"MergeIterable.java",,,,3,27,17
File,"MergeIterator.java",,,,9,58,17
