Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"Accumulator.java",,,,0,5,17
File,"Accumulators.java",,,,2,17,17
File,"AggregatingMap.java",,,,2,14,17
File,"BaseSequence.java",,,,14,103,17
File,"BaseSequenceTest.java",,,,2,19,17
File,"BinaryFn.java",,,,0,5,17
File,"BinaryTransformIterable.java",,,,3,31,17
File,"BinaryTransformIterator.java",,,,8,44,17
File,"Bound.java",,,,0,11,2
File,"CSVParser.java",,,,12,87,15
File,"CSVParserFactory.java",,,,3,17,17
File,"CSVParserTest.java",,,,6,62,0
File,"CloseableIterator.java",,,,0,6,17
File,"Comparators.java",,,,8,52,31
File,"ComparatorsTest.java",,,,2,53,17
File,"ConcatSequence.java",,,,5,113,17
File,"ConcatSequenceTest.java",,,,9,104,17
File,"Config.java",,,,1,12,17
File,"CountingMap.java",,,,4,32,17
File,"DefaultingHashMap.java",,,,3,23,17
File,"DelegatingYieldingAccumulator.java",,,,5,31,17
File,"DelimitedParser.java",,,,16,111,15
File,"DelimitedParserFactory.java",,,,3,17,17
File,"DelimitedParserTest.java",,,,6,62,0
File,"DroppingIterable.java",,,,2,19,17
File,"DroppingIterator.java",,,,8,40,17
File,"DurationCoercible.java",,,,3,23,17
File,"ExecutorExecutingSequence.java",,,,17,110,17
File,"ExecutorExecutingSequenceTest.java",,,,18,126,17
File,"ExecutorServiceConfig.java",,,,0,9,17
File,"ExecutorServices.java",,,,4,36,15
File,"FileSmoosher.java",,,,40,262,22
File,"FilteredSequence.java",,,,8,57,17
File,"FilteredSequenceTest.java",,,,4,35,17
File,"FilteringAccumulator.java",,,,3,22,17
File,"FilteringYieldingAccumulator.java",,,,8,46,17
File,"Fns.java",,,,4,27,17
File,"FormattedException.java",,,,11,95,19
File,"FunctionalIterable.java",,,,16,85,17
File,"FunctionalIterableTest.java",,,,10,105,17
File,"FunctionalIterator.java",,,,18,93,17
File,"FunctionalIteratorTest.java",,,,10,106,17
File,"FunctionalThreadFactory.java",,,,9,58,17
File,"Granularity.java",,,,95,536,27
File,"GutmanSearchStrategy.java",,,,7,52,2
File,"GutmanSplitStrategy.java",,,,9,68,2
File,"IAE.java",,,,2,12,17
File,"ISE.java",,,,2,12,17
File,"ImmutableRTree.java",,,,8,58,4
File,"IteratorWithBaggage.java",,,,5,37,17
File,"JSONParser.java",,,,14,79,16
File,"JSONParserFactory.java",,,,1,11,17
File,"JSONParserTest.java",,,,2,33,0
File,"LazySequence.java",,,,3,22,17
File,"Lifecycle.java",,,,22,129,17
File,"LifecycleStart.java",,,,0,10,15
File,"LifecycleStop.java",,,,0,10,15
File,"LinearGutmanSplitStrategy.java",,,,10,56,3
File,"LinearGutmanSplitStrategyTest.java",,,,1,26,2
File,"Logger.java",,,,23,86,17
File,"MapUtils.java",,,,33,142,17
File,"MappedSequence.java",,,,3,25,17
File,"MappedSequenceTest.java",,,,4,35,17
File,"MappingAccumulator.java",,,,2,19,17
File,"MappingYieldingAccumulator.java",,,,5,34,17
File,"MergeIterable.java",,,,3,27,17
File,"MergeIterator.java",,,,9,58,17
File,"MergeIteratorTest.java",,,,2,35,17
File,"MergeSequence.java",,,,18,137,17
File,"MergeSequenceTest.java",,,,12,98,17
File,"Metadata.java",,,,4,29,17
