Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"Accumulator.java",,,,0,5,17
File,"AggregatingMap.java",,,,2,14,17
File,"BaseSequence.java",,,,4,37,17
File,"BinaryFn.java",,,,0,5,17
File,"BinaryTransformIterable.java",,,,3,31,17
File,"BinaryTransformIterator.java",,,,8,44,17
File,"CSVParser.java",,,,13,100,15
File,"CSVParserFactory.java",,,,3,17,17
File,"CloseableIterator.java",,,,0,6,17
File,"Comparators.java",,,,8,52,31
File,"ComparatorsTest.java",,,,2,53,17
File,"Config.java",,,,1,12,17
File,"CountingMap.java",,,,4,32,17
File,"DefaultingHashMap.java",,,,3,23,17
File,"DelimitedParser.java",,,,17,124,15
File,"DelimitedParserFactory.java",,,,3,17,17
File,"DroppingIterable.java",,,,2,19,17
File,"DroppingIterator.java",,,,8,40,17
File,"DurationCoercible.java",,,,3,23,17
File,"ExecutorServiceConfig.java",,,,0,9,17
File,"ExecutorServices.java",,,,4,36,15
File,"FileSmoosher.java",,,,26,193,22
File,"FilteredSequence.java",,,,3,30,17
File,"FilteringAccumulator.java",,,,3,22,17
File,"Fns.java",,,,4,27,17
File,"FormattedException.java",,,,11,94,19
File,"FunctionalIterable.java",,,,16,85,17
File,"FunctionalIterableTest.java",,,,10,105,17
File,"FunctionalIterator.java",,,,18,93,17
File,"FunctionalIteratorTest.java",,,,10,106,17
File,"FunctionalThreadFactory.java",,,,9,58,17
File,"Granularity.java",,,,95,536,27
File,"IAE.java",,,,2,12,17
File,"ISE.java",,,,2,12,17
File,"IteratorWithBaggage.java",,,,5,37,17
File,"JSONParser.java",,,,12,86,16
File,"JSONParserFactory.java",,,,1,11,17
File,"Lifecycle.java",,,,20,111,17
File,"LifecycleStart.java",,,,0,10,15
File,"LifecycleStop.java",,,,0,10,15
File,"Logger.java",,,,23,86,17
File,"MapUtils.java",,,,33,142,17
File,"MappedSequence.java",,,,3,30,17
File,"MappingAccumulator.java",,,,2,19,17
File,"MergeIterable.java",,,,3,27,17
File,"MergeIterator.java",,,,9,58,17
File,"MergeIteratorTest.java",,,,2,35,17
File,"Metadata.java",,,,4,29,17
File,"MoreIterators.java",,,,14,84,25
File,"Pair.java",,,,7,45,17
File,"Parser.java",,,,0,10,15
File,"ParserFactory.java",,,,0,7,17
File,"ParserUtils.java",,,,16,94,15
