Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"ElasticConnection.java",,,,10,67,18
File,"ElasticSourceConnector.java",,,,13,119,16
File,"ElasticSourceConnectorConfig.java",,,,7,265,16
File,"ElasticSourceTask.java",,,,9,86,28
File,"ElasticSourceTaskConfig.java",,,,1,13,19
File,"Utils.java",,,,7,39,15
File,"Version.java",,,,0,4,15
Package,"com",,,,0,0,0
Package,"com.github",,,,0,0,0
Package,"com.github.dariobalinzo",,,,20,384,32
Public Class,"com.github.dariobalinzo.ElasticSourceConnector",28,66,66,13,94,16
Public Method,"com.github.dariobalinzo.ElasticSourceConnector.config",,,,1,4,0
Public Static Method,"com.github.dariobalinzo.ElasticSourceConnector.main",,,,2,10,0
Public Method,"com.github.dariobalinzo.ElasticSourceConnector.start",,,,4,40,1
Public Method,"com.github.dariobalinzo.ElasticSourceConnector.stop",,,,1,5,0
Public Method,"com.github.dariobalinzo.ElasticSourceConnector.taskClass",,,,1,4,0
Public Method,"com.github.dariobalinzo.ElasticSourceConnector.taskConfigs",,,,3,21,0
Public Method,"com.github.dariobalinzo.ElasticSourceConnector.version",,,,1,4,0
Public Class,"com.github.dariobalinzo.ElasticSourceConnectorConfig",11,0,0,7,255,16
Public Constructor,"com.github.dariobalinzo.ElasticSourceConnectorConfig.ElasticSourceConnectorConfig",,,,1,3,0
Protected Constructor,"com.github.dariobalinzo.ElasticSourceConnectorConfig.ElasticSourceConnectorConfig",,,,1,3,0
Private Static Final Method,"com.github.dariobalinzo.ElasticSourceConnectorConfig.addConnectorOptions",,,,1,33,0
Private Static Final Method,"com.github.dariobalinzo.ElasticSourceConnectorConfig.addDatabaseOptions",,,,1,84,0
Private Static Final Method,"com.github.dariobalinzo.ElasticSourceConnectorConfig.addModeOptions",,,,1,45,0
Public Static Method,"com.github.dariobalinzo.ElasticSourceConnectorConfig.baseConfigDef",,,,1,7,0
Public Static Method,"com.github.dariobalinzo.ElasticSourceConnectorConfig.main",,,,1,3,0
Package,"com.github.dariobalinzo.task",,,,10,99,47
Public Class,"com.github.dariobalinzo.task.ElasticSourceTask",18,83,77,9,62,28
Public Constructor,"com.github.dariobalinzo.task.ElasticSourceTask.ElasticSourceTask",,,,1,2,0
Private Method,"com.github.dariobalinzo.task.ElasticSourceTask.initEsConnection",,,,2,29,0
Public Method,"com.github.dariobalinzo.task.ElasticSourceTask.poll",,,,1,5,13
Public Method,"com.github.dariobalinzo.task.ElasticSourceTask.start",,,,3,14,0
Public Method,"com.github.dariobalinzo.task.ElasticSourceTask.stop",,,,1,2,0
Public Method,"com.github.dariobalinzo.task.ElasticSourceTask.version",,,,1,4,0
Public Class,"com.github.dariobalinzo.task.ElasticSourceTaskConfig",4,0,0,1,7,19
Public Constructor,"com.github.dariobalinzo.task.ElasticSourceTaskConfig.ElasticSourceTaskConfig",,,,1,3,0
Package,"com.github.dariobalinzo.utils",,,,17,110,48
Public Class,"com.github.dariobalinzo.utils.ElasticConnection",14,26,26,10,56,18
Public Constructor,"com.github.dariobalinzo.utils.ElasticConnection.ElasticConnection",,,,1,9,1
Public Constructor,"com.github.dariobalinzo.utils.ElasticConnection.ElasticConnection",,,,2,15,1
Lambda Method,"com.github.dariobalinzo.utils.ElasticConnection.ElasticConnection.(lambda_expr_1)",,,,1,1,0
Public Method,"com.github.dariobalinzo.utils.ElasticConnection.closeQuietly",,,,2,7,0
Public Method,"com.github.dariobalinzo.utils.ElasticConnection.getClient",,,,1,3,0
Public Method,"com.github.dariobalinzo.utils.ElasticConnection.testConnection",,,,4,16,1
Public Class,"com.github.dariobalinzo.utils.Utils",10,0,0,7,28,15
Public Static Method,"com.github.dariobalinzo.utils.Utils.getIndexList",,,,4,15,0
Public Static Method,"com.github.dariobalinzo.utils.Utils.groupPartitions",,,,3,10,0
Public Class,"com.github.dariobalinzo.utils.Version",1,0,0,0,3,15
