Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AvroName.java",,,,5,12,0
File,"AvroNameTest.java",,,,1,13,18
File,"ElasticConnection.java",,,,8,58,17
File,"ElasticRepository.java",,,,8,63,0
File,"ElasticRepositoryTest.java",,,,8,93,1
File,"ElasticSourceConnector.java",,,,10,106,21
File,"ElasticSourceConnectorConfig.java",,,,7,226,16
File,"ElasticSourceTask.java",,,,36,266,59
File,"ElasticSourceTaskConfig.java",,,,1,13,19
File,"PageResult.java",,,,4,21,0
File,"SchemaConverter.java",,,,19,91,16
File,"SchemaConverterTest.java",,,,6,98,27
File,"StructConverter.java",,,,14,85,16
File,"Utils.java",,,,7,37,15
File,"Version.java",,,,0,4,15
Package,"com",,,,0,0,0
Package,"com.github",,,,0,0,0
Package,"com.github.dariobalinzo",,,,17,332,37
Public Class,"com.github.dariobalinzo.ElasticSourceConnector",24,61,61,10,85,21
Public Method,"com.github.dariobalinzo.ElasticSourceConnector.config",,,,1,4,0
Public Method,"com.github.dariobalinzo.ElasticSourceConnector.start",,,,3,37,6
Public Method,"com.github.dariobalinzo.ElasticSourceConnector.stop",,,,1,5,0
Public Method,"com.github.dariobalinzo.ElasticSourceConnector.taskClass",,,,1,4,0
Public Method,"com.github.dariobalinzo.ElasticSourceConnector.taskConfigs",,,,3,25,0
Public Method,"com.github.dariobalinzo.ElasticSourceConnector.version",,,,1,4,0
Public Class,"com.github.dariobalinzo.ElasticSourceConnectorConfig",8,0,0,7,218,1
Public Constructor,"com.github.dariobalinzo.ElasticSourceConnectorConfig.ElasticSourceConnectorConfig",,,,1,3,0
Protected Constructor,"com.github.dariobalinzo.ElasticSourceConnectorConfig.ElasticSourceConnectorConfig",,,,1,3,0
Private Static Method,"com.github.dariobalinzo.ElasticSourceConnectorConfig.addConnectorOptions",,,,1,33,0
Private Static Method,"com.github.dariobalinzo.ElasticSourceConnectorConfig.addDatabaseOptions",,,,1,74,0
Private Static Method,"com.github.dariobalinzo.ElasticSourceConnectorConfig.addModeOptions",,,,1,34,0
Protected Static Method,"com.github.dariobalinzo.ElasticSourceConnectorConfig.baseConfigDef",,,,1,7,0
Public Static Method,"com.github.dariobalinzo.ElasticSourceConnectorConfig.main",,,,1,3,0
Package,"com.github.dariobalinzo.elastic",,,,20,177,1
Public Final Class,"com.github.dariobalinzo.elastic.ElasticRepository",17,50,43,8,47,0
Public Constructor,"com.github.dariobalinzo.elastic.ElasticRepository.ElasticRepository",,,,1,5,0
Private Method,"com.github.dariobalinzo.elastic.ElasticRepository.executeSearch",,,,4,17,0
Public Method,"com.github.dariobalinzo.elastic.ElasticRepository.searchAfter",,,,2,16,0
Public Method,"com.github.dariobalinzo.elastic.ElasticRepository.setPageSize",,,,1,3,0
Public Class,"com.github.dariobalinzo.elastic.ElasticRepositoryTest",24,55,50,8,69,1
Private Method,"com.github.dariobalinzo.elastic.ElasticRepositoryTest.deleteTestIndex",,,,2,6,0
Private Method,"com.github.dariobalinzo.elastic.ElasticRepositoryTest.insertMockData",,,,1,12,0
Private Method,"com.github.dariobalinzo.elastic.ElasticRepositoryTest.refreshIndex",,,,1,3,0
Public Static Method,"com.github.dariobalinzo.elastic.ElasticRepositoryTest.setupElastic",,,,1,14,1
Public Method,"com.github.dariobalinzo.elastic.ElasticRepositoryTest.shouldFetchDataFromElastic",,,,1,16,0
Public Static Method,"com.github.dariobalinzo.elastic.ElasticRepositoryTest.stopElastic",,,,2,6,0
Public Class,"com.github.dariobalinzo.elastic.PageResult",3,33,33,4,19,0
Public Constructor,"com.github.dariobalinzo.elastic.PageResult.PageResult",,,,2,9,0
Public Method,"com.github.dariobalinzo.elastic.PageResult.getDocuments",,,,1,3,0
Public Method,"com.github.dariobalinzo.elastic.PageResult.getLastCursor",,,,1,3,0
Package,"com.github.dariobalinzo.schema",,,,45,299,77
Public Class,"com.github.dariobalinzo.schema.AvroName",1,0,0,5,11,0
Private Static Method,"com.github.dariobalinzo.schema.AvroName.filterInvalidCharacters",,,,1,3,0
Public Static Method,"com.github.dariobalinzo.schema.AvroName.from",,,,2,3,0
Public Static Method,"com.github.dariobalinzo.schema.AvroName.from",,,,2,3,0
Public Class,"com.github.dariobalinzo.schema.AvroNameTest",4,0,0,1,10,3
Public Method,"com.github.dariobalinzo.schema.AvroNameTest.shouldCreateValidAvroNames",,,,1,8,3
Public Class,"com.github.dariobalinzo.schema.SchemaConverter",13,0,0,19,84,1
Public Method,"com.github.dariobalinzo.schema.SchemaConverter.convert",,,,1,6,0
Private Method,"com.github.dariobalinzo.schema.SchemaConverter.convertDocumentSchema",,,,10,27,1
Private Method,"com.github.dariobalinzo.schema.SchemaConverter.convertListSchema",,,,7,40,0
Private Method,"com.github.dariobalinzo.schema.SchemaConverter.convertMapSchema",,,,1,9,0
Public Class,"com.github.dariobalinzo.schema.SchemaConverterTest",15,16,16,6,91,12
Private Static Class,"com.github.dariobalinzo.schema.SchemaConverterTest.NotSupported",0,0,0,0,1,0
Public Method,"com.github.dariobalinzo.schema.SchemaConverterTest.shouldConvertLists",,,,1,21,3
Public Method,"com.github.dariobalinzo.schema.SchemaConverterTest.shouldConvertListsOfObject",,,,1,11,3
Public Method,"com.github.dariobalinzo.schema.SchemaConverterTest.shouldConvertNestedObject",,,,1,25,3
Public Method,"com.github.dariobalinzo.schema.SchemaConverterTest.shouldConvertSimpleSchema",,,,1,17,3
Public Method,"com.github.dariobalinzo.schema.SchemaConverterTest.shouldRejectInvalidDocuments",,,,1,6,0
Public Method,"com.github.dariobalinzo.schema.SchemaConverterTest.shouldRejectInvalidDocumentsInStructs",,,,1,6,0
Public Class,"com.github.dariobalinzo.schema.StructConverter",17,0,0,14,78,1
Public Method,"com.github.dariobalinzo.schema.StructConverter.convert",,,,1,5,0
Private Method,"com.github.dariobalinzo.schema.StructConverter.convertDocumentStruct",,,,5,15,0
Private Method,"com.github.dariobalinzo.schema.StructConverter.convertListOfObject",,,,1,16,0
Private Method,"com.github.dariobalinzo.schema.StructConverter.convertListToAvroArray",,,,5,20,1
Lambda Method,"com.github.dariobalinzo.schema.StructConverter.convertListToAvroArray.(lambda_expr_1)",,,,1,1,0
Private Method,"com.github.dariobalinzo.schema.StructConverter.covertMapToAvroStruct",,,,1,13,0
Private Method,"com.github.dariobalinzo.schema.StructConverter.isScalar",,,,1,7,0
Package,"com.github.dariobalinzo.task",,,,37,279,78
Public Class,"com.github.dariobalinzo.task.ElasticSourceTask",42,76,72,36,242,44
Public Constructor,"com.github.dariobalinzo.task.ElasticSourceTask.ElasticSourceTask",,,,1,2,0
Private Method,"com.github.dariobalinzo.task.ElasticSourceTask.closeScrollQuietly",,,,1,7,6
Private Method,"com.github.dariobalinzo.task.ElasticSourceTask.executeScroll",,,,4,30,13
Private Method,"com.github.dariobalinzo.task.ElasticSourceTask.fetchLastOffset",,,,9,44,16
Private Method,"com.github.dariobalinzo.task.ElasticSourceTask.initEsConnection",,,,2,29,0
Private Method,"com.github.dariobalinzo.task.ElasticSourceTask.parseSearchResult",,,,5,38,6
Public Method,"com.github.dariobalinzo.task.ElasticSourceTask.poll",,,,5,22,0
Lambda Method,"com.github.dariobalinzo.task.ElasticSourceTask.poll.(lambda_expr_1)",,,,3,11,0
Public Method,"com.github.dariobalinzo.task.ElasticSourceTask.setupTest",,,,2,21,0
Public Method,"com.github.dariobalinzo.task.ElasticSourceTask.start",,,,3,18,0
Public Method,"com.github.dariobalinzo.task.ElasticSourceTask.stop",,,,3,8,0
Public Method,"com.github.dariobalinzo.task.ElasticSourceTask.version",,,,1,4,0
