Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"ElasticConnection.java",,,,12,73,18
File,"ElasticSourceConnector.java",,,,11,107,17
File,"ElasticSourceConnectorConfig.java",,,,7,226,16
File,"ElasticSourceTask.java",,,,40,289,33
File,"ElasticSourceTaskConfig.java",,,,1,13,19
File,"SchemaConverter.java",,,,17,81,17
File,"StructConverter.java",,,,14,65,16
File,"TestQuery.java",,,,3,33,22
File,"TestSchema.java",,,,4,44,16
File,"Utils.java",,,,11,43,16
File,"Version.java",,,,0,4,15
Package,"com",,,,0,0,0
Package,"com.github",,,,0,0,0
Package,"com.github.dariobalinzo",,,,25,410,71
Public Class,"com.github.dariobalinzo.ElasticSourceConnector",23,61,61,11,88,17
Public Method,"com.github.dariobalinzo.ElasticSourceConnector.config",,,,1,4,0
Public Method,"com.github.dariobalinzo.ElasticSourceConnector.start",,,,4,40,2
Public Method,"com.github.dariobalinzo.ElasticSourceConnector.stop",,,,1,5,0
Public Method,"com.github.dariobalinzo.ElasticSourceConnector.taskClass",,,,1,4,0
Public Method,"com.github.dariobalinzo.ElasticSourceConnector.taskConfigs",,,,3,25,0
Public Method,"com.github.dariobalinzo.ElasticSourceConnector.version",,,,1,4,0
Public Class,"com.github.dariobalinzo.ElasticSourceConnectorConfig",8,0,0,7,218,1
Public Constructor,"com.github.dariobalinzo.ElasticSourceConnectorConfig.ElasticSourceConnectorConfig",,,,1,3,0
Protected Constructor,"com.github.dariobalinzo.ElasticSourceConnectorConfig.ElasticSourceConnectorConfig",,,,1,3,0
Private Static Method,"com.github.dariobalinzo.ElasticSourceConnectorConfig.addConnectorOptions",,,,1,33,0
Private Static Method,"com.github.dariobalinzo.ElasticSourceConnectorConfig.addDatabaseOptions",,,,1,74,0
Private Static Method,"com.github.dariobalinzo.ElasticSourceConnectorConfig.addModeOptions",,,,1,34,0
Protected Static Method,"com.github.dariobalinzo.ElasticSourceConnectorConfig.baseConfigDef",,,,1,7,0
Public Static Method,"com.github.dariobalinzo.ElasticSourceConnectorConfig.main",,,,1,3,0
Public Class,"com.github.dariobalinzo.TestQuery",3,0,0,3,12,7
Public Method,"com.github.dariobalinzo.TestQuery.setUp",,,,1,3,0
Public Method,"com.github.dariobalinzo.TestQuery.tearDown",,,,1,3,0
Public Method,"com.github.dariobalinzo.TestQuery.testTask",,,,1,3,7
Public Class,"com.github.dariobalinzo.TestSchema",15,0,0,4,27,1
Public Method,"com.github.dariobalinzo.TestSchema.setUp",,,,1,3,0
Public Method,"com.github.dariobalinzo.TestSchema.tearDown",,,,1,3,0
Public Method,"com.github.dariobalinzo.TestSchema.testSearch",,,,2,18,1
Package,"com.github.dariobalinzo.schema",,,,31,146,33
Public Class,"com.github.dariobalinzo.schema.SchemaConverter",12,0,0,17,75,17
Private Static Method,"com.github.dariobalinzo.schema.SchemaConverter.convertDocumentSchema",,,,16,67,1
Lambda Method,"com.github.dariobalinzo.schema.SchemaConverter.convertDocumentSchema.(lambda_expr_1)",,,,15,63,1
Public Static Method,"com.github.dariobalinzo.schema.SchemaConverter.convertElasticMapping2AvroSchema",,,,1,6,1
Public Class,"com.github.dariobalinzo.schema.StructConverter",16,0,0,13,57,16
Private Static Method,"com.github.dariobalinzo.schema.StructConverter.convertDocumentStruct",,,,12,50,1
Lambda Method,"com.github.dariobalinzo.schema.StructConverter.convertDocumentStruct.(lambda_expr_1)",,,,12,46,1
Lambda Method,"com.github.dariobalinzo.schema.StructConverter.convertDocumentStruct.(lambda_expr_1).(lambda_expr_2)",,,,1,7,0
Public Static Method,"com.github.dariobalinzo.schema.StructConverter.convertElasticDocument2AvroStruct",,,,1,5,0
Package,"com.github.dariobalinzo.task",,,,41,302,52
Public Class,"com.github.dariobalinzo.task.ElasticSourceTask",43,69,65,40,262,18
Public Constructor,"com.github.dariobalinzo.task.ElasticSourceTask.ElasticSourceTask",,,,1,2,0
Private Method,"com.github.dariobalinzo.task.ElasticSourceTask.closeScrollQuietly",,,,2,12,0
Private Method,"com.github.dariobalinzo.task.ElasticSourceTask.executeScroll",,,,6,40,1
Private Method,"com.github.dariobalinzo.task.ElasticSourceTask.fetchLastOffset",,,,10,51,8
Private Method,"com.github.dariobalinzo.task.ElasticSourceTask.initEsConnection",,,,2,29,0
Private Method,"com.github.dariobalinzo.task.ElasticSourceTask.parseSearchResult",,,,5,38,6
Public Method,"com.github.dariobalinzo.task.ElasticSourceTask.poll",,,,5,22,0
Lambda Method,"com.github.dariobalinzo.task.ElasticSourceTask.poll.(lambda_expr_1)",,,,3,11,0
Public Method,"com.github.dariobalinzo.task.ElasticSourceTask.setupTest",,,,2,21,0
Public Method,"com.github.dariobalinzo.task.ElasticSourceTask.start",,,,3,18,0
Public Method,"com.github.dariobalinzo.task.ElasticSourceTask.stop",,,,3,8,0
Public Method,"com.github.dariobalinzo.task.ElasticSourceTask.version",,,,1,4,0
Public Class,"com.github.dariobalinzo.task.ElasticSourceTaskConfig",4,0,0,1,7,4
Public Constructor,"com.github.dariobalinzo.task.ElasticSourceTaskConfig.ElasticSourceTaskConfig",,,,1,3,0
Package,"com.github.dariobalinzo.utils",,,,23,120,49
Public Class,"com.github.dariobalinzo.utils.ElasticConnection",14,38,38,12,62,18
Public Constructor,"com.github.dariobalinzo.utils.ElasticConnection.ElasticConnection",,,,1,9,1
Public Constructor,"com.github.dariobalinzo.utils.ElasticConnection.ElasticConnection",,,,2,15,1
Lambda Method,"com.github.dariobalinzo.utils.ElasticConnection.ElasticConnection.(lambda_expr_1)",,,,1,1,0
Public Method,"com.github.dariobalinzo.utils.ElasticConnection.closeQuietly",,,,2,7,0
Public Method,"com.github.dariobalinzo.utils.ElasticConnection.getClient",,,,1,3,0
Public Method,"com.github.dariobalinzo.utils.ElasticConnection.getConnectionRetryBackoff",,,,1,3,0
Public Method,"com.github.dariobalinzo.utils.ElasticConnection.getMaxConnectionAttempts",,,,1,3,0
Public Method,"com.github.dariobalinzo.utils.ElasticConnection.testConnection",,,,4,16,1
Public Class,"com.github.dariobalinzo.utils.Utils",10,0,0,11,34,16
Public Static Method,"com.github.dariobalinzo.utils.Utils.filterAvroName",,,,2,3,0
Public Static Method,"com.github.dariobalinzo.utils.Utils.filterAvroName",,,,2,3,0
Public Static Method,"com.github.dariobalinzo.utils.Utils.getIndexList",,,,4,15,0
Public Static Method,"com.github.dariobalinzo.utils.Utils.groupPartitions",,,,3,10,0
Public Class,"com.github.dariobalinzo.utils.Version",1,0,0,0,3,15
