Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"A.java",,,,1,7,0
File,"AESs.java",,,,6,29,0
File,"AbstractAccessor.java",,,,17,82,0
File,"AbstractAttributable.java",,,,7,32,0
File,"AbstractBinaryOperator.java",,,,9,44,0
File,"AbstractCache.java",,,,83,429,23
File,"AbstractCacheLoader.java",,,,2,18,0
File,"AbstractChain.java",,,,2,12,0
File,"AbstractCharSequence.java",,,,48,207,0
File,"AbstractClasspath.java",,,,12,73,7
File,"AbstractConfigurationRepository.java",,,,48,218,17
File,"AbstractConstructorParameterSupplier.java",,,,2,11,0
File,"AbstractDLock.java",,,,10,45,0
File,"AbstractExecuteStreamHandler.java",,,,4,31,14
File,"AbstractFileFilter.java",,,,2,13,0
File,"AbstractFuture.java",,,,7,33,5
File,"AbstractGmService.java",,,,4,29,0
File,"AbstractGraphTraverser.java",,,,6,28,0
File,"AbstractHandler.java",,,,2,11,0
File,"AbstractHasher.java",,,,7,34,32
File,"AbstractI18nMessageStorage.java",,,,20,80,0
File,"AbstractInitializable.java",,,,3,13,0
File,"AbstractLoadBalanceStrategy.java",,,,11,57,4
File,"AbstractLocatableResource.java",,,,6,26,0
File,"AbstractMethodParameterSupplier.java",,,,2,11,0
File,"AbstractNameable.java",,,,2,12,0
File,"AbstractNonStreamingHasher.java",,,,1,10,3
File,"AbstractPatternMatcher.java",,,,3,18,6
File,"AbstractPatternSetMatcher.java",,,,18,87,3
File,"AbstractRegistry.java",,,,6,31,3
File,"AbstractResource.java",,,,3,18,0
File,"AbstractResourceBundleI18nMessageStorage.java",,,,8,32,0
File,"AbstractSpecifiedOptionService.java",,,,32,156,0
File,"AbstractStreamingHasher.java",,,,12,54,23
File,"AbstractUnaryOperator.java",,,,6,31,0
File,"AccessMode.java",,,,0,6,0
File,"Accessor.java",,,,0,17,14
File,"AccessorClassLoader.java",,,,32,133,23
File,"Add.java",,,,2,16,0
File,"Address.java",,,,3,18,0
File,"Adler32Hasher.java",,,,2,12,3
File,"AdvancedStreamingHasher.java",,,,17,81,58
File,"AjConstructorParameter.java",,,,27,113,0
File,"AjConstructorParameterSupplier.java",,,,19,95,4
File,"AjMethodParameter.java",,,,27,113,0
File,"AjMethodParameterSupplier.java",,,,23,110,4
File,"AjReflectConstants.java",,,,0,4,0
File,"Algorithm.java",,,,0,11,19
File,"AlgorithmParameterSupplier.java",,,,0,7,5
File,"AlgorithmUnregisteredException.java",,,,4,15,31
File,"AllFileFilter.java",,,,3,19,13
File,"AllPresentServiceProvider.java",,,,3,18,0
File,"And.java",,,,4,22,0
File,"AnnotatedElementAnnotationParser.java",,,,0,10,6
File,"AnnotationParser.java",,,,0,8,0
File,"AntPathMatcher.java",,,,80,274,80
File,"AnyFileFilter.java",,,,3,19,13
File,"AopConstructorInvocation.java",,,,6,30,0
File,"AopInvocationHandler.java",,,,2,18,0
File,"AopMethodInvocation.java",,,,8,39,0
File,"Arch32MemoryLayoutSpecification.java",,,,5,23,3
File,"Arch64CompressedMemoryLayoutSpecified.java",,,,5,23,4
File,"Arch64UncompressedMemoryLayoutSpecification.java",,,,5,23,3
File,"ArithmeticOperator.java",,,,0,7,0
File,"ArrayAccessor.java",,,,9,41,6
File,"ArrayAccessorTests.java",,,,1,15,0
File,"ArrayBasedCharEscaper.java",,,,10,48,92
File,"ArrayBasedEscaperMap.java",,,,6,30,45
File,"ArrayBasedUnicodeEscaper.java",,,,14,78,117
File,"ArrayBuffer.java",,,,20,97,6
File,"ArrayBufferTests.java",,,,10,48,0
File,"ArrayEnumeration.java",,,,4,19,3
File,"ArrayIterator.java",,,,16,55,3
File,"ArrayIteratorTests.java",,,,4,29,0
File,"ArrayOrIterableValueGetter.java",,,,1,7,6
File,"ArraySequence.java",,,,1,7,0
File,"ArrayValueGetter.java",,,,3,17,0
File,"Arrs.java",,,,60,232,67
File,"ArrsTests.java",,,,9,84,0
File,"AsciiBytes.java",,,,52,183,25
File,"Asciis.java",,,,12,60,27
File,"AspectJExpressionPointcutAdvisorProperties.java",,,,4,19,0
File,"Asymmetrics.java",,,,9,33,0
File,"AsyncEventPublisher.java",,,,4,22,0
File,"AtomicBooleanEditor.java",,,,2,11,20
File,"AtomicIntegerCounter.java",,,,10,43,0
File,"AtomicIntegerEditor.java",,,,2,12,20
File,"AtomicLongCounter.java",,,,10,43,0
File,"AtomicLongEditor.java",,,,2,13,20
File,"Atomics.java",,,,5,19,0
File,"Attributable.java",,,,0,8,0
File,"AutoIncrementIdGenerator.java",,,,4,20,0
File,"Base16.java",,,,24,134,116
File,"Base16InputStream.java",,,,4,20,54
File,"Base16OutputStream.java",,,,4,20,54
File,"Base32.java",,,,50,290,357
File,"Base32InputStream.java",,,,4,21,97
File,"Base32OutputStream.java",,,,4,21,100
File,"Base58.java",,,,18,87,62
File,"Base64.java",,,,66,300,408
File,"Base64IdGenerator.java",,,,7,44,27
File,"Base64InputStream.java",,,,3,15,43
File,"Base64OutputStream.java",,,,3,15,47
File,"Base64Tests.java",,,,1,11,0
File,"BaseCache.java",,,,44,197,38
File,"BaseExpression.java",,,,6,25,0
File,"BaseKeyGeneratorSpi.java",,,,9,47,6
File,"BaseNCodec.java",,,,48,199,323
File,"BaseNCodecInputStream.java",,,,23,87,73
