Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"A.java",,,,1,7,0
File,"AbstractBinaryOperator.java",,,,9,44,0
File,"AbstractCache.java",,,,82,415,10
File,"AbstractCacheLoader.java",,,,2,18,0
File,"AbstractConfigurationRepository.java",,,,46,206,17
File,"AbstractConstructorParameterSupplier.java",,,,2,11,0
File,"AbstractConverter.java",,,,10,35,110
File,"AbstractDateTime.java",,,,28,102,198
File,"AbstractDescriptionBuilder.java",,,,21,76,16
File,"AbstractDuration.java",,,,21,77,113
File,"AbstractFileFilter.java",,,,2,13,0
File,"AbstractHandler.java",,,,2,11,0
File,"AbstractInstant.java",,,,38,138,258
File,"AbstractInterval.java",,,,38,154,317
File,"AbstractMethodParameterSupplier.java",,,,2,11,0
File,"AbstractPartial.java",,,,46,153,231
File,"AbstractPartialFieldProperty.java",,,,29,107,221
File,"AbstractPathableResource.java",,,,3,15,0
File,"AbstractPeriod.java",,,,24,86,141
File,"AbstractReadableInstantFieldProperty.java",,,,40,142,288
File,"AbstractResource.java",,,,3,18,0
File,"AbstractSpecifiedOptionService.java",,,,32,157,0
File,"AbstractStatefulEmitHandler.java",,,,2,14,0
File,"AbstractUnaryOperator.java",,,,6,31,0
File,"AccessMode.java",,,,0,6,0
File,"Accessor.java",,,,0,34,14
File,"Add.java",,,,2,16,0
File,"AjConstructorParameter.java",,,,23,97,0
File,"AjConstructorParameterSupplier.java",,,,13,70,4
File,"AjMethodParameter.java",,,,23,97,0
File,"AjMethodParameterSupplier.java",,,,15,76,3
File,"AjReflectConstants.java",,,,0,4,0
File,"Algorithm.java",,,,0,12,19
File,"AllFileFilter.java",,,,3,19,13
File,"And.java",,,,4,22,0
File,"AnyFileFilter.java",,,,3,19,13
File,"AopInvocationHandler.java",,,,2,18,0
File,"AopProxyFactory.java",,,,1,8,0
File,"ArithmeticOperator.java",,,,0,5,0
File,"ArrayAccessor.java",,,,7,32,6
File,"ArrayAccessorTests.java",,,,1,15,0
File,"ArrayBasedCharEscaper.java",,,,10,48,92
File,"ArrayBasedEscaperMap.java",,,,6,30,45
File,"ArrayBasedUnicodeEscaper.java",,,,14,78,117
File,"ArrayEnumeration.java",,,,4,19,3
File,"ArrayIterator.java",,,,16,55,3
File,"ArrayIteratorTests.java",,,,3,18,0
File,"ArrayOrIterableValueGetter.java",,,,3,18,0
File,"ArrayValueGetter.java",,,,3,17,0
File,"Arrs.java",,,,37,144,55
File,"ArrsTests.java",,,,5,40,0
File,"AsciiBytes.java",,,,52,183,25
File,"AssembledChronology.java",,,,129,430,62
File,"AsyncEventPublisher.java",,,,4,22,0
File,"Atomics.java",,,,4,19,0
File,"AutoIncrementIdGenerator.java",,,,4,20,0
File,"Base64.java",,,,63,284,404
File,"Base64IdGenerator.java",,,,7,44,27
File,"Base64InputStream.java",,,,3,15,43
File,"Base64OutputStream.java",,,,3,15,47
File,"BaseChronology.java",,,,63,244,373
File,"BaseDateTime.java",,,,17,105,210
File,"BaseDateTimeField.java",,,,81,307,645
File,"BaseDuration.java",,,,16,68,181
File,"BaseDurationField.java",,,,15,57,98
File,"BaseExpression.java",,,,6,25,0
File,"BaseInterval.java",,,,17,108,130
File,"BaseLocal.java",,,,1,10,50
File,"BaseMBeanServiceProvider.java",,,,8,51,0
File,"BaseNCodec.java",,,,46,189,278
File,"BaseNCodecInputStream.java",,,,23,87,73
File,"BaseNCodecOutputStream.java",,,,15,68,49
File,"BasePartial.java",,,,18,96,200
File,"BasePeriod.java",,,,55,268,314
File,"BaseService.java",,,,8,57,0
File,"BaseSingleFieldPeriod.java",,,,34,140,187
File,"BasedStringAccessor.java",,,,38,165,0
File,"BasicChronology.java",,,,64,391,282
File,"BasicDayOfMonthDateTimeField.java",,,,16,62,30
File,"BasicDayOfYearDateTimeField.java",,,,14,54,35
File,"BasicFixedMonthChronology.java",,,,21,74,69
File,"BasicGJChronology.java",,,,43,112,67
File,"BasicMonthOfYearDateTimeField.java",,,,40,192,135
File,"BasicSingleEraDateTimeField.java",,,,17,63,76
File,"BasicWeekOfWeekyearDateTimeField.java",,,,17,65,38
File,"BasicWeekyearDateTimeField.java",,,,27,113,112
File,"BasicYearDateTimeField.java",,,,23,90,39
File,"BeanBasedStyleStringFormatter.java",,,,2,21,0
File,"Beans.java",,,,5,25,0
File,"BinaryDecoder.java",,,,0,4,10
File,"BinaryEncoder.java",,,,0,4,10
File,"BinaryLogicOperator.java",,,,0,6,0
File,"BinaryOperator.java",,,,0,8,0
File,"BloomFilter.java",,,,27,128,38
File,"BooleanConverter.java",,,,1,11,0
File,"BooleanEvaluator.java",,,,33,111,3
File,"BooleanExpression.java",,,,2,8,0
File,"BooleanResultExpression.java",,,,0,4,0
File,"BoundedConcurrentHashMap.java",,,,298,1337,812
File,"BuddhistChronology.java",,,,20,100,122
File,"BufferedInputStream.java",,,,30,114,151
File,"BufferedInputStreamTests.java",,,,22,136,0
File,"Builder.java",,,,0,4,0
File,"ByteArrayOutputStream.java",,,,36,189,197
File,"ByteArrayResource.java",,,,11,50,39
File,"ByteBufferDebugger.java",,,,1,11,0
File,"ByteConverter.java",,,,1,12,0
File,"ByteProcessor.java",,,,8,58,52
File,"ByteProcessors.java",,,,1,9,0
File,"Bytes.java",,,,34,130,118
File,"CStyleStringFormatter.java",,,,1,7,6
File,"Cache.java",,,,0,21,0
File,"CacheBuilder.java",,,,32,131,12
File,"CacheTests.java",,,,11,90,0
File,"CachedDateTimeZone.java",,,,29,138,45
File,"CalendarComparator.java",,,,3,15,0
File,"CalendarConverter.java",,,,11,50,70
File,"Calendars.java",,,,33,158,46
File,"CalendersTests.java",,,,6,85,24
File,"CasingTypeEnum.java",,,,0,4,0
File,"CentralDirectoryEndRecord.java",,,,25,121,78
File,"CentralDirectoryFileHeader.java",,,,22,118,19
File,"CentralDirectoryParser.java",,,,13,57,13
