Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AbstractFileFilter.java",,,,2,13,0
File,"AbstractStatefulEmitHandler.java",,,,2,14,0
File,"Accessor.java",,,,0,35,15
File,"AopInvocationHandler.java",,,,2,18,0
File,"AopProxyFactory.java",,,,1,8,0
File,"ArrayAccessor.java",,,,7,32,6
File,"ArrayAccessorTests.java",,,,1,15,0
File,"ArrayIterator.java",,,,7,32,3
File,"Arrs.java",,,,19,81,40
File,"ArrsTests.java",,,,5,40,0
File,"AsyncEventPublisher.java",,,,4,22,0
File,"AutoIncrementIdGenerator.java",,,,3,16,0
File,"Base64.java",,,,65,289,413
File,"Base64IdGenerator.java",,,,6,40,27
File,"Base64InputStream.java",,,,3,15,43
File,"Base64OutputStream.java",,,,3,15,47
File,"BaseNCodec.java",,,,46,190,278
File,"BaseNCodecInputStream.java",,,,23,87,73
File,"BaseNCodecOutputStream.java",,,,16,68,49
File,"BasedStringAccessor.java",,,,37,162,0
File,"BinaryDecoder.java",,,,0,4,10
File,"BinaryEncoder.java",,,,0,4,10
File,"BooleanEvaluator.java",,,,33,111,3
File,"ByteArrayOutputStream.java",,,,36,195,181
File,"ByteProcessor.java",,,,8,61,52
File,"ByteProcessors.java",,,,1,9,0
File,"Bytes.java",,,,26,111,118
File,"Calenders.java",,,,7,24,17
File,"CharComparator.java",,,,1,9,3
File,"Chars.java",,,,22,62,33
File,"Charsets.java",,,,18,87,42
File,"ClosedInputStream.java",,,,1,9,18
File,"CollectionDiffResult.java",,,,8,44,4
File,"CollectionDiffer.java",,,,20,117,4
File,"CollectionDifferResult.java",,,,0,8,6
File,"Collector.java",,,,0,5,4
File,"Collects.java",,,,283,1047,205
File,"CollectsTest.java",,,,14,131,1
File,"CommonEnum.java",,,,0,9,0
File,"CommonEnums.java",,,,15,57,0
File,"CommonThreadFactory.java",,,,9,51,7
File,"CommonTree.java",,,,49,202,0
File,"ComparableComparator.java",,,,1,8,0
File,"Comparators.java",,,,0,8,0
File,"CompositeIterator.java",,,,10,41,12
File,"ConstructorInterceptor.java",,,,0,3,0
File,"ConstructorInvocation.java",,,,0,4,0
File,"Consumer.java",,,,0,4,4
File,"Consumer2.java",,,,0,4,5
File,"CopyOnWriteHashMap.java",,,,82,390,91
File,"CsvConstants.java",,,,0,23,20
File,"CsvFormat.java",,,,209,858,1134
File,"CsvIOs.java",,,,6,34,83
File,"CsvLexer.java",,,,72,251,147
File,"CsvParser.java",,,,62,263,308
File,"CsvPrinter.java",,,,33,122,211
File,"CsvRecord.java",,,,27,108,133
File,"DataSizes.java",,,,8,41,42
File,"Decoder.java",,,,0,4,19
File,"DecoderException.java",,,,4,16,37
File,"DefaultConstructorInvocation.java",,,,4,22,0
File,"DefaultEmitHandler.java",,,,2,16,0
File,"DefaultMethodInvocation.java",,,,11,49,0
File,"DefaultResourceLeakDetectorFactory.java",,,,13,82,0
File,"Delegatable.java",,,,0,5,0
File,"DelegateInvocationHandler.java",,,,4,21,3
File,"DiffResult.java",,,,0,3,0
File,"Differ.java",,,,0,4,0
File,"DomainEvent.java",,,,6,29,4
File,"DoubleNameValuePair.java",,,,2,8,0
File,"Emit.java",,,,3,17,0
File,"EmitHandler.java",,,,0,5,0
File,"Emptys.java",,,,23,93,0
File,"EmptysTests.java",,,,2,27,0
File,"Encoder.java",,,,0,4,16
File,"EncoderException.java",,,,4,16,40
File,"Engine.java",,,,24,80,11
File,"Entry.java",,,,20,90,0
File,"EnumDelegate.java",,,,7,35,61
File,"EnumerationIterable.java",,,,3,17,4
File,"EnumerationIterator.java",,,,4,22,4
File,"Environment.java",,,,0,5,0
File,"EqualsComparator.java",,,,2,8,0
File,"EventListener.java",,,,0,4,4
File,"EventPublisher.java",,,,0,6,0
File,"ExceptionMessage.java",,,,2,10,0
File,"ExecuteableFileFilter.java",,,,2,12,0
File,"ExistsFileFilter.java",,,,2,13,0
File,"ExtendedBufferedReader.java",,,,21,86,64
File,"Factory.java",,,,0,4,0
File,"FieldAccessor.java",,,,9,39,5
