Kind,Name,CountClassCoupled,PercentLackOfCohesion,PercentLackOfCohesionModified,SumCyclomatic,CountLineCode,CountLineComment
File,"AbstractMetadataController.java",,,,43,229,102
File,"AbstractWmsController.java",,,,127,766,532
File,"AdminController.java",,,,32,186,122
File,"AnimationButton.java",,,,48,324,11
File,"BaseSelector.java",,,,2,16,0
File,"Cache.java",,,,10,58,42
File,"CaseInsensitiveParameterMap.java",,,,8,32,0
File,"Charting.java",,,,49,394,160
File,"Config.java",,,,56,321,154
File,"ConfigServlet.java",,,,9,55,0
File,"ConnectionException.java",,,,1,7,0
File,"Contact.java",,,,9,54,37
File,"CurrentUpdateSequence.java",,,,1,9,40
File,"Dataset.java",,,,59,288,205
File,"Dataset.java",,,,0,23,107
File,"ElevationSelectionHandler.java",,,,0,4,0
File,"ElevationSelector.java",,,,18,88,0
File,"ErrorBox.java",,,,3,38,0
File,"ErrorHandler.java",,,,0,4,0
File,"FeatureNotDefinedException.java",,,,1,9,37
File,"FeaturePlottingMetadata.java",,,,32,162,88
File,"FrontPageController.java",,,,2,25,43
File,"FrontPageController.java",,,,2,25,40
File,"GetFeatureInfoDataRequest.java",,,,11,47,43
File,"GetFeatureInfoRequest.java",,,,5,31,46
File,"GetMapDataRequest.java",,,,12,59,49
File,"GetMapRequest.java",,,,6,37,51
File,"GetMapStyleRequest.java",,,,25,114,89
File,"Godiva.java",,,,1,11,0
File,"GodivaActionsHandler.java",,,,0,8,0
File,"H2UsageLogger.java",,,,15,149,76
File,"InvalidCrsException.java",,,,1,9,40
File,"InvalidDimensionValueException.java",,,,1,9,40
File,"InvalidFormatException.java",,,,1,8,39
File,"InvalidPointException.java",,,,1,9,40
File,"InvalidUpdateSequence.java",,,,1,8,40
File,"LayerNotQueryableException.java",,,,1,8,40
File,"LayerRequestBuilder.java",,,,3,12,0
File,"LayerRequestCallback.java",,,,40,200,8
File,"LayerSelectionHandler.java",,,,0,4,0
File,"LayerSelector.java",,,,12,54,0
File,"LayerSelectorCombo.java",,,,15,103,10
File,"LayerTree.java",,,,7,46,12
File,"LayoutManager.java",,,,1,76,11
File,"MapArea.java",,,,43,354,34
File,"MetadataException.java",,,,1,8,35
File,"MissingDimensionValueException.java",,,,1,9,39
File,"MyOceanPortal.java",,,,97,692,81
File,"NcwmsContext.java",,,,6,50,65
File,"NcwmsController.java",,,,23,155,133
File,"NcwmsCredentialsProvider.java",,,,4,44,40
File,"NcwmsMetadataController.java",,,,13,97,58
File,"OpacitySelector.java",,,,2,21,0
File,"OperationNotSupportedException.java",,,,1,9,39
File,"PaletteSelectionHandler.java",,,,0,7,0
File,"PaletteSelector.java",,,,40,292,2
File,"ProxyServlet.java",,,,4,37,0
File,"RequestParams.java",,,,26,128,90
File,"ScreenshotController.java",,,,35,292,78
File,"ScreenshotServlet.java",,,,41,284,5
File,"Server.java",,,,18,95,42
File,"ServerConfig.java",,,,0,21,56
File,"StyleNotDefinedException.java",,,,1,8,39
File,"TileCache.java",,,,8,84,101
File,"TileCacheKey.java",,,,12,109,88
File,"TimeDateSelectionHandler.java",,,,0,5,0
File,"TimeRequestBuilder.java",,,,2,11,0
File,"TimeRequestCallback.java",,,,4,29,0
File,"TimeSelector.java",,,,29,132,3
File,"UnitsInfo.java",,,,4,24,0
File,"UsageLogEntry.java",,,,48,260,69
File,"UsageLogger.java",,,,0,5,43
File,"Users.java",,,,11,65,57
File,"Wms1_1_1Exception.java",,,,4,18,41
File,"WmsException.java",,,,3,18,36
File,"WmsUtils.java",,,,51,262,133
File,"WmsVersion.java",,,,10,54,49
File,"package-info.java",,,,0,1,30
File,"package-info.java",,,,0,1,32
File,"package-info.java",,,,0,1,33
File,"package-info.java",,,,0,1,36
File,"package-info.java",,,,0,1,41
File,"package-info.java",,,,0,1,31
File,"package-info.java",,,,0,1,44
